,hsa-miR-142-5p,hsa-miR-130a,hsa-miR-210,hsa-miR-507,hsa-miR-223,hsa-miR-22,hsa-miR-151-3p,hsa-miR-663,hsa-miR-449c,hsa-miR-224,hsa-miR-193a-5p,hsa-miR-545,hsa-miR-744,hsa-miR-605,hsa-miR-96,hsa-miR-574-5p,hsa-miR-1978,hsa-miR-92a,hsa-miR-99a,hsa-miR-149,hsa-let-7e,hcmv-miR-UL148D,ebv-miR-BART2-5p,hsa-miR-1302,hsa-miR-378,hsa-miR-21,hsa-miR-455-5p,hsa-miR-483-3p,hsa-miR-150,hsa-miR-216a
18,0.0,56.0,4.0,1.0,5.0,16.0,15.0,36.0,20.0,2.0,10.0,22.0,44.0,53.0,96.0,81.0,209.0,71.0,313.0,545.0,54.0,103.0,9.0,25.0,65.0,11.0,14.0,196.0,275.0,69.0
67,1.0,321.0,20.0,0.0,3.0,2.0,73.0,71.0,75.0,33.0,52.0,8.0,24.0,23.0,40.0,207.0,130.0,74.0,391.0,32.0,115.0,241.0,9.0,54.0,65.0,134.0,28.0,126.0,139.0,88.0
116,3.0,2.0,64.0,6.0,30.0,19.0,203.0,1.0,26.0,32.0,8.0,29.0,466.0,14.0,76.0,163.0,85.0,119.0,139.0,344.0,384.0,21.0,22.0,111.0,47.0,435.0,233.0,190.0,539.0,72.0
165,1.0,0.0,51.0,6.0,7.0,346.0,20.0,2.0,27.0,30.0,10.0,66.0,29.0,362.0,31.0,342.0,123.0,141.0,3.0,28.0,50.0,360.0,36.0,175.0,39.0,568.0,248.0,9.0,127.0,132.0
214,38.0,95.0,2.0,3.0,60.0,25.0,252.0,0.0,305.0,1.0,14.0,8.0,6.0,50.0,7.0,35.0,10.0,47.0,348.0,72.0,262.0,94.0,4.0,23.0,83.0,552.0,54.0,180.0,564.0,330.0
263,7.0,46.0,1.0,5.0,29.0,103.0,8.0,0.0,86.0,3.0,31.0,81.0,77.0,12.0,55.0,44.0,89.0,193.0,34.0,87.0,4.0,142.0,19.0,391.0,292.0,580.0,11.0,131.0,459.0,20.0
312,4.0,0.0,10.0,2.0,1.0,370.0,342.0,32.0,197.0,5.0,150.0,51.0,3.0,58.0,308.0,126.0,70.0,177.0,161.0,91.0,182.0,35.0,30.0,142.0,17.0,165.0,21.0,430.0,178.0,47.0
361,0.0,42.0,2.0,18.0,1.0,4.0,84.0,9.0,5.0,13.0,3.0,10.0,201.0,128.0,11.0,244.0,99.0,33.0,21.0,274.0,266.0,14.0,34.0,66.0,72.0,304.0,25.0,234.0,308.0,236.0
410,7.0,3.0,1.0,19.0,25.0,5.0,8.0,2.0,111.0,0.0,6.0,62.0,43.0,17.0,23.0,89.0,35.0,208.0,14.0,44.0,10.0,99.0,47.0,28.0,9.0,553.0,156.0,312.0,300.0,49.0
459,8.0,1.0,3.0,5.0,4.0,0.0,28.0,24.0,211.0,2.0,17.0,73.0,34.0,7.0,32.0,37.0,35.0,306.0,36.0,13.0,270.0,553.0,181.0,82.0,52.0,479.0,18.0,338.0,229.0,212.0
508,1.0,0.0,244.0,3.0,2.0,11.0,50.0,14.0,44.0,10.0,15.0,6.0,400.0,71.0,4.0,12.0,173.0,29.0,48.0,37.0,24.0,59.0,52.0,31.0,177.0,85.0,25.0,164.0,30.0,237.0
557,0.0,1.0,9.0,5.0,52.0,24.0,30.0,28.0,157.0,7.0,8.0,3.0,4.0,14.0,29.0,22.0,219.0,18.0,16.0,270.0,161.0,34.0,245.0,213.0,41.0,71.0,12.0,128.0,59.0,36.0
606,29.0,16.0,23.0,1.0,85.0,30.0,133.0,293.0,0.0,276.0,71.0,2.0,420.0,15.0,36.0,50.0,20.0,54.0,42.0,73.0,45.0,75.0,25.0,216.0,84.0,95.0,56.0,38.0,311.0,123.0
655,0.0,7.0,2.0,4.0,3.0,27.0,42.0,13.0,81.0,6.0,124.0,21.0,79.0,77.0,284.0,15.0,173.0,18.0,43.0,9.0,227.0,12.0,70.0,91.0,32.0,620.0,52.0,16.0,57.0,66.0
704,6.0,17.0,37.0,0.0,10.0,229.0,92.0,125.0,52.0,44.0,63.0,5.0,476.0,24.0,40.0,214.0,60.0,2.0,1.0,82.0,34.0,25.0,69.0,20.0,170.0,23.0,65.0,7.0,110.0,226.0
753,1.0,14.0,2.0,0.0,10.0,41.0,30.0,7.0,45.0,8.0,33.0,24.0,252.0,84.0,6.0,114.0,137.0,5.0,110.0,73.0,48.0,22.0,46.0,18.0,215.0,4.0,128.0,158.0,51.0,20.0
802,0.0,21.0,7.0,6.0,10.0,5.0,2.0,11.0,56.0,342.0,220.0,35.0,63.0,102.0,16.0,12.0,17.0,4.0,3.0,270.0,19.0,149.0,120.0,49.0,224.0,66.0,43.0,78.0,72.0,106.0
851,0.0,2.0,19.0,5.0,9.0,10.0,50.0,456.0,11.0,63.0,8.0,4.0,7.0,22.0,25.0,6.0,49.0,46.0,3.0,129.0,20.0,34.0,15.0,26.0,14.0,55.0,51.0,60.0,24.0,21.0
900,6.0,2.0,14.0,1.0,55.0,17.0,147.0,159.0,3.0,19.0,297.0,168.0,72.0,4.0,13.0,204.0,26.0,8.0,41.0,69.0,267.0,5.0,46.0,200.0,324.0,65.0,16.0,45.0,73.0,30.0
949,4.0,7.0,86.0,1.0,0.0,2.0,246.0,9.0,146.0,3.0,578.0,242.0,317.0,100.0,105.0,19.0,18.0,21.0,11.0,372.0,115.0,65.0,174.0,527.0,70.0,418.0,190.0,16.0,320.0,45.0
998,2.0,0.0,1.0,78.0,111.0,4.0,188.0,51.0,20.0,138.0,540.0,18.0,558.0,50.0,217.0,12.0,9.0,157.0,211.0,375.0,5.0,38.0,35.0,87.0,207.0,24.0,15.0,130.0,206.0,603.0
1047,1.0,4.0,0.0,6.0,16.0,5.0,18.0,98.0,8.0,121.0,10.0,17.0,14.0,26.0,71.0,9.0,23.0,52.0,73.0,29.0,2.0,7.0,74.0,55.0,120.0,342.0,172.0,27.0,31.0,37.0
1096,0.0,2.0,3.0,7.0,65.0,5.0,44.0,76.0,56.0,139.0,66.0,79.0,19.0,88.0,39.0,8.0,195.0,24.0,205.0,609.0,1.0,72.0,121.0,156.0,170.0,133.0,600.0,77.0,11.0,43.0
1145,0.0,1.0,12.0,14.0,7.0,22.0,11.0,396.0,197.0,303.0,141.0,53.0,77.0,6.0,70.0,13.0,68.0,4.0,9.0,23.0,3.0,38.0,390.0,5.0,157.0,248.0,88.0,58.0,2.0,63.0
1194,0.0,1.0,2.0,34.0,48.0,5.0,9.0,22.0,3.0,53.0,260.0,30.0,398.0,390.0,232.0,105.0,24.0,110.0,18.0,64.0,4.0,8.0,148.0,28.0,546.0,91.0,117.0,124.0,139.0,142.0
1243,0.0,9.0,2.0,6.0,35.0,17.0,29.0,59.0,202.0,410.0,10.0,42.0,4.0,87.0,13.0,37.0,11.0,192.0,31.0,30.0,1.0,16.0,114.0,28.0,423.0,103.0,20.0,48.0,71.0,84.0
1292,1.0,0.0,12.0,2.0,40.0,16.0,42.0,432.0,8.0,63.0,21.0,195.0,18.0,32.0,7.0,19.0,138.0,11.0,4.0,44.0,3.0,149.0,539.0,222.0,324.0,144.0,27.0,41.0,53.0,130.0
1341,0.0,6.0,2.0,3.0,20.0,21.0,19.0,451.0,33.0,138.0,235.0,9.0,17.0,113.0,319.0,45.0,91.0,23.0,340.0,26.0,1.0,15.0,183.0,298.0,396.0,239.0,89.0,320.0,12.0,82.0
1390,10.0,1.0,6.0,33.0,63.0,50.0,147.0,120.0,3.0,103.0,149.0,4.0,74.0,28.0,5.0,31.0,27.0,22.0,2.0,238.0,8.0,83.0,144.0,126.0,221.0,18.0,117.0,274.0,84.0,25.0
1439,0.0,3.0,2.0,29.0,279.0,537.0,91.0,151.0,5.0,326.0,22.0,26.0,76.0,520.0,83.0,112.0,58.0,23.0,426.0,419.0,1.0,13.0,521.0,89.0,434.0,15.0,67.0,17.0,408.0,180.0
1488,0.0,24.0,3.0,37.0,15.0,16.0,40.0,17.0,9.0,7.0,4.0,8.0,348.0,105.0,5.0,35.0,107.0,25.0,157.0,53.0,1.0,235.0,205.0,101.0,38.0,18.0,23.0,6.0,84.0,113.0
1537,2.0,23.0,3.0,0.0,20.0,46.0,4.0,1.0,10.0,84.0,7.0,161.0,14.0,91.0,62.0,366.0,122.0,19.0,22.0,87.0,82.0,322.0,58.0,9.0,13.0,32.0,42.0,190.0,11.0,5.0
1586,7.0,14.0,9.0,13.0,0.0,15.0,51.0,2.0,24.0,11.0,1.0,6.0,362.0,246.0,16.0,146.0,19.0,5.0,490.0,18.0,41.0,449.0,56.0,4.0,8.0,3.0,84.0,10.0,45.0,21.0
1635,1.0,131.0,0.0,2.0,6.0,12.0,26.0,10.0,54.0,36.0,7.0,16.0,32.0,56.0,4.0,128.0,43.0,74.0,9.0,138.0,215.0,58.0,37.0,3.0,174.0,19.0,190.0,235.0,40.0,35.0
1684,64.0,6.0,2.0,1.0,16.0,81.0,4.0,9.0,53.0,10.0,17.0,11.0,47.0,28.0,12.0,83.0,284.0,74.0,31.0,13.0,113.0,455.0,103.0,15.0,8.0,0.0,221.0,24.0,14.0,261.0
1733,4.0,6.0,5.0,3.0,2.0,10.0,51.0,8.0,1.0,9.0,27.0,12.0,239.0,253.0,41.0,35.0,145.0,14.0,25.0,16.0,79.0,52.0,370.0,15.0,19.0,22.0,17.0,7.0,273.0,494.0
1782,10.0,19.0,11.0,1.0,0.0,168.0,128.0,54.0,5.0,36.0,17.0,2.0,105.0,239.0,13.0,31.0,18.0,33.0,8.0,7.0,242.0,57.0,68.0,12.0,21.0,4.0,268.0,69.0,51.0,102.0
1831,22.0,14.0,12.0,1.0,0.0,11.0,27.0,32.0,10.0,87.0,3.0,13.0,210.0,6.0,80.0,182.0,109.0,49.0,206.0,9.0,278.0,542.0,406.0,186.0,15.0,8.0,213.0,61.0,223.0,69.0
1880,3.0,1.0,30.0,2.0,0.0,15.0,8.0,34.0,9.0,4.0,279.0,5.0,237.0,14.0,10.0,44.0,33.0,41.0,36.0,85.0,19.0,140.0,313.0,37.0,17.0,55.0,72.0,56.0,220.0,151.0
1929,46.0,19.0,6.0,3.0,0.0,4.0,20.0,16.0,8.0,17.0,15.0,24.0,583.0,60.0,32.0,27.0,28.0,22.0,47.0,1.0,183.0,23.0,51.0,2.0,11.0,9.0,290.0,89.0,40.0,83.0
1978,0.0,7.0,4.0,25.0,41.0,98.0,2.0,79.0,1.0,143.0,6.0,167.0,113.0,123.0,67.0,21.0,17.0,8.0,132.0,40.0,80.0,13.0,151.0,3.0,244.0,140.0,283.0,9.0,160.0,55.0
2027,0.0,4.0,3.0,1.0,24.0,8.0,20.0,6.0,58.0,37.0,7.0,13.0,69.0,68.0,211.0,31.0,83.0,2.0,521.0,61.0,203.0,86.0,144.0,527.0,223.0,179.0,406.0,110.0,383.0,41.0
2076,0.0,2.0,26.0,7.0,4.0,113.0,11.0,16.0,5.0,290.0,12.0,64.0,18.0,136.0,89.0,35.0,160.0,1.0,9.0,54.0,27.0,252.0,34.0,78.0,299.0,83.0,203.0,32.0,62.0,192.0
2125,1.0,0.0,16.0,10.0,50.0,2.0,37.0,183.0,9.0,311.0,31.0,40.0,30.0,99.0,366.0,106.0,74.0,5.0,14.0,29.0,6.0,150.0,22.0,219.0,76.0,117.0,542.0,8.0,7.0,85.0
2174,0.0,2.0,1.0,19.0,50.0,145.0,6.0,144.0,113.0,54.0,22.0,293.0,17.0,52.0,37.0,26.0,119.0,8.0,38.0,362.0,3.0,109.0,13.0,435.0,40.0,10.0,203.0,92.0,492.0,256.0
2223,0.0,4.0,19.0,2.0,58.0,34.0,7.0,133.0,1.0,9.0,26.0,20.0,61.0,108.0,21.0,13.0,65.0,185.0,295.0,56.0,246.0,189.0,17.0,80.0,30.0,25.0,74.0,14.0,109.0,369.0
2272,0.0,10.0,9.0,1.0,20.0,8.0,87.0,179.0,5.0,184.0,3.0,74.0,11.0,396.0,149.0,2.0,91.0,6.0,148.0,48.0,12.0,390.0,75.0,426.0,298.0,42.0,7.0,197.0,14.0,457.0
2321,0.0,1.0,22.0,7.0,14.0,13.0,2.0,42.0,151.0,472.0,3.0,23.0,12.0,52.0,68.0,4.0,453.0,5.0,86.0,41.0,6.0,154.0,77.0,264.0,24.0,44.0,334.0,17.0,15.0,21.0
2370,2.0,3.0,0.0,37.0,12.0,6.0,8.0,170.0,60.0,521.0,1.0,286.0,38.0,91.0,140.0,17.0,196.0,14.0,352.0,70.0,27.0,10.0,5.0,30.0,171.0,36.0,21.0,18.0,22.0,142.0
2419,1.0,3.0,0.0,17.0,5.0,42.0,4.0,23.0,36.0,9.0,2.0,12.0,54.0,13.0,29.0,155.0,350.0,49.0,51.0,241.0,6.0,442.0,67.0,26.0,366.0,444.0,250.0,46.0,66.0,24.0
2468,5.0,22.0,0.0,1.0,6.0,14.0,58.0,3.0,57.0,4.0,30.0,78.0,7.0,15.0,62.0,232.0,9.0,86.0,27.0,55.0,41.0,77.0,105.0,2.0,313.0,11.0,175.0,28.0,48.0,413.0
2517,1.0,3.0,0.0,11.0,10.0,7.0,15.0,235.0,95.0,2.0,13.0,49.0,9.0,101.0,5.0,14.0,4.0,25.0,16.0,32.0,61.0,555.0,83.0,125.0,113.0,197.0,98.0,253.0,41.0,71.0
2566,3.0,1.0,7.0,4.0,2.0,37.0,14.0,86.0,51.0,211.0,19.0,20.0,0.0,59.0,25.0,6.0,23.0,62.0,43.0,15.0,300.0,229.0,24.0,485.0,28.0,36.0,378.0,440.0,350.0,42.0
2615,8.0,17.0,3.0,0.0,7.0,4.0,5.0,55.0,1.0,27.0,23.0,16.0,2.0,12.0,156.0,30.0,11.0,15.0,100.0,336.0,10.0,369.0,36.0,33.0,214.0,18.0,9.0,70.0,14.0,24.0
2664,5.0,8.0,3.0,2.0,4.0,30.0,14.0,51.0,39.0,29.0,7.0,27.0,0.0,18.0,443.0,47.0,15.0,1.0,345.0,231.0,87.0,12.0,32.0,20.0,43.0,157.0,584.0,73.0,449.0,238.0
2713,1.0,18.0,4.0,8.0,3.0,76.0,140.0,157.0,22.0,9.0,10.0,71.0,0.0,5.0,13.0,85.0,102.0,329.0,95.0,42.0,288.0,36.0,11.0,63.0,569.0,87.0,40.0,21.0,32.0,172.0
2762,11.0,5.0,2.0,4.0,8.0,62.0,16.0,1.0,215.0,39.0,17.0,24.0,0.0,26.0,184.0,3.0,14.0,6.0,222.0,103.0,252.0,207.0,30.0,76.0,38.0,371.0,521.0,159.0,13.0,35.0
