,hsa-miR-507,hsa-miR-130a,hsa-miR-210,hsa-miR-96,hsa-miR-151-3p,hsa-miR-22,ebv-miR-BART19-5p,hsa-miR-605,hsa-miR-1978,hsa-miR-574-5p,hsa-miR-483-3p,hsa-miR-149,hsa-miR-24,hsa-miR-150,hsa-miR-323-5p,hsa-miR-486-3p,hsa-miR-611,hsa-miR-545,hsa-miR-663,hsa-miR-1302,hsa-miR-142-5p,hsa-miR-449c,hsa-let-7a,hsa-miR-196a,hsa-miR-30a,hsa-miR-520c-3p,hsa-miR-193a-5p,hsa-miR-324-5p,hsa-miR-21,hsa-miR-2117
14,20.0,3.0,2.0,24.0,38.0,23.0,29.0,264.0,28.0,19.0,15.0,44.0,6.0,168.0,9.0,0.0,17.0,385.0,16.0,108.0,27.0,69.0,62.0,82.0,18.0,167.0,86.0,55.0,115.0,162.0
63,70.0,12.0,4.0,16.0,73.0,0.0,183.0,31.0,214.0,152.0,46.0,1.0,14.0,473.0,7.0,10.0,541.0,76.0,22.0,19.0,79.0,222.0,106.0,37.0,121.0,25.0,143.0,134.0,395.0,187.0
112,0.0,4.0,23.0,19.0,48.0,5.0,21.0,134.0,160.0,57.0,56.0,25.0,2.0,94.0,14.0,7.0,141.0,301.0,10.0,43.0,332.0,37.0,578.0,46.0,70.0,380.0,247.0,291.0,524.0,193.0
161,2.0,4.0,1.0,7.0,265.0,9.0,19.0,204.0,72.0,20.0,217.0,55.0,481.0,272.0,96.0,6.0,22.0,47.0,54.0,375.0,0.0,31.0,13.0,89.0,346.0,623.0,23.0,17.0,385.0,120.0
210,4.0,206.0,3.0,9.0,406.0,44.0,393.0,0.0,30.0,108.0,21.0,328.0,35.0,442.0,188.0,13.0,39.0,111.0,2.0,99.0,522.0,150.0,304.0,71.0,290.0,57.0,8.0,105.0,588.0,314.0
259,0.0,26.0,468.0,11.0,44.0,16.0,17.0,3.0,21.0,23.0,5.0,33.0,291.0,25.0,58.0,1.0,29.0,230.0,146.0,41.0,36.0,191.0,32.0,210.0,476.0,138.0,13.0,305.0,94.0,39.0
308,0.0,2.0,4.0,161.0,23.0,26.0,20.0,18.0,147.0,12.0,29.0,30.0,3.0,138.0,24.0,69.0,25.0,235.0,59.0,205.0,252.0,609.0,5.0,403.0,338.0,185.0,178.0,376.0,51.0,453.0
357,15.0,24.0,36.0,32.0,66.0,13.0,8.0,19.0,0.0,72.0,5.0,1.0,7.0,310.0,121.0,4.0,50.0,34.0,148.0,71.0,11.0,108.0,136.0,122.0,28.0,26.0,20.0,218.0,87.0,237.0
406,4.0,3.0,228.0,175.0,20.0,12.0,2.0,0.0,9.0,151.0,130.0,21.0,7.0,344.0,220.0,158.0,14.0,204.0,136.0,134.0,208.0,92.0,25.0,519.0,382.0,87.0,27.0,98.0,284.0,105.0
455,3.0,19.0,210.0,108.0,14.0,6.0,4.0,0.0,237.0,109.0,190.0,24.0,13.0,32.0,223.0,2.0,9.0,45.0,55.0,500.0,215.0,26.0,51.0,509.0,315.0,35.0,102.0,42.0,328.0,150.0
504,33.0,2.0,13.0,0.0,17.0,6.0,19.0,36.0,18.0,4.0,95.0,1.0,23.0,11.0,134.0,29.0,142.0,21.0,12.0,154.0,428.0,31.0,16.0,57.0,83.0,177.0,249.0,3.0,190.0,39.0
