,hsa-miR-22,hsa-miR-130a,hsa-miR-449c,hsa-miR-151-3p,hsa-miR-507,hsa-miR-210,hsa-miR-96,hsa-miR-323-5p,hsa-miR-1978,hsa-miR-605,hsa-miR-483-3p,hsa-miR-486-3p,ebv-miR-BART19-5p,hsa-miR-657,hsa-miR-455-5p,hsa-miR-611,hsa-miR-513a-5p,hsa-miR-2117,hsa-miR-206,hsa-miR-1979,hsa-miR-1293,hsa-miR-545,hsa-miR-623,hsa-miR-1246,hsa-let-7c,hsa-miR-591,hsa-miR-30a,hsv1-miR-H7,hsa-miR-663,hsa-miR-28-5p
19,0.0,17.0,152.0,76.0,106.0,125.0,48.0,33.0,90.0,146.0,144.0,34.0,55.0,47.0,30.0,15.0,37.0,11.0,39.0,25.0,468.0,62.0,315.0,460.0,107.0,196.0,568.0,245.0,43.0,135.0
68,11.0,396.0,154.0,128.0,68.0,157.0,45.0,16.0,175.0,66.0,514.0,73.0,107.0,153.0,41.0,335.0,43.0,595.0,150.0,21.0,469.0,148.0,341.0,102.0,85.0,32.0,108.0,10.0,3.0,103.0
117,20.0,12.0,518.0,6.0,35.0,134.0,14.0,19.0,64.0,36.0,154.0,74.0,109.0,24.0,85.0,58.0,84.0,0.0,107.0,60.0,468.0,152.0,49.0,438.0,55.0,102.0,90.0,131.0,38.0,95.0
166,3.0,27.0,109.0,70.0,41.0,18.0,34.0,67.0,92.0,245.0,22.0,35.0,116.0,95.0,503.0,86.0,39.0,30.0,112.0,400.0,462.0,56.0,309.0,99.0,53.0,136.0,617.0,19.0,301.0,148.0
215,84.0,396.0,144.0,90.0,132.0,154.0,46.0,4.0,78.0,36.0,127.0,61.0,89.0,308.0,508.0,51.0,82.0,595.0,6.0,22.0,99.0,564.0,334.0,152.0,54.0,28.0,629.0,292.0,10.0,95.0
264,10.0,395.0,116.0,6.0,71.0,150.0,287.0,624.0,55.0,106.0,512.0,60.0,301.0,53.0,59.0,91.0,555.0,31.0,28.0,30.0,471.0,146.0,325.0,8.0,461.0,188.0,595.0,25.0,0.0,147.0
313,593.0,3.0,34.0,378.0,82.0,145.0,54.0,30.0,129.0,41.0,43.0,68.0,126.0,61.0,37.0,24.0,116.0,121.0,410.0,85.0,473.0,371.0,324.0,440.0,464.0,48.0,176.0,117.0,164.0,102.0
362,1.0,54.0,157.0,41.0,98.0,75.0,51.0,179.0,69.0,328.0,123.0,29.0,131.0,95.0,27.0,96.0,67.0,110.0,120.0,405.0,101.0,166.0,361.0,47.0,462.0,203.0,627.0,174.0,289.0,128.0
411,27.0,85.0,151.0,367.0,43.0,145.0,141.0,73.0,98.0,75.0,150.0,24.0,89.0,12.0,29.0,61.0,6.0,28.0,426.0,400.0,466.0,66.0,94.0,84.0,42.0,93.0,628.0,271.0,23.0,572.0
460,16.0,57.0,91.0,124.0,78.0,162.0,160.0,40.0,68.0,51.0,131.0,28.0,80.0,354.0,19.0,41.0,15.0,93.0,111.0,13.0,118.0,38.0,333.0,99.0,54.0,181.0,570.0,139.0,53.0,66.0
