, JAK-STAT, MAPK_PI3K, TGFB, VEGF, H2O2, MAPK_only, TNFa, IL-1, TLR, PI3K_only, Wnt
41,0.0,5.0,3.0,4.0,7.0,8.0,2.0,10.0,1.0,9.0,6.0
90,0.0,6.0,1.0,10.0,5.0,4.0,9.0,3.0,7.0,8.0,2.0
139,0.0,2.0,5.0,1.0,8.0,10.0,6.0,9.0,3.0,4.0,7.0
188,0.0,4.0,5.0,2.0,9.0,7.0,6.0,10.0,1.0,8.0,3.0
237,0.0,7.0,3.0,2.0,9.0,6.0,4.0,8.0,1.0,10.0,5.0
286,1.0,4.0,0.0,8.0,10.0,9.0,2.0,7.0,5.0,6.0,3.0
335,0.0,6.0,1.0,5.0,9.0,8.0,4.0,7.0,3.0,10.0,2.0
384,0.0,5.0,3.0,6.0,8.0,2.0,7.0,10.0,9.0,1.0,4.0
433,0.0,3.0,2.0,9.0,4.0,7.0,5.0,6.0,8.0,1.0,10.0
482,0.0,3.0,10.0,7.0,5.0,9.0,4.0,2.0,1.0,6.0,8.0
531,5.0,2.0,1.0,0.0,10.0,6.0,7.0,4.0,8.0,3.0,9.0
580,0.0,6.0,1.0,10.0,8.0,9.0,4.0,5.0,2.0,3.0,7.0
629,2.0,3.0,0.0,7.0,6.0,8.0,1.0,10.0,4.0,9.0,5.0
678,0.0,5.0,6.0,10.0,8.0,1.0,3.0,4.0,2.0,9.0,7.0
727,5.0,3.0,0.0,1.0,9.0,7.0,6.0,10.0,4.0,8.0,2.0
776,2.0,5.0,3.0,4.0,10.0,0.0,1.0,7.0,8.0,9.0,6.0
825,0.0,7.0,4.0,2.0,8.0,9.0,1.0,5.0,3.0,10.0,6.0
874,1.0,3.0,0.0,7.0,9.0,2.0,4.0,5.0,6.0,10.0,8.0
923,7.0,5.0,0.0,1.0,10.0,4.0,2.0,3.0,8.0,9.0,6.0
972,0.0,9.0,4.0,2.0,8.0,10.0,6.0,5.0,3.0,1.0,7.0
1021,0.0,6.0,1.0,3.0,4.0,8.0,2.0,9.0,7.0,5.0,10.0
1070,0.0,3.0,4.0,1.0,6.0,10.0,5.0,2.0,8.0,7.0,9.0
1119,0.0,5.0,2.0,8.0,3.0,4.0,7.0,10.0,6.0,1.0,9.0
1168,1.0,2.0,4.0,7.0,0.0,9.0,6.0,5.0,3.0,8.0,10.0
1217,2.0,0.0,8.0,4.0,9.0,3.0,6.0,1.0,7.0,5.0,10.0
1266,1.0,4.0,0.0,9.0,5.0,3.0,8.0,2.0,6.0,7.0,10.0
1315,0.0,5.0,2.0,8.0,4.0,10.0,7.0,9.0,1.0,3.0,6.0
1364,2.0,0.0,7.0,6.0,3.0,4.0,9.0,8.0,5.0,1.0,10.0
