,TNFRSF1B,C14orf37,LMCD1,RP11-875O11.1,ARID3A,TFAP2A,MRPS31P5,RP6-109B7.3,RGL4,KIF2A,SYNC,RABGEF1,SEC14L2,PPIC,MTMR14,FLI1,KAL1,SLC39A7,SLC10A7,GLB1L2,RP11-537E18.1,KCNIP3,C16orf54,COX5BP6,RP11-227D13.2,RP11-483F11.7,FAM189A2,GALNT18,GLUL,RP11-1069G10.2
11,167.0,447.0,20.0,26.0,130.0,82.0,2.0,9.0,37.0,95.0,24.0,142.0,45.0,80.0,144.0,300.0,68.0,21095.0,36.0,3398.0,660.0,101.0,10744.0,116.0,8.0,19430.0,3.0,7.0,81.0,464.0
60,2.0,760.0,228.0,19152.0,73.0,209.0,41.0,28.0,7.0,57.0,439.0,125.0,4345.0,22017.0,121.0,7339.0,222.0,162.0,30.0,123.0,164.0,9.0,10216.0,331.0,248.0,19884.0,18445.0,6175.0,15.0,503.0
109,5.0,32.0,169.0,40.0,50.0,60.0,12.0,200.0,28.0,58.0,174.0,220.0,193.0,257.0,144.0,581.0,9658.0,21081.0,62.0,9.0,100.0,2.0,2642.0,6908.0,3.0,117.0,18354.0,197.0,19.0,1.0
158,4.0,2.0,320.0,34.0,8139.0,87.0,31.0,103.0,14.0,129.0,95.0,300.0,7732.0,1315.0,111.0,313.0,192.0,21090.0,67.0,140.0,120.0,8.0,11162.0,133.0,21.0,19823.0,18457.0,2996.0,106.0,5.0
207,6.0,81.0,287.0,18748.0,60.0,76.0,45.0,79.0,30.0,8.0,300.0,346.0,9284.0,62.0,32.0,4687.0,301.0,21309.0,210.0,310.0,152.0,35.0,10747.0,39.0,317.0,2184.0,190.0,0.0,25.0,23.0
256,90.0,10.0,1365.0,318.0,208.0,108.0,14.0,93.0,2551.0,115.0,192.0,376.0,51.0,240.0,19.0,337.0,198.0,21036.0,103.0,420.0,17045.0,7.0,235.0,6430.0,46.0,0.0,18444.0,335.0,358.0,18.0
305,9.0,3304.0,117.0,582.0,205.0,116.0,38.0,1.0,11.0,73.0,5.0,185.0,95.0,175.0,22.0,514.0,126.0,806.0,121.0,4677.0,68.0,36.0,923.0,270.0,51.0,19434.0,10.0,14.0,602.0,20.0
354,136.0,3402.0,380.0,285.0,305.0,119.0,22.0,292.0,51.0,40.0,10.0,257.0,9258.0,163.0,12730.0,5.0,73.0,21099.0,37.0,21.0,60.0,2.0,10755.0,98.0,3851.0,19418.0,138.0,26.0,143.0,36.0
403,318.0,30.0,12720.0,40.0,258.0,61.0,13.0,103.0,122.0,170.0,16.0,501.0,9271.0,471.0,197.0,68.0,15.0,21030.0,14545.0,6205.0,38.0,10.0,10699.0,11.0,6.0,19421.0,18335.0,216.0,196.0,239.0
452,447.0,9.0,12763.0,288.0,207.0,20827.0,6982.0,77.0,53.0,4.0,183.0,967.0,1.0,309.0,116.0,178.0,184.0,21028.0,13.0,5317.0,19.0,104.0,275.0,132.0,5.0,19438.0,330.0,83.0,123.0,4752.0
501,41.0,0.0,18.0,22.0,25.0,5.0,5346.0,48.0,52.0,20.0,156.0,552.0,91.0,92.0,12777.0,34.0,30.0,12.0,14417.0,8.0,127.0,1167.0,93.0,151.0,208.0,19444.0,18339.0,36.0,1801.0,2.0
550,2.0,33.0,12710.0,19.0,4.0,26.0,126.0,5.0,39.0,36.0,322.0,7.0,156.0,115.0,12680.0,76.0,34.0,45.0,130.0,54.0,205.0,16945.0,206.0,231.0,56.0,9.0,726.0,4451.0,336.0,16.0
599,6.0,0.0,122.0,22615.0,10.0,11.0,160.0,102.0,41.0,66.0,4936.0,783.0,596.0,511.0,16832.0,229.0,25.0,3.0,183.0,5191.0,17674.0,167.0,118.0,200.0,26.0,280.0,158.0,366.0,19.0,4723.0
648,12.0,41.0,1.0,246.0,29.0,8.0,36.0,62.0,94.0,3.0,310.0,11.0,34.0,21.0,6.0,90.0,28.0,5.0,14505.0,197.0,4.0,42.0,58.0,221.0,449.0,144.0,14.0,110.0,17337.0,81.0
697,2.0,3.0,13.0,18.0,0.0,22.0,92.0,15.0,62.0,12.0,190.0,23239.0,42.0,192.0,17286.0,23.0,94.0,39.0,14837.0,100.0,311.0,177.0,191.0,1988.0,4671.0,119.0,73.0,20055.0,501.0,26.0
746,6.0,79.0,80.0,2.0,63.0,9.0,104.0,20.0,52.0,5.0,16564.0,3.0,16.0,96.0,12767.0,66.0,8.0,38.0,15.0,25.0,184.0,17006.0,255.0,573.0,18.0,223.0,1979.0,560.0,147.0,54.0
795,57.0,140.0,1.0,20.0,0.0,60.0,92.0,54.0,14.0,11.0,13.0,6.0,93.0,66.0,340.0,30.0,16.0,17.0,14427.0,122.0,72.0,17015.0,194.0,148.0,18.0,1522.0,2359.0,12.0,447.0,4347.0
844,15959.0,373.0,1.0,10.0,4.0,47.0,79.0,96.0,13.0,21689.0,15.0,11.0,94.0,82.0,425.0,92.0,144.0,48.0,14384.0,71.0,62.0,17013.0,233.0,142.0,203.0,282.0,281.0,5312.0,105.0,5.0
893,75.0,78.0,0.0,25.0,54.0,85.0,241.0,127.0,46.0,40.0,597.0,556.0,198.0,457.0,12712.0,370.0,79.0,21031.0,14484.0,39.0,50.0,17021.0,456.0,6345.0,3117.0,12.0,18437.0,1484.0,375.0,172.0
942,68.0,1.0,12712.0,15.0,83.0,119.0,165.0,11.0,52.0,16.0,394.0,711.0,25.0,758.0,2359.0,203.0,1708.0,72.0,2804.0,6420.0,277.0,16952.0,235.0,39.0,4255.0,243.0,18429.0,6040.0,17313.0,32.0
991,2.0,3366.0,12767.0,5.0,22.0,3.0,35.0,9.0,1351.0,15.0,1.0,13.0,17.0,74.0,108.0,88.0,4.0,21023.0,63.0,4617.0,17062.0,49.0,434.0,6362.0,0.0,6.0,318.0,5372.0,103.0,4458.0
1040,3.0,0.0,267.0,19212.0,2.0,17.0,23.0,10.0,50.0,48.0,8.0,1.0,124.0,43.0,72.0,51.0,65.0,37.0,30.0,149.0,99.0,35.0,83.0,6986.0,61.0,333.0,290.0,47.0,282.0,16.0
1089,8.0,7186.0,9.0,6.0,40.0,17.0,33.0,20.0,16.0,30.0,47.0,41.0,42.0,50.0,95.0,31.0,24.0,14588.0,32.0,23.0,16646.0,70.0,136.0,7098.0,1.0,73.0,18964.0,180.0,99.0,177.0
1138,6.0,100.0,857.0,7.0,0.0,3.0,5902.0,52.0,8.0,14.0,31.0,57.0,64.0,34.0,68.0,15.0,234.0,21042.0,14516.0,106.0,909.0,48.0,272.0,6355.0,61.0,10.0,18435.0,5323.0,334.0,3644.0
1187,79.0,53.0,147.0,3.0,0.0,22.0,64.0,117.0,31.0,40.0,57.0,12.0,9.0,68.0,50.0,48.0,265.0,1.0,14428.0,6.0,17067.0,24.0,332.0,5971.0,7.0,479.0,18331.0,29.0,199.0,4194.0
1236,155.0,13.0,2510.0,3.0,0.0,8.0,22.0,38.0,61.0,45.0,2.0,122.0,57.0,63.0,12672.0,108.0,375.0,1668.0,43.0,177.0,704.0,365.0,352.0,6371.0,4376.0,12.0,314.0,435.0,348.0,4249.0
1285,1.0,5.0,2.0,17.0,9.0,19.0,32.0,439.0,30.0,95.0,3.0,174.0,48.0,163.0,123.0,137.0,155.0,8.0,64.0,199.0,17064.0,72.0,217.0,974.0,0.0,24.0,541.0,4261.0,292.0,3310.0
1334,4.0,40.0,11.0,6.0,8.0,20.0,74.0,0.0,77.0,9.0,3.0,76.0,190.0,60.0,117.0,118.0,9566.0,103.0,92.0,2.0,13411.0,16965.0,410.0,650.0,43.0,469.0,18455.0,86.0,36.0,53.0
1383,157.0,16.0,1.0,17.0,13.0,43.0,35.0,5.0,41.0,0.0,9.0,342.0,28.0,166.0,61.0,116.0,9601.0,21025.0,46.0,32.0,74.0,55.0,331.0,6905.0,2.0,4.0,1101.0,4294.0,19.0,4359.0
1432,11.0,3466.0,12754.0,1.0,10.0,25.0,40.0,8.0,111.0,74.0,60.0,2.0,190.0,191.0,102.0,82.0,55.0,19.0,14407.0,6.0,17052.0,44.0,232.0,6336.0,3.0,4.0,18421.0,5371.0,1036.0,13.0
1481,9.0,18.0,12701.0,0.0,91.0,1.0,87.0,15.0,13.0,150.0,5.0,22126.0,75.0,19.0,84.0,189.0,108.0,2428.0,46.0,25.0,65.0,83.0,122.0,6991.0,24.0,52.0,88.0,40.0,17318.0,833.0
1530,190.0,32.0,590.0,1.0,106.0,2.0,51.0,173.0,5.0,54.0,81.0,123.0,9007.0,222.0,219.0,476.0,8171.0,20.0,11.0,22.0,445.0,59.0,134.0,250.0,218.0,0.0,85.0,3.0,17351.0,4307.0
1579,71.0,12.0,12674.0,0.0,32.0,20.0,18.0,46.0,13.0,30.0,6.0,1242.0,95.0,67.0,11.0,4585.0,9615.0,21053.0,52.0,2.0,133.0,16999.0,9.0,952.0,257.0,213.0,105.0,29.0,17311.0,34.0
1628,6.0,6907.0,141.0,19.0,2.0,14.0,64.0,17.0,45.0,15170.0,97.0,68.0,11.0,164.0,130.0,278.0,213.0,39.0,13185.0,468.0,5.0,74.0,4973.0,6846.0,119.0,85.0,126.0,19576.0,14469.0,3319.0
1677,38.0,19.0,20.0,21.0,3.0,16.0,22.0,11.0,85.0,17.0,8.0,135.0,63.0,64.0,119.0,26.0,90.0,21151.0,71.0,9.0,136.0,16930.0,11122.0,10.0,279.0,6.0,111.0,41.0,104.0,4104.0
1726,0.0,2.0,31.0,512.0,4.0,1.0,30.0,38.0,27.0,21682.0,3.0,445.0,103.0,84.0,28.0,384.0,26.0,15.0,7.0,131.0,187.0,331.0,113.0,116.0,3207.0,181.0,18375.0,360.0,223.0,637.0
1775,8.0,54.0,6.0,0.0,5.0,2.0,33.0,12.0,13.0,28.0,4.0,248.0,38.0,53.0,25.0,81.0,24.0,3.0,60.0,266.0,80.0,16996.0,7.0,6434.0,194.0,894.0,18420.0,1.0,1592.0,210.0
1824,5.0,80.0,0.0,9.0,41.0,8.0,105.0,27.0,67.0,49.0,1.0,22136.0,9253.0,243.0,125.0,198.0,2696.0,84.0,14434.0,7.0,32.0,17022.0,118.0,145.0,825.0,114.0,174.0,51.0,17367.0,4044.0
1873,190.0,1.0,2.0,0.0,37.0,14.0,5.0,78.0,10.0,109.0,9.0,2154.0,117.0,90.0,49.0,266.0,9143.0,21031.0,14504.0,116.0,12.0,1090.0,6.0,66.0,454.0,108.0,200.0,170.0,17342.0,145.0
1922,3.0,8.0,5.0,6.0,59.0,30.0,55.0,34.0,22.0,42.0,7.0,89.0,94.0,143.0,15.0,177.0,68.0,48.0,14455.0,249.0,74.0,1192.0,205.0,101.0,612.0,51.0,441.0,5367.0,17270.0,17.0
1971,46.0,0.0,1.0,6.0,52.0,12.0,7.0,75.0,32.0,195.0,2.0,20.0,50.0,18.0,916.0,27.0,28.0,48.0,13.0,1519.0,13404.0,30.0,26.0,54.0,175.0,112.0,191.0,5997.0,113.0,43.0
2020,8.0,0.0,3.0,14.0,16.0,7.0,45.0,210.0,62.0,178.0,101.0,22139.0,72.0,11.0,84.0,85.0,35.0,2460.0,49.0,437.0,17077.0,59.0,57.0,151.0,3911.0,27.0,1.0,10.0,1190.0,9.0
2069,1.0,16.0,556.0,13.0,102.0,56.0,69.0,0.0,49.0,62.0,43.0,26.0,44.0,60.0,35.0,22.0,41.0,2639.0,70.0,5891.0,13415.0,15.0,21.0,131.0,12.0,731.0,74.0,96.0,285.0,1931.0
2118,6.0,32.0,1.0,2.0,75.0,104.0,17.0,127.0,60.0,18.0,0.0,28.0,48.0,26.0,15.0,63.0,42.0,21088.0,22.0,238.0,4.0,17007.0,67.0,30.0,261.0,19654.0,734.0,113.0,584.0,174.0
2167,94.0,1.0,0.0,11.0,23.0,3.0,16.0,7607.0,2.0,82.0,46.0,152.0,35.0,34.0,52.0,38.0,47.0,62.0,36.0,124.0,1273.0,559.0,120.0,164.0,5.0,19880.0,104.0,15.0,416.0,4831.0
2216,2.0,12.0,3.0,19198.0,60.0,11.0,22.0,20.0,33.0,29.0,1.0,738.0,54.0,28.0,83.0,26.0,6.0,45.0,53.0,1077.0,13418.0,76.0,32.0,82.0,155.0,19425.0,19.0,1384.0,225.0,67.0
2265,44.0,5.0,0.0,9.0,100.0,80.0,190.0,15.0,41.0,21617.0,6.0,50.0,59.0,29.0,130.0,7.0,113.0,21033.0,84.0,4636.0,83.0,112.0,93.0,21.0,239.0,440.0,111.0,5338.0,1.0,4028.0
2314,1.0,4.0,19.0,5.0,102.0,50.0,22.0,7.0,33.0,115.0,2215.0,245.0,32.0,15.0,84.0,0.0,123.0,6.0,40.0,60.0,39.0,86.0,21.0,63.0,4139.0,44.0,18391.0,30.0,213.0,45.0
2363,3.0,1.0,12664.0,18.0,2.0,15.0,10.0,9479.0,60.0,54.0,21.0,468.0,31.0,6.0,141.0,39.0,9.0,42.0,14518.0,38.0,448.0,16979.0,85.0,140.0,4.0,19884.0,56.0,16.0,17330.0,3509.0
2412,3.0,9.0,16.0,5.0,53.0,70.0,12.0,65.0,7.0,74.0,2.0,556.0,26.0,18.0,19.0,35.0,9544.0,21096.0,2288.0,6938.0,13.0,16921.0,25.0,388.0,44.0,19880.0,82.0,41.0,1274.0,104.0
2461,71.0,97.0,7.0,18750.0,83.0,29.0,0.0,32.0,19.0,133.0,16590.0,4.0,170.0,115.0,180.0,5.0,173.0,17.0,104.0,10.0,17060.0,30.0,221.0,6.0,37.0,325.0,86.0,5327.0,38.0,1519.0
2510,71.0,232.0,25.0,19221.0,2.0,35.0,11.0,160.0,22.0,4.0,182.0,26.0,76.0,69.0,28.0,47.0,188.0,27.0,18.0,1.0,91.0,43.0,203.0,31.0,409.0,905.0,92.0,10.0,264.0,7.0
2559,35.0,154.0,2.0,19204.0,12.0,31.0,21.0,10.0,39.0,23.0,16577.0,32.0,2077.0,121.0,112.0,22.0,26.0,17.0,122.0,5445.0,17011.0,68.0,10703.0,92.0,4191.0,402.0,49.0,3704.0,170.0,62.0
2608,54.0,33.0,7.0,274.0,8.0,18.0,44.0,91.0,12315.0,138.0,16580.0,2.0,10.0,114.0,12700.0,148.0,97.0,16.0,14540.0,424.0,17045.0,122.0,331.0,3713.0,846.0,453.0,77.0,1630.0,377.0,391.0
2657,49.0,141.0,12689.0,478.0,13.0,4.0,10.0,126.0,31.0,54.0,0.0,18.0,185.0,89.0,100.0,148.0,132.0,21030.0,90.0,71.0,17044.0,16943.0,60.0,17.0,99.0,79.0,22.0,1.0,48.0,4792.0
2706,342.0,948.0,12703.0,171.0,4.0,24.0,50.0,15.0,49.0,38.0,16561.0,6.0,187.0,186.0,48.0,352.0,98.0,37.0,14520.0,3.0,17025.0,17004.0,151.0,95.0,47.0,866.0,105.0,3760.0,221.0,4681.0
2755,103.0,6099.0,309.0,19194.0,31.0,98.0,4.0,48.0,18.0,21644.0,78.0,1.0,9251.0,96.0,137.0,201.0,79.0,158.0,29.0,0.0,84.0,16961.0,189.0,311.0,43.0,58.0,81.0,4223.0,46.0,38.0
2804,4.0,6545.0,145.0,19223.0,23.0,12.0,27.0,335.0,15.0,199.0,16553.0,251.0,98.0,64.0,89.0,227.0,36.0,373.0,14517.0,6729.0,135.0,17013.0,244.0,151.0,355.0,37.0,40.0,2141.0,340.0,817.0
2853,219.0,40.0,0.0,19196.0,2.0,25.0,20.0,44.0,30.0,150.0,12.0,18.0,35.0,55.0,121.0,59.0,138.0,21026.0,14531.0,11.0,56.0,16988.0,223.0,112.0,38.0,42.0,18448.0,109.0,214.0,3752.0
2902,86.0,69.0,556.0,19177.0,24.0,41.0,33.0,97.0,4.0,11.0,16.0,110.0,8825.0,61.0,68.0,89.0,9.0,6.0,2.0,7.0,141.0,57.0,10577.0,226.0,135.0,184.0,51.0,3.0,121.0,3701.0
2951,12.0,1.0,0.0,21.0,26.0,39.0,30.0,3.0,8.0,31.0,20.0,35.0,48.0,64.0,18.0,107.0,9036.0,16.0,63.0,367.0,5.0,16928.0,32.0,206.0,23.0,509.0,18435.0,28.0,142.0,7.0
3000,1.0,0.0,2254.0,17.0,4.0,18.0,9.0,27.0,29.0,49.0,6.0,349.0,48.0,15.0,57.0,62.0,213.0,21154.0,14508.0,31.0,70.0,10.0,106.0,77.0,28.0,3.0,366.0,426.0,67.0,35.0
