,KRAS.G12_13_MUT,ETS1_DEL,TRIM49_DEL,BIRC2_AMP,SCN3B_DEL,TMEM123_AMP,CCBE1_DEL,DCUN1D5_AMP,OR2T35_AMP,ADAMTSL1_DEL,BIRC3_AMP,NRG1_DEL,DYNC2H1_AMP,CHN2_DEL,KCNJ5_DEL,LOC283174_DEL,SNORA37_DEL,GDF5_AMP,CNTN5_DEL,NETO1_DEL,RAX_DEL,NOMO3_AMP,MCEE_AMP,YAP1_AMP,JAK2_DEL,FAM154A_DEL,LGALS9C_DEL,GUSBP2_DEL,CDC73_AMP,EYA1_DEL
28,383.0,385.0,31.0,15223.0,452.0,147.0,1338.0,480.0,2.0,16.0,15220.0,3203.0,2129.0,799.0,4512.0,6536.0,1854.0,211.0,56.0,7761.0,107.0,1260.0,76.0,17984.0,659.0,1449.0,11923.0,1393.0,23019.0,1259.0
77,43.0,132.0,145.0,21.0,5.0,15.0,5605.0,22806.0,22.0,63.0,136.0,1872.0,23986.0,20181.0,278.0,49.0,1478.0,3.0,11494.0,71.0,1373.0,15452.0,55.0,683.0,76.0,5869.0,726.0,276.0,1809.0,1396.0
126,0.0,2.0,60.0,2382.0,10925.0,17062.0,5673.0,58.0,127.0,726.0,69.0,67.0,18.0,457.0,2977.0,6823.0,12250.0,1.0,4.0,2275.0,2986.0,472.0,623.0,125.0,65.0,203.0,2281.0,4435.0,1146.0,26.0
175,101.0,14.0,20.0,15123.0,0.0,51.0,601.0,273.0,247.0,1149.0,29.0,2967.0,115.0,60.0,294.0,6473.0,375.0,293.0,10281.0,2.0,2863.0,14544.0,23200.0,80.0,3945.0,18.0,730.0,1.0,49.0,4589.0
224,0.0,266.0,12192.0,16.0,36.0,620.0,1978.0,91.0,211.0,8759.0,3.0,2031.0,22775.0,1415.0,3997.0,598.0,8185.0,21.0,10264.0,7700.0,3375.0,14563.0,30.0,114.0,13.0,5307.0,8125.0,474.0,2599.0,425.0
273,5.0,15.0,6.0,94.0,329.0,62.0,617.0,32.0,826.0,20.0,23.0,42.0,182.0,51.0,3032.0,7168.0,367.0,23394.0,114.0,124.0,640.0,14586.0,10.0,26.0,1.0,11.0,727.0,54.0,135.0,13.0
322,1272.0,5.0,459.0,31.0,80.0,263.0,5788.0,19.0,1714.0,182.0,69.0,52.0,22799.0,47.0,4481.0,2881.0,7655.0,119.0,27.0,24.0,149.0,14523.0,11.0,1860.0,2007.0,103.0,385.0,260.0,46.0,2095.0
371,2005.0,44.0,615.0,19.0,8.0,26.0,5980.0,32.0,245.0,50.0,64.0,57.0,23013.0,20048.0,234.0,3754.0,420.0,67.0,23.0,289.0,4695.0,14445.0,262.0,1544.0,2504.0,5069.0,639.0,49.0,27.0,7210.0
420,24134.0,11.0,138.0,382.0,0.0,18463.0,67.0,7.0,380.0,259.0,1.0,90.0,277.0,30.0,1077.0,41.0,8188.0,60.0,6.0,161.0,122.0,1420.0,343.0,17989.0,33.0,5609.0,11884.0,4399.0,23.0,296.0
469,2.0,705.0,543.0,34.0,18.0,1295.0,5848.0,23096.0,2218.0,324.0,0.0,27.0,73.0,54.0,155.0,9.0,7470.0,4.0,623.0,8819.0,5.0,2508.0,23168.0,279.0,716.0,12.0,2694.0,32.0,214.0,1361.0
518,60.0,16.0,3.0,17794.0,10715.0,661.0,56.0,89.0,203.0,192.0,141.0,3689.0,68.0,1152.0,528.0,6878.0,12596.0,289.0,2677.0,594.0,2.0,1817.0,234.0,15394.0,2972.0,1472.0,1799.0,1809.0,938.0,1597.0
567,1.0,16.0,53.0,15163.0,196.0,114.0,326.0,791.0,14462.0,80.0,175.0,44.0,23015.0,314.0,184.0,2815.0,148.0,243.0,12292.0,10356.0,0.0,157.0,65.0,160.0,1146.0,5209.0,9641.0,137.0,19.0,611.0
616,1.0,4.0,603.0,15213.0,627.0,1712.0,2035.0,12.0,2454.0,8760.0,140.0,3069.0,22783.0,538.0,3874.0,225.0,0.0,3.0,10325.0,69.0,25.0,14511.0,53.0,284.0,100.0,65.0,11936.0,2235.0,138.0,146.0
