,1-methylnicotinamide,C22:6 LPC,alpha-glycerophosphate,uridine,uracil,C16:0 LPE,C20:4 CE,dCMP,pantothenate,putrescine,cytidine,GABA,C36:1 DAG,serotonin,3-phosphoglycerate,C34:4 PC,inositol,UMP,sarcosine,beta-alanine,C34:2 DAG,PEP,2-deoxycytidine,oxalate,hypoxanthine,N-carbamoyl-beta-alanine,creatine,taurodeoxycholate,C36:4 PC-B,butyrylcarnitine/isobutyrylcarnitine
25,0.0,2.0,7.0,8.0,5.0,1.0,16.0,25.0,4.0,3.0,11.0,23.0,20.0,6.0,15.0,13.0,28.0,57.0,10.0,26.0,34.0,14.0,9.0,12.0,21.0,30.0,29.0,47.0,48.0,40.0
74,1.0,0.0,2.0,3.0,11.0,7.0,8.0,19.0,4.0,9.0,6.0,39.0,24.0,14.0,17.0,18.0,21.0,5.0,10.0,12.0,33.0,41.0,25.0,46.0,13.0,65.0,28.0,40.0,20.0,43.0
123,0.0,13.0,1.0,4.0,6.0,7.0,12.0,26.0,2.0,66.0,5.0,15.0,30.0,8.0,14.0,11.0,24.0,16.0,21.0,3.0,37.0,18.0,65.0,31.0,9.0,19.0,51.0,60.0,42.0,49.0
172,0.0,2.0,1.0,11.0,9.0,7.0,39.0,23.0,24.0,4.0,15.0,5.0,16.0,20.0,21.0,12.0,13.0,3.0,18.0,51.0,22.0,45.0,19.0,14.0,38.0,10.0,44.0,64.0,29.0,30.0
221,21.0,0.0,2.0,1.0,4.0,3.0,13.0,8.0,17.0,6.0,16.0,5.0,23.0,12.0,9.0,46.0,14.0,18.0,19.0,30.0,34.0,65.0,26.0,25.0,11.0,51.0,22.0,49.0,10.0,60.0
270,2.0,1.0,0.0,3.0,11.0,9.0,17.0,4.0,7.0,5.0,40.0,44.0,49.0,38.0,22.0,20.0,31.0,8.0,24.0,10.0,37.0,41.0,13.0,15.0,30.0,46.0,55.0,53.0,61.0,33.0
319,1.0,0.0,8.0,2.0,3.0,11.0,38.0,12.0,6.0,5.0,28.0,15.0,59.0,9.0,18.0,24.0,43.0,4.0,7.0,25.0,20.0,29.0,37.0,17.0,19.0,53.0,36.0,51.0,16.0,33.0
368,0.0,2.0,1.0,3.0,8.0,7.0,23.0,6.0,10.0,17.0,4.0,25.0,13.0,61.0,21.0,29.0,16.0,11.0,12.0,18.0,37.0,27.0,14.0,35.0,5.0,43.0,20.0,39.0,36.0,44.0
417,5.0,4.0,2.0,9.0,19.0,0.0,22.0,17.0,1.0,3.0,15.0,24.0,51.0,26.0,29.0,25.0,45.0,6.0,37.0,12.0,34.0,21.0,43.0,27.0,8.0,47.0,32.0,13.0,50.0,40.0
466,3.0,0.0,2.0,8.0,7.0,5.0,33.0,30.0,4.0,19.0,1.0,40.0,27.0,14.0,15.0,44.0,10.0,22.0,18.0,29.0,28.0,20.0,9.0,17.0,24.0,64.0,31.0,34.0,6.0,52.0
515,1.0,4.0,0.0,8.0,5.0,35.0,2.0,7.0,10.0,20.0,6.0,16.0,12.0,9.0,23.0,22.0,37.0,27.0,53.0,46.0,38.0,44.0,41.0,13.0,19.0,11.0,28.0,21.0,31.0,18.0
564,1.0,5.0,2.0,4.0,0.0,17.0,6.0,7.0,34.0,20.0,53.0,33.0,32.0,12.0,24.0,21.0,30.0,52.0,15.0,35.0,3.0,56.0,18.0,14.0,25.0,10.0,57.0,13.0,19.0,29.0
613,0.0,5.0,2.0,9.0,1.0,46.0,10.0,8.0,62.0,51.0,24.0,17.0,19.0,3.0,41.0,11.0,43.0,18.0,35.0,20.0,57.0,40.0,12.0,4.0,53.0,15.0,6.0,33.0,48.0,45.0
662,9.0,0.0,2.0,13.0,10.0,37.0,6.0,1.0,5.0,25.0,4.0,19.0,34.0,7.0,11.0,20.0,29.0,26.0,51.0,16.0,33.0,12.0,15.0,44.0,17.0,22.0,3.0,23.0,57.0,14.0
711,12.0,1.0,0.0,3.0,10.0,7.0,19.0,2.0,18.0,35.0,50.0,5.0,33.0,4.0,22.0,14.0,11.0,16.0,26.0,20.0,27.0,52.0,23.0,28.0,43.0,39.0,31.0,6.0,21.0,8.0
760,2.0,0.0,3.0,23.0,5.0,48.0,22.0,1.0,15.0,37.0,9.0,13.0,7.0,8.0,12.0,27.0,17.0,10.0,41.0,43.0,6.0,64.0,26.0,20.0,4.0,51.0,18.0,21.0,16.0,30.0
809,0.0,1.0,2.0,11.0,3.0,16.0,46.0,5.0,26.0,6.0,7.0,20.0,12.0,4.0,29.0,28.0,40.0,31.0,35.0,9.0,23.0,38.0,8.0,21.0,17.0,13.0,41.0,44.0,49.0,14.0
858,2.0,3.0,0.0,8.0,5.0,9.0,11.0,4.0,15.0,6.0,23.0,25.0,18.0,1.0,17.0,19.0,21.0,29.0,22.0,34.0,28.0,42.0,14.0,24.0,50.0,33.0,30.0,43.0,12.0,27.0
907,1.0,7.0,0.0,2.0,13.0,21.0,19.0,8.0,18.0,9.0,54.0,17.0,30.0,4.0,28.0,35.0,46.0,47.0,20.0,49.0,22.0,53.0,23.0,26.0,31.0,15.0,6.0,14.0,32.0,41.0
956,1.0,0.0,2.0,51.0,4.0,44.0,27.0,13.0,8.0,11.0,14.0,32.0,7.0,3.0,24.0,45.0,5.0,12.0,9.0,21.0,16.0,17.0,23.0,38.0,42.0,34.0,18.0,61.0,31.0,43.0
1005,0.0,4.0,1.0,18.0,5.0,2.0,3.0,9.0,8.0,12.0,11.0,7.0,17.0,34.0,20.0,6.0,21.0,26.0,22.0,40.0,29.0,53.0,25.0,55.0,35.0,27.0,13.0,45.0,10.0,19.0
1054,0.0,1.0,2.0,17.0,6.0,4.0,3.0,7.0,27.0,11.0,12.0,13.0,8.0,20.0,16.0,39.0,5.0,36.0,56.0,10.0,44.0,19.0,25.0,21.0,42.0,40.0,14.0,34.0,33.0,35.0
1103,1.0,0.0,2.0,28.0,47.0,10.0,12.0,19.0,3.0,13.0,8.0,45.0,31.0,24.0,6.0,40.0,4.0,57.0,25.0,30.0,9.0,11.0,26.0,60.0,5.0,29.0,23.0,44.0,16.0,33.0
1152,1.0,5.0,0.0,41.0,33.0,10.0,2.0,13.0,4.0,26.0,3.0,8.0,6.0,17.0,14.0,49.0,23.0,15.0,37.0,20.0,30.0,27.0,25.0,29.0,32.0,36.0,52.0,16.0,31.0,40.0
1201,1.0,3.0,0.0,24.0,6.0,10.0,8.0,4.0,28.0,22.0,12.0,18.0,5.0,19.0,13.0,11.0,2.0,58.0,52.0,17.0,21.0,23.0,62.0,31.0,7.0,41.0,47.0,51.0,25.0,14.0
1250,0.0,2.0,1.0,11.0,4.0,20.0,23.0,7.0,21.0,14.0,26.0,41.0,5.0,22.0,8.0,6.0,13.0,57.0,12.0,28.0,24.0,29.0,3.0,15.0,52.0,63.0,39.0,27.0,32.0,19.0
1299,0.0,7.0,1.0,23.0,3.0,15.0,4.0,18.0,9.0,8.0,11.0,10.0,2.0,13.0,5.0,20.0,25.0,51.0,44.0,28.0,24.0,55.0,6.0,17.0,61.0,43.0,21.0,31.0,36.0,53.0
1348,0.0,1.0,6.0,30.0,42.0,2.0,11.0,16.0,34.0,22.0,29.0,4.0,5.0,12.0,26.0,60.0,20.0,50.0,46.0,28.0,13.0,32.0,40.0,53.0,14.0,17.0,10.0,19.0,37.0,45.0
1397,1.0,2.0,0.0,14.0,18.0,26.0,22.0,3.0,5.0,15.0,17.0,7.0,21.0,16.0,12.0,8.0,4.0,29.0,58.0,56.0,6.0,23.0,19.0,42.0,46.0,48.0,11.0,30.0,54.0,38.0
1446,15.0,3.0,0.0,14.0,16.0,22.0,5.0,1.0,21.0,17.0,30.0,24.0,10.0,18.0,2.0,25.0,44.0,58.0,8.0,11.0,6.0,20.0,37.0,31.0,63.0,36.0,32.0,53.0,28.0,59.0
