,inositol,alpha-glycerophosphate,cytidine,C34:4 PC,DHAP/glyceraldehyde 3P,C18:0 LPC,serotonin,oxalate,pantothenate,phosphocreatine,GABA,cystathionine,niacinamide,isocitrate,taurodeoxycholate,C16:0 LPE,alpha-hydroxybutyrate,cis/trans-hydroxyproline,creatine,C56:5 TAG,alpha-glycerophosphocholine,carnitine,C36:4 PC-B,acetylcholine,creatinine,serine,leucine,homocysteine,adenosine,beta-alanine
23,2.0,12.0,0.0,6.0,5.0,7.0,4.0,27.0,1.0,8.0,9.0,10.0,14.0,15.0,25.0,11.0,16.0,19.0,38.0,17.0,36.0,18.0,30.0,43.0,24.0,13.0,35.0,21.0,20.0,28.0
72,4.0,3.0,0.0,1.0,6.0,7.0,8.0,22.0,2.0,11.0,9.0,44.0,20.0,18.0,23.0,5.0,15.0,19.0,33.0,12.0,45.0,31.0,42.0,43.0,16.0,34.0,28.0,26.0,13.0,14.0
121,3.0,4.0,0.0,1.0,12.0,9.0,5.0,42.0,2.0,14.0,7.0,29.0,8.0,10.0,19.0,6.0,22.0,21.0,28.0,24.0,20.0,17.0,35.0,45.0,11.0,37.0,39.0,13.0,15.0,38.0
170,4.0,0.0,1.0,2.0,8.0,3.0,7.0,15.0,31.0,12.0,5.0,21.0,20.0,33.0,29.0,11.0,9.0,19.0,34.0,13.0,22.0,14.0,26.0,27.0,28.0,16.0,37.0,18.0,35.0,24.0
219,0.0,2.0,1.0,4.0,10.0,21.0,8.0,29.0,12.0,9.0,19.0,25.0,15.0,13.0,18.0,6.0,3.0,47.0,24.0,16.0,38.0,23.0,28.0,39.0,14.0,17.0,31.0,11.0,7.0,22.0
268,0.0,1.0,2.0,9.0,4.0,3.0,7.0,30.0,8.0,23.0,12.0,13.0,11.0,5.0,20.0,17.0,10.0,28.0,38.0,35.0,16.0,36.0,37.0,25.0,27.0,19.0,22.0,18.0,29.0,42.0
317,1.0,3.0,0.0,5.0,15.0,9.0,4.0,11.0,8.0,19.0,2.0,26.0,13.0,17.0,14.0,27.0,6.0,22.0,31.0,10.0,21.0,16.0,43.0,28.0,12.0,24.0,47.0,23.0,20.0,36.0
366,1.0,5.0,0.0,2.0,6.0,4.0,13.0,30.0,22.0,17.0,12.0,39.0,7.0,20.0,16.0,14.0,19.0,18.0,25.0,3.0,27.0,26.0,31.0,33.0,11.0,10.0,24.0,21.0,9.0,35.0
415,8.0,2.0,3.0,4.0,16.0,7.0,23.0,22.0,0.0,1.0,19.0,14.0,6.0,31.0,13.0,12.0,18.0,15.0,24.0,10.0,27.0,37.0,40.0,28.0,26.0,11.0,33.0,21.0,17.0,51.0
464,1.0,4.0,0.0,3.0,25.0,10.0,5.0,22.0,7.0,15.0,27.0,8.0,6.0,9.0,44.0,20.0,2.0,29.0,33.0,17.0,41.0,16.0,12.0,24.0,32.0,18.0,28.0,42.0,21.0,46.0
513,8.0,2.0,3.0,4.0,6.0,9.0,0.0,11.0,5.0,1.0,13.0,14.0,28.0,17.0,7.0,12.0,20.0,15.0,22.0,30.0,26.0,16.0,21.0,48.0,27.0,23.0,35.0,10.0,19.0,42.0
562,2.0,3.0,13.0,10.0,14.0,7.0,1.0,6.0,4.0,0.0,12.0,11.0,20.0,16.0,17.0,21.0,5.0,30.0,27.0,23.0,18.0,8.0,19.0,36.0,28.0,15.0,39.0,25.0,49.0,37.0
611,4.0,8.0,7.0,9.0,1.0,11.0,3.0,6.0,10.0,0.0,16.0,28.0,12.0,23.0,19.0,36.0,2.0,17.0,32.0,26.0,45.0,20.0,22.0,15.0,18.0,5.0,41.0,29.0,50.0,40.0
660,5.0,1.0,13.0,17.0,12.0,3.0,0.0,9.0,4.0,15.0,7.0,11.0,42.0,21.0,6.0,35.0,2.0,37.0,36.0,27.0,34.0,8.0,29.0,16.0,28.0,18.0,23.0,14.0,32.0,31.0
