, JAK-STAT, MAPK_PI3K, MAPK_only, Wnt, TGFB, PI3K_only, TNFa, VEGF, H2O2, IL-1, TLR
35,0.0,1.0,6.0,5.0,3.0,4.0,2.0,7.0,10.0,8.0,9.0
84,0.0,1.0,2.0,4.0,5.0,6.0,3.0,7.0,8.0,10.0,9.0
133,0.0,1.0,6.0,2.0,7.0,4.0,5.0,3.0,8.0,9.0,10.0
182,0.0,1.0,3.0,5.0,2.0,4.0,8.0,6.0,9.0,10.0,7.0
231,0.0,1.0,9.0,3.0,5.0,2.0,6.0,4.0,7.0,10.0,8.0
280,0.0,1.0,5.0,7.0,2.0,3.0,4.0,6.0,8.0,10.0,9.0
329,0.0,1.0,4.0,7.0,3.0,5.0,6.0,2.0,8.0,9.0,10.0
378,0.0,1.0,9.0,2.0,3.0,4.0,5.0,7.0,8.0,10.0,6.0
427,0.0,1.0,5.0,8.0,6.0,4.0,2.0,3.0,7.0,10.0,9.0
476,0.0,1.0,4.0,5.0,2.0,3.0,8.0,6.0,7.0,10.0,9.0
525,1.0,2.0,0.0,9.0,3.0,5.0,7.0,8.0,4.0,6.0,10.0
574,1.0,0.0,5.0,2.0,7.0,6.0,4.0,3.0,8.0,10.0,9.0
623,1.0,0.0,5.0,8.0,3.0,2.0,6.0,4.0,9.0,10.0,7.0
672,1.0,0.0,8.0,7.0,6.0,2.0,5.0,3.0,4.0,10.0,9.0
721,1.0,0.0,7.0,6.0,3.0,2.0,5.0,8.0,4.0,10.0,9.0
770,1.0,0.0,6.0,8.0,2.0,7.0,3.0,5.0,4.0,9.0,10.0
819,7.0,0.0,3.0,8.0,1.0,2.0,5.0,6.0,4.0,10.0,9.0
868,4.0,0.0,3.0,1.0,2.0,5.0,9.0,8.0,6.0,10.0,7.0
917,3.0,0.0,6.0,5.0,4.0,1.0,8.0,2.0,9.0,7.0,10.0
966,4.0,0.0,5.0,2.0,8.0,1.0,3.0,6.0,9.0,7.0,10.0
1015,1.0,0.0,2.0,3.0,6.0,4.0,8.0,5.0,9.0,7.0,10.0
1064,0.0,3.0,2.0,5.0,1.0,4.0,7.0,6.0,8.0,10.0,9.0
1113,3.0,1.0,0.0,7.0,4.0,2.0,6.0,5.0,10.0,9.0,8.0
1162,5.0,0.0,4.0,2.0,7.0,1.0,3.0,6.0,10.0,8.0,9.0
1211,4.0,2.0,0.0,7.0,3.0,6.0,5.0,1.0,10.0,8.0,9.0
1260,4.0,0.0,1.0,2.0,5.0,3.0,6.0,10.0,9.0,7.0,8.0
1309,3.0,0.0,2.0,1.0,6.0,4.0,5.0,7.0,10.0,8.0,9.0
1358,2.0,3.0,0.0,5.0,1.0,4.0,6.0,7.0,10.0,8.0,9.0
1407,0.0,1.0,6.0,3.0,5.0,2.0,4.0,7.0,10.0,9.0,8.0
1456,6.0,4.0,0.0,2.0,1.0,3.0,7.0,5.0,9.0,8.0,10.0
1505,3.0,5.0,6.0,0.0,4.0,1.0,2.0,7.0,8.0,10.0,9.0
1554,4.0,3.0,5.0,0.0,7.0,1.0,2.0,6.0,9.0,8.0,10.0
1603,2.0,0.0,5.0,1.0,6.0,4.0,3.0,7.0,8.0,9.0,10.0
1652,0.0,1.0,7.0,5.0,2.0,4.0,3.0,6.0,10.0,9.0,8.0
1701,4.0,0.0,7.0,3.0,1.0,2.0,6.0,5.0,10.0,9.0,8.0
1750,0.0,2.0,5.0,3.0,7.0,1.0,6.0,4.0,8.0,9.0,10.0
