,TSPYL5,LEPREL2,EMR1,LDOC1,AGAP4,PXDN,ZNF229,DUSP23,PTPN13,WNT5B,WNK4,RPS6KA6,ZYG11A,ZNF347,S100A4,ZNF518B,SH3BP1,ENPP2,C1orf233,ZNF502,TTC31,VWDE,CTF1,AC005624.2,ZNF90,OSR1,HBQ1,ZNF239,MFAP2,RP11-561C5.4
9,0.0,1.0,5.0,20.0,8.0,4.0,10.0,13.0,7.0,31.0,105.0,95.0,48.0,24.0,19.0,9.0,21.0,422.0,6.0,146.0,28.0,34.0,12.0,52.0,50.0,72.0,37.0,11.0,135.0,346.0
58,1.0,0.0,3.0,8.0,6.0,9.0,15.0,100.0,19.0,24.0,25.0,46.0,485.0,10.0,2.0,14.0,71.0,748.0,40.0,68.0,101.0,152.0,27.0,842.0,51.0,127.0,139.0,12.0,797.0,419.0
107,2.0,0.0,3.0,15.0,1.0,4.0,23.0,10.0,5.0,65.0,29.0,71.0,181.0,6.0,22.0,17.0,39.0,844.0,16.0,69.0,45.0,31.0,27.0,477.0,58.0,50.0,35.0,8.0,678.0,347.0
156,0.0,1.0,4.0,2.0,10.0,3.0,9.0,8.0,100.0,20.0,16.0,25.0,340.0,5.0,37.0,11.0,26.0,163.0,44.0,27.0,28.0,35.0,7.0,40.0,49.0,69.0,64.0,19.0,47.0,107.0
205,0.0,1.0,2.0,20.0,6.0,3.0,5.0,45.0,22.0,17.0,52.0,346.0,18.0,16.0,10.0,8.0,233.0,149.0,70.0,54.0,28.0,33.0,144.0,148.0,98.0,289.0,106.0,9.0,100.0,152.0
254,2.0,0.0,7.0,74.0,8.0,1.0,4.0,6.0,9.0,32.0,10.0,61.0,50.0,26.0,20.0,40.0,58.0,343.0,5.0,76.0,54.0,47.0,19.0,219.0,233.0,75.0,39.0,16.0,24.0,208.0
303,0.0,1.0,3.0,29.0,10.0,5.0,7.0,42.0,6.0,66.0,89.0,85.0,109.0,20.0,17.0,12.0,15.0,809.0,9.0,57.0,24.0,16.0,100.0,51.0,21.0,55.0,86.0,4.0,193.0,203.0
352,1.0,0.0,6.0,11.0,14.0,3.0,12.0,7.0,4.0,31.0,50.0,146.0,26.0,2.0,13.0,5.0,36.0,413.0,10.0,29.0,78.0,60.0,24.0,141.0,16.0,41.0,59.0,21.0,173.0,531.0
401,0.0,2.0,18.0,156.0,1.0,3.0,4.0,22.0,29.0,216.0,94.0,30.0,17.0,10.0,12.0,15.0,36.0,152.0,26.0,25.0,19.0,71.0,213.0,95.0,14.0,44.0,31.0,9.0,33.0,562.0
450,0.0,1.0,3.0,77.0,8.0,2.0,55.0,62.0,9.0,26.0,15.0,66.0,68.0,5.0,69.0,17.0,207.0,299.0,10.0,110.0,63.0,38.0,29.0,432.0,43.0,46.0,57.0,13.0,358.0,491.0
499,0.0,2.0,4.0,1.0,22.0,6.0,3.0,10.0,74.0,51.0,34.0,42.0,5.0,798.0,16.0,474.0,44.0,23.0,41.0,19.0,76.0,45.0,67.0,8.0,571.0,18.0,110.0,52.0,1023.0,27.0
548,2.0,0.0,19.0,1.0,4.0,18.0,10.0,49.0,29.0,12.0,13.0,20.0,6.0,671.0,31.0,16.0,36.0,22.0,244.0,289.0,11.0,21.0,64.0,3.0,280.0,7.0,37.0,353.0,106.0,68.0
597,0.0,2.0,4.0,1.0,24.0,28.0,6.0,8.0,12.0,72.0,5.0,33.0,22.0,156.0,152.0,11.0,20.0,16.0,173.0,10.0,65.0,21.0,30.0,9.0,29.0,37.0,155.0,43.0,300.0,53.0
646,0.0,5.0,1.0,14.0,4.0,6.0,3.0,2.0,52.0,74.0,19.0,32.0,10.0,230.0,45.0,35.0,25.0,71.0,174.0,26.0,27.0,39.0,61.0,7.0,107.0,33.0,37.0,18.0,519.0,108.0
695,0.0,1.0,10.0,3.0,7.0,2.0,4.0,5.0,12.0,18.0,6.0,34.0,32.0,11.0,221.0,16.0,22.0,36.0,291.0,39.0,74.0,28.0,163.0,19.0,46.0,216.0,61.0,51.0,68.0,84.0
744,0.0,2.0,15.0,1.0,7.0,14.0,6.0,5.0,10.0,99.0,33.0,21.0,29.0,74.0,27.0,28.0,17.0,195.0,121.0,30.0,39.0,11.0,3.0,9.0,192.0,42.0,180.0,31.0,3021.0,41.0
793,0.0,2.0,4.0,1.0,6.0,7.0,5.0,3.0,10.0,37.0,9.0,8.0,16.0,532.0,97.0,34.0,14.0,13.0,38.0,53.0,24.0,30.0,18.0,11.0,58.0,28.0,42.0,57.0,377.0,48.0
842,0.0,2.0,7.0,1.0,3.0,4.0,8.0,6.0,15.0,24.0,9.0,19.0,67.0,151.0,10.0,35.0,25.0,28.0,70.0,47.0,23.0,18.0,57.0,5.0,54.0,29.0,33.0,40.0,253.0,22.0
891,0.0,2.0,3.0,1.0,19.0,11.0,4.0,15.0,8.0,179.0,26.0,9.0,65.0,123.0,271.0,24.0,14.0,46.0,104.0,6.0,10.0,103.0,106.0,5.0,23.0,37.0,198.0,57.0,101.0,43.0
940,0.0,3.0,2.0,1.0,5.0,16.0,20.0,4.0,14.0,7.0,6.0,18.0,70.0,508.0,96.0,40.0,15.0,27.0,186.0,33.0,63.0,134.0,10.0,29.0,80.0,56.0,94.0,138.0,491.0,9.0
989,0.0,9.0,3.0,1.0,11.0,4.0,2.0,60.0,12.0,73.0,25.0,7.0,84.0,34.0,387.0,61.0,6.0,89.0,1375.0,13.0,53.0,152.0,272.0,57.0,16.0,127.0,97.0,28.0,38.0,146.0
