,XBP1,4E-BP1,AMPK_pT172,Rictor_pT1135,IRS1,VAV1,Akt_pS473,alpha-Catenin,RSK1-2-3,YAP_pS127,STAT5-alpha,A-Raf_pS299,Transglutaminase,Claudin-7,Syk,PAI-1,VEGFR2,Bcl-2,PRDX1,Bax,C-Raf(BD610151),Porin,CD49b,C-Raf_pS338,FRA1,Acetyl-a-Tubulin (Lys40),Collagen_VI,Stathmin,4E-BP1_pT37_T46,E-Cadherin
4,3.0,0.0,1.0,11.0,6.0,15.0,2.0,12.0,13.0,39.0,4.0,35.0,9.0,14.0,111.0,80.0,103.0,37.0,96.0,5.0,72.0,23.0,41.0,36.0,81.0,20.0,51.0,123.0,25.0,30.0
53,1.0,2.0,0.0,18.0,14.0,6.0,34.0,7.0,10.0,21.0,8.0,19.0,56.0,26.0,29.0,50.0,72.0,32.0,54.0,13.0,149.0,3.0,5.0,138.0,23.0,120.0,12.0,95.0,35.0,43.0
102,2.0,0.0,1.0,8.0,3.0,14.0,18.0,7.0,17.0,55.0,19.0,42.0,5.0,4.0,16.0,105.0,12.0,29.0,11.0,24.0,32.0,21.0,6.0,38.0,72.0,9.0,36.0,74.0,30.0,35.0
151,4.0,12.0,1.0,21.0,3.0,11.0,26.0,9.0,16.0,2.0,19.0,8.0,17.0,14.0,10.0,65.0,32.0,33.0,51.0,20.0,0.0,6.0,7.0,53.0,82.0,61.0,35.0,39.0,24.0,15.0
200,6.0,4.0,1.0,3.0,0.0,19.0,43.0,13.0,5.0,17.0,14.0,10.0,15.0,29.0,49.0,116.0,99.0,23.0,24.0,16.0,22.0,21.0,32.0,66.0,42.0,20.0,27.0,39.0,135.0,9.0
249,4.0,0.0,1.0,19.0,14.0,9.0,2.0,25.0,21.0,28.0,5.0,22.0,3.0,29.0,73.0,18.0,31.0,97.0,137.0,20.0,62.0,24.0,11.0,12.0,76.0,37.0,49.0,75.0,32.0,6.0
298,5.0,1.0,0.0,2.0,3.0,8.0,11.0,10.0,6.0,25.0,15.0,28.0,9.0,37.0,7.0,44.0,52.0,29.0,51.0,46.0,80.0,4.0,53.0,47.0,95.0,16.0,64.0,14.0,142.0,58.0
347,2.0,3.0,0.0,4.0,5.0,16.0,12.0,64.0,6.0,73.0,46.0,14.0,1.0,10.0,8.0,22.0,18.0,17.0,62.0,9.0,15.0,20.0,13.0,30.0,40.0,19.0,35.0,28.0,88.0,24.0
396,10.0,7.0,2.0,0.0,3.0,18.0,37.0,19.0,4.0,15.0,6.0,53.0,8.0,17.0,12.0,40.0,25.0,60.0,152.0,1.0,76.0,21.0,34.0,78.0,32.0,27.0,55.0,9.0,70.0,20.0
445,9.0,4.0,0.0,7.0,2.0,6.0,32.0,1.0,24.0,39.0,20.0,18.0,35.0,13.0,3.0,26.0,58.0,5.0,37.0,63.0,42.0,38.0,8.0,21.0,30.0,34.0,28.0,41.0,107.0,10.0
