,XBP1,4E-BP1,AMPK_pT172,BRCA2,RSK1-2-3,Bax,HER2_pY1248,Transglutaminase,STAT5-alpha,IRS1,VEGFR2,Rictor_pT1135,Acetyl-a-Tubulin (Lys40),Chk1_pS345,Bcl-xL,PRDX1,Akt_pS473,MAPK_pT202_Y204,Bcl-2,CD49b,Claudin-7,Chk2,SHP-2_pY542,Collagen_VI,HER3,beta-Catenin_pT41_S45,Porin,YAP_pS127,Tuberin_pT1462,B-Raf
5,70.0,17.0,8.0,27.0,10.0,6.0,87.0,71.0,20.0,42.0,132.0,15.0,123.0,93.0,63.0,76.0,45.0,67.0,56.0,40.0,107.0,53.0,36.0,60.0,33.0,78.0,23.0,75.0,1.0,37.0
54,21.0,40.0,16.0,7.0,71.0,8.0,155.0,33.0,69.0,106.0,123.0,44.0,143.0,91.0,75.0,29.0,4.0,19.0,100.0,2.0,11.0,32.0,70.0,31.0,9.0,5.0,14.0,117.0,37.0,51.0
103,44.0,27.0,13.0,107.0,42.0,129.0,34.0,17.0,15.0,33.0,51.0,46.0,9.0,4.0,37.0,53.0,35.0,22.0,66.0,2.0,61.0,0.0,67.0,144.0,3.0,81.0,26.0,18.0,1.0,40.0
152,33.0,43.0,18.0,22.0,48.0,14.0,45.0,24.0,47.0,32.0,39.0,58.0,16.0,49.0,156.0,87.0,44.0,75.0,63.0,0.0,6.0,2.0,73.0,85.0,95.0,84.0,38.0,70.0,19.0,64.0
201,77.0,34.0,23.0,76.0,25.0,125.0,85.0,3.0,28.0,35.0,129.0,20.0,22.0,72.0,15.0,10.0,37.0,139.0,106.0,143.0,11.0,0.0,79.0,33.0,49.0,2.0,82.0,61.0,68.0,78.0
250,25.0,5.0,17.0,1.0,99.0,22.0,10.0,46.0,59.0,41.0,98.0,32.0,28.0,77.0,2.0,66.0,53.0,76.0,88.0,18.0,86.0,68.0,38.0,64.0,56.0,23.0,65.0,61.0,80.0,101.0
299,108.0,50.0,10.0,76.0,57.0,8.0,25.0,23.0,67.0,52.0,120.0,13.0,32.0,45.0,24.0,66.0,73.0,9.0,99.0,89.0,4.0,1.0,60.0,130.0,162.0,70.0,27.0,53.0,65.0,42.0
348,97.0,27.0,11.0,103.0,13.0,7.0,4.0,16.0,45.0,15.0,99.0,25.0,6.0,50.0,23.0,29.0,56.0,66.0,111.0,26.0,18.0,0.0,22.0,139.0,133.0,14.0,68.0,125.0,120.0,39.0
397,55.0,50.0,14.0,162.0,13.0,15.0,2.0,31.0,21.0,29.0,47.0,17.0,20.0,39.0,79.0,94.0,36.0,85.0,90.0,0.0,1.0,67.0,72.0,107.0,135.0,53.0,71.0,54.0,131.0,120.0
446,79.0,47.0,18.0,131.0,78.0,134.0,155.0,67.0,61.0,27.0,72.0,36.0,9.0,71.0,133.0,56.0,115.0,13.0,97.0,1.0,3.0,83.0,85.0,17.0,5.0,46.0,62.0,26.0,99.0,82.0
495,10.0,26.0,33.0,42.0,14.0,61.0,21.0,63.0,44.0,25.0,51.0,68.0,62.0,8.0,35.0,36.0,88.0,43.0,15.0,142.0,23.0,9.0,75.0,57.0,143.0,65.0,162.0,34.0,128.0,0.0
544,21.0,40.0,20.0,126.0,27.0,15.0,37.0,0.0,49.0,13.0,116.0,19.0,46.0,43.0,74.0,32.0,73.0,140.0,45.0,117.0,23.0,9.0,59.0,25.0,28.0,10.0,84.0,70.0,52.0,55.0
593,17.0,24.0,19.0,2.0,14.0,54.0,22.0,31.0,127.0,37.0,5.0,13.0,15.0,9.0,0.0,159.0,106.0,7.0,111.0,128.0,89.0,34.0,40.0,27.0,136.0,21.0,157.0,12.0,50.0,141.0
642,5.0,49.0,9.0,22.0,15.0,99.0,41.0,18.0,37.0,64.0,136.0,110.0,38.0,79.0,29.0,95.0,111.0,58.0,73.0,125.0,33.0,46.0,53.0,24.0,12.0,85.0,92.0,19.0,40.0,130.0
691,44.0,27.0,41.0,26.0,7.0,22.0,17.0,53.0,13.0,57.0,101.0,66.0,23.0,106.0,62.0,61.0,60.0,145.0,39.0,58.0,1.0,0.0,100.0,55.0,14.0,38.0,153.0,18.0,94.0,65.0
740,4.0,2.0,50.0,32.0,24.0,39.0,28.0,94.0,47.0,37.0,10.0,53.0,127.0,116.0,137.0,52.0,110.0,36.0,108.0,1.0,25.0,15.0,61.0,23.0,123.0,33.0,85.0,31.0,69.0,80.0
789,37.0,76.0,10.0,5.0,16.0,137.0,18.0,9.0,89.0,46.0,29.0,59.0,100.0,33.0,119.0,48.0,38.0,117.0,111.0,153.0,65.0,62.0,32.0,102.0,0.0,93.0,148.0,64.0,40.0,35.0
838,41.0,26.0,40.0,31.0,33.0,23.0,80.0,62.0,75.0,22.0,113.0,70.0,106.0,65.0,66.0,43.0,2.0,83.0,27.0,90.0,14.0,4.0,100.0,138.0,0.0,29.0,58.0,21.0,42.0,85.0
887,12.0,32.0,37.0,0.0,44.0,27.0,18.0,9.0,85.0,25.0,34.0,63.0,15.0,33.0,5.0,80.0,100.0,149.0,21.0,1.0,118.0,52.0,61.0,112.0,7.0,39.0,24.0,84.0,3.0,58.0
936,63.0,31.0,66.0,5.0,61.0,0.0,76.0,25.0,59.0,49.0,82.0,79.0,34.0,90.0,153.0,72.0,28.0,84.0,54.0,3.0,29.0,2.0,52.0,77.0,73.0,10.0,43.0,6.0,37.0,45.0
985,19.0,25.0,1.0,18.0,33.0,71.0,12.0,7.0,15.0,51.0,114.0,13.0,66.0,129.0,92.0,45.0,73.0,70.0,35.0,120.0,53.0,103.0,69.0,27.0,41.0,46.0,102.0,48.0,28.0,126.0
1034,32.0,43.0,29.0,22.0,41.0,49.0,24.0,45.0,47.0,99.0,113.0,13.0,80.0,5.0,2.0,11.0,78.0,20.0,15.0,77.0,21.0,73.0,44.0,74.0,159.0,134.0,65.0,31.0,58.0,8.0
1083,16.0,17.0,14.0,121.0,47.0,42.0,29.0,81.0,7.0,69.0,65.0,53.0,107.0,5.0,10.0,78.0,102.0,49.0,87.0,109.0,38.0,163.0,23.0,28.0,25.0,92.0,30.0,54.0,1.0,12.0
