,HAEMATOPOIETIC,PANCREAS,ENDOMETRIUM,LUNG,URINARY,BREAST,KIDNEY,SKIN,OVARY,AERODIGESTIVE,LIVER,NERVOUS,STOMACH,LARGE_INTESTINE,PLEURA,SOFT_TISSUE,OESOPHAGUS,BONE,GANGLIA,THYROID,PROSTATE,SALIVARY,BILIARY
42,0.0,1.0,14.0,12.0,5.0,3.0,4.0,8.0,6.0,16.0,2.0,7.0,13.0,18.0,20.0,11.0,9.0,10.0,15.0,19.0,17.0,21.0,22.0
91,0.0,1.0,15.0,16.0,4.0,2.0,13.0,12.0,18.0,10.0,8.0,9.0,11.0,5.0,7.0,3.0,6.0,14.0,19.0,17.0,22.0,20.0,21.0
140,0.0,1.0,12.0,11.0,8.0,3.0,6.0,14.0,5.0,9.0,7.0,10.0,15.0,2.0,4.0,13.0,18.0,16.0,17.0,20.0,21.0,19.0,22.0
189,0.0,1.0,2.0,9.0,11.0,6.0,3.0,8.0,14.0,12.0,10.0,7.0,15.0,5.0,13.0,18.0,17.0,4.0,16.0,19.0,21.0,20.0,22.0
238,0.0,1.0,17.0,6.0,3.0,2.0,7.0,4.0,5.0,8.0,15.0,12.0,10.0,9.0,13.0,16.0,14.0,11.0,18.0,22.0,20.0,19.0,21.0
287,0.0,1.0,6.0,4.0,3.0,5.0,2.0,8.0,7.0,9.0,15.0,11.0,19.0,12.0,10.0,13.0,17.0,16.0,14.0,18.0,20.0,22.0,21.0
336,0.0,3.0,6.0,7.0,4.0,1.0,2.0,13.0,8.0,11.0,14.0,12.0,20.0,9.0,10.0,16.0,15.0,18.0,5.0,17.0,21.0,19.0,22.0
385,0.0,1.0,4.0,10.0,7.0,16.0,2.0,8.0,5.0,11.0,3.0,15.0,12.0,6.0,9.0,14.0,17.0,13.0,19.0,18.0,21.0,20.0,22.0
434,0.0,1.0,7.0,5.0,2.0,11.0,17.0,13.0,6.0,4.0,16.0,10.0,14.0,3.0,9.0,8.0,15.0,19.0,12.0,22.0,20.0,18.0,21.0
483,0.0,1.0,9.0,2.0,8.0,5.0,4.0,3.0,7.0,18.0,10.0,16.0,11.0,6.0,20.0,14.0,13.0,15.0,12.0,17.0,21.0,19.0,22.0
532,0.0,1.0,2.0,3.0,7.0,18.0,20.0,6.0,11.0,5.0,8.0,9.0,4.0,16.0,21.0,13.0,12.0,10.0,14.0,22.0,17.0,15.0,19.0
581,0.0,2.0,1.0,4.0,7.0,8.0,20.0,6.0,15.0,13.0,12.0,11.0,3.0,9.0,21.0,10.0,14.0,5.0,17.0,22.0,16.0,18.0,19.0
630,0.0,1.0,3.0,4.0,7.0,6.0,5.0,10.0,9.0,8.0,11.0,12.0,2.0,13.0,19.0,14.0,15.0,17.0,20.0,22.0,16.0,18.0,21.0
679,0.0,1.0,3.0,5.0,15.0,7.0,4.0,8.0,11.0,9.0,10.0,12.0,2.0,13.0,22.0,16.0,6.0,14.0,18.0,21.0,17.0,19.0,20.0
728,0.0,1.0,7.0,2.0,5.0,8.0,6.0,9.0,4.0,10.0,14.0,16.0,3.0,12.0,21.0,17.0,11.0,13.0,15.0,18.0,22.0,19.0,20.0
777,0.0,3.0,1.0,4.0,5.0,11.0,6.0,7.0,9.0,10.0,8.0,19.0,2.0,12.0,20.0,15.0,13.0,14.0,16.0,17.0,18.0,22.0,21.0
826,0.0,2.0,1.0,3.0,6.0,7.0,5.0,4.0,10.0,8.0,9.0,12.0,15.0,19.0,20.0,14.0,11.0,13.0,16.0,22.0,21.0,18.0,17.0
875,0.0,1.0,2.0,5.0,8.0,6.0,10.0,7.0,11.0,4.0,9.0,16.0,3.0,18.0,20.0,12.0,14.0,13.0,17.0,21.0,19.0,15.0,22.0
924,0.0,1.0,2.0,3.0,8.0,5.0,7.0,6.0,14.0,11.0,10.0,18.0,4.0,9.0,19.0,15.0,17.0,12.0,13.0,21.0,20.0,22.0,16.0
