,ZNF490_DEL,MTAP_DEL,GLI3_MUT,DEFB109P1_DEL,PRAMEF2_DEL,AXDND1_AMP,FLT3_MUT,JAK2_AMP,NRAS_MUT,DACH2_DEL,DPP6_DEL,APBA1_AMP,CERS6_DEL,ZMAT4_DEL,AFF2_DEL,C9orf53_DEL,ADARB2_DEL,GLIS3_DEL,FGF1_AMP,LOC729737_DEL,C1orf227_DEL,ETS1_DEL,PRKCE_DEL,LRRC37A_AMP,PLD1_MUT,INSRR_MUT,ZDHHC11_DEL,CDKN2B_DEL,RGL2_MUT,LCE1E_DEL
28,12749.0,17.0,697.0,2.0,11867.0,18187.0,7.0,15021.0,547.0,269.0,104.0,2141.0,11.0,7308.0,6021.0,3.0,163.0,23.0,67.0,168.0,2972.0,24.0,545.0,1487.0,443.0,1529.0,6.0,509.0,174.0,533.0
77,9.0,0.0,27.0,36.0,30.0,410.0,1298.0,568.0,16535.0,78.0,60.0,1562.0,7.0,255.0,6738.0,3.0,20994.0,92.0,74.0,109.0,5865.0,2425.0,12369.0,19603.0,902.0,297.0,7369.0,661.0,140.0,1202.0
126,5.0,13.0,0.0,4.0,1584.0,33.0,368.0,15045.0,40.0,20469.0,9.0,2180.0,15.0,7316.0,129.0,26.0,21015.0,4797.0,49.0,8422.0,1863.0,330.0,12390.0,945.0,20.0,971.0,84.0,1941.0,482.0,4056.0
175,12795.0,32.0,184.0,2.0,2510.0,708.0,16675.0,27.0,441.0,1545.0,291.0,0.0,12.0,496.0,1594.0,17.0,101.0,56.0,13855.0,8365.0,934.0,5145.0,12369.0,225.0,16500.0,1271.0,393.0,48.0,1601.0,1646.0
224,806.0,89.0,35.0,7236.0,134.0,18177.0,16666.0,15119.0,73.0,251.0,21.0,1456.0,7183.0,7376.0,1022.0,961.0,21136.0,0.0,13852.0,8299.0,5806.0,945.0,104.0,1044.0,16482.0,1327.0,88.0,14.0,69.0,4017.0
273,190.0,1208.0,5.0,199.0,261.0,18157.0,4.0,15134.0,512.0,1280.0,11.0,13361.0,7.0,139.0,30.0,1018.0,156.0,17.0,63.0,564.0,49.0,65.0,88.0,86.0,170.0,116.0,26.0,24.0,482.0,4017.0
322,176.0,46.0,0.0,6931.0,12358.0,994.0,12500.0,654.0,668.0,21.0,7.0,36.0,20.0,879.0,7105.0,3.0,21266.0,507.0,77.0,171.0,414.0,213.0,1778.0,195.0,4955.0,4072.0,1321.0,876.0,21333.0,2120.0
371,2780.0,47.0,2035.0,0.0,44.0,39.0,6.0,15145.0,12.0,20591.0,73.0,13336.0,5.0,9849.0,28.0,1.0,54.0,35.0,2755.0,9556.0,1241.0,78.0,11998.0,2709.0,145.0,1003.0,9915.0,185.0,17004.0,117.0
420,505.0,1492.0,5.0,6.0,8047.0,4.0,118.0,145.0,16541.0,1027.0,135.0,148.0,159.0,59.0,666.0,174.0,21129.0,0.0,107.0,9174.0,31.0,2573.0,110.0,2736.0,425.0,52.0,7.0,625.0,16946.0,55.0
469,1536.0,93.0,28.0,12.0,188.0,3.0,304.0,970.0,187.0,384.0,16.0,13333.0,13.0,7383.0,132.0,42.0,405.0,195.0,13729.0,8364.0,793.0,1286.0,228.0,19723.0,21.0,16447.0,18.0,21027.0,33.0,4019.0
