,DACH2_DEL,APBA1_AMP,ZNF490_DEL,FLT3_MUT,GLI3_MUT,C1orf227_DEL,AXDND1_AMP,MTAP_DEL,FGF1_AMP,PRAMEF2_DEL,DEFB109P1_DEL,ETS1_DEL,ADARB2_DEL,DPP6_DEL,PRODH_DEL,GSTTP1_AMP,NRAS_MUT,MRC1_DEL,LOC729737_DEL,ZDHHC11_DEL,DOCK10_AMP,LRMP_AMP,AATK_AMP,PDE4DIP_AMP,FAM66A_DEL,MIR548AI_DEL,OR52N5_DEL,KIAA0125_AMP,JAK2_DEL,SHROOM2_DEL
33,7.0,38.0,11548.0,35.0,2.0,0.0,41.0,31.0,154.0,11298.0,37.0,6059.0,20015.0,160.0,9868.0,108.0,15998.0,121.0,7569.0,66.0,21424.0,105.0,73.0,18721.0,171.0,129.0,2810.0,137.0,136.0,2413.0
82,7.0,83.0,99.0,16183.0,14.0,3846.0,5.0,59.0,111.0,37.0,5280.0,6050.0,102.0,187.0,45.0,106.0,33.0,70.0,82.0,143.0,72.0,13732.0,18726.0,18734.0,181.0,161.0,2780.0,18806.0,129.0,135.0
131,4454.0,28.0,22.0,17.0,6.0,3844.0,16958.0,29.0,76.0,11295.0,88.0,83.0,20006.0,89.0,49.0,64.0,15992.0,106.0,93.0,143.0,128.0,78.0,18725.0,36.0,114.0,121.0,109.0,16.0,165.0,81.0
180,60.0,16.0,17.0,5.0,67.0,28.0,16957.0,54.0,13524.0,117.0,59.0,6056.0,78.0,84.0,11618.0,95.0,63.0,50.0,32.0,73.0,170.0,51.0,80.0,66.0,120.0,123.0,2782.0,18825.0,192.0,76.0
229,4584.0,14461.0,11532.0,16184.0,30.0,3784.0,27.0,63.0,164.0,11292.0,113.0,6044.0,174.0,142.0,12.0,67.0,114.0,2209.0,124.0,59.0,56.0,47.0,18723.0,131.0,54.0,115.0,112.0,18824.0,38.0,134.0
278,4.0,24.0,76.0,37.0,16.0,7.0,47.0,63.0,78.0,11281.0,5290.0,6059.0,15.0,80.0,115.0,129.0,5.0,100.0,82.0,127.0,136.0,38.0,174.0,18717.0,118.0,131.0,2813.0,71.0,60.0,2416.0
327,3.0,26.0,33.0,16188.0,19.0,6.0,27.0,30.0,67.0,11315.0,59.0,6048.0,20008.0,90.0,143.0,74.0,15995.0,66.0,25.0,114.0,124.0,68.0,141.0,18850.0,189.0,154.0,110.0,122.0,191.0,2409.0
376,25.0,20.0,32.0,30.0,62.0,3844.0,24.0,19.0,119.0,11296.0,96.0,6052.0,11.0,75.0,117.0,63.0,15994.0,123.0,7539.0,64.0,114.0,13733.0,18726.0,183.0,53.0,194.0,2809.0,92.0,77.0,99.0
425,4517.0,81.0,34.0,3.0,65.0,2.0,12.0,49.0,124.0,61.0,55.0,5.0,20023.0,86.0,90.0,12401.0,47.0,98.0,73.0,102.0,167.0,13710.0,93.0,59.0,89.0,108.0,2748.0,145.0,2510.0,143.0
474,7.0,18.0,2.0,13.0,12.0,42.0,17.0,63.0,151.0,11295.0,84.0,6051.0,15.0,98.0,51.0,62.0,0.0,56.0,7537.0,116.0,21415.0,13734.0,101.0,54.0,50.0,126.0,46.0,18821.0,135.0,147.0
523,110.0,14520.0,26.0,16180.0,15942.0,3809.0,16951.0,65.0,84.0,53.0,61.0,6043.0,43.0,89.0,37.0,93.0,59.0,2200.0,98.0,57.0,21414.0,20.0,35.0,18827.0,125.0,128.0,126.0,18823.0,2.0,145.0
572,3.0,14532.0,28.0,20.0,15951.0,34.0,12.0,116.0,77.0,11299.0,107.0,30.0,37.0,75.0,92.0,12408.0,1.0,74.0,7544.0,61.0,142.0,83.0,85.0,78.0,181.0,148.0,89.0,18805.0,2522.0,2430.0
621,16.0,14521.0,27.0,16183.0,40.0,1.0,4.0,54.0,53.0,37.0,55.0,44.0,97.0,80.0,11612.0,57.0,103.0,70.0,7534.0,52.0,21412.0,34.0,125.0,71.0,171.0,135.0,131.0,19.0,11.0,2439.0
670,14.0,14526.0,15.0,39.0,10.0,3838.0,16958.0,28.0,43.0,55.0,18.0,66.0,56.0,79.0,11619.0,25.0,37.0,115.0,7567.0,86.0,31.0,63.0,83.0,53.0,157.0,169.0,120.0,50.0,2453.0,2410.0
719,4448.0,14529.0,13.0,16187.0,46.0,3837.0,16960.0,94.0,41.0,22.0,63.0,98.0,23.0,68.0,135.0,75.0,20.0,143.0,5.0,130.0,21416.0,87.0,84.0,128.0,201.0,86.0,18.0,32.0,2519.0,2407.0
768,17.0,14519.0,31.0,16180.0,15942.0,3837.0,47.0,44.0,56.0,42.0,91.0,68.0,38.0,78.0,98.0,111.0,4.0,167.0,7535.0,177.0,21432.0,13753.0,142.0,143.0,184.0,125.0,2915.0,18823.0,166.0,2412.0
817,58.0,14467.0,49.0,45.0,15949.0,3844.0,6.0,78.0,38.0,22.0,66.0,13.0,40.0,94.0,114.0,118.0,12.0,159.0,7607.0,109.0,21425.0,13724.0,93.0,77.0,144.0,147.0,199.0,178.0,2502.0,117.0
866,86.0,14528.0,58.0,16186.0,28.0,47.0,9.0,99.0,113.0,48.0,82.0,135.0,55.0,88.0,43.0,12405.0,5.0,157.0,7568.0,150.0,68.0,13735.0,18725.0,36.0,184.0,101.0,37.0,71.0,173.0,127.0
915,14.0,78.0,38.0,52.0,32.0,49.0,34.0,2016.0,132.0,152.0,107.0,6061.0,103.0,75.0,30.0,93.0,6.0,133.0,7599.0,127.0,21421.0,163.0,110.0,77.0,184.0,113.0,2812.0,171.0,84.0,2416.0
964,54.0,14525.0,17.0,16181.0,36.0,3793.0,16959.0,60.0,39.0,11271.0,119.0,19.0,120.0,65.0,27.0,12402.0,15989.0,78.0,7562.0,4.0,21418.0,133.0,18724.0,18781.0,86.0,130.0,2800.0,30.0,163.0,2402.0
1013,6.0,60.0,39.0,16181.0,33.0,16.0,16960.0,35.0,67.0,81.0,5281.0,147.0,171.0,90.0,46.0,130.0,16151.0,97.0,34.0,123.0,133.0,11.0,152.0,18713.0,127.0,119.0,113.0,159.0,155.0,51.0
1062,18.0,79.0,40.0,16184.0,15949.0,29.0,16961.0,56.0,51.0,33.0,32.0,113.0,72.0,89.0,96.0,184.0,10.0,90.0,7592.0,138.0,21421.0,24.0,22.0,126.0,153.0,94.0,117.0,125.0,201.0,53.0
1111,8.0,25.0,31.0,58.0,100.0,29.0,26.0,61.0,57.0,71.0,55.0,88.0,32.0,85.0,11621.0,166.0,2.0,145.0,30.0,78.0,74.0,53.0,142.0,18721.0,205.0,95.0,44.0,36.0,203.0,76.0
1160,16.0,10.0,45.0,16187.0,5.0,14.0,70.0,91.0,65.0,77.0,47.0,62.0,89.0,73.0,10431.0,150.0,4.0,185.0,56.0,6142.0,111.0,50.0,83.0,18717.0,205.0,118.0,85.0,15.0,2394.0,24.0
1209,4518.0,22.0,55.0,7.0,46.0,6.0,16956.0,81.0,98.0,74.0,52.0,64.0,59.0,79.0,11618.0,12401.0,15992.0,170.0,28.0,120.0,61.0,69.0,50.0,18782.0,99.0,90.0,2783.0,133.0,44.0,35.0
1258,17.0,14530.0,9.0,16188.0,72.0,1.0,41.0,67.0,52.0,37.0,40.0,87.0,70.0,83.0,56.0,188.0,50.0,31.0,7567.0,79.0,104.0,32.0,74.0,18736.0,206.0,123.0,122.0,5.0,131.0,42.0
1307,9.0,44.0,48.0,16183.0,0.0,4.0,16953.0,59.0,56.0,11288.0,82.0,149.0,79.0,90.0,74.0,12396.0,63.0,2210.0,7598.0,124.0,188.0,136.0,29.0,18826.0,180.0,113.0,181.0,104.0,209.0,20.0
1356,41.0,32.0,47.0,16185.0,70.0,3844.0,16958.0,89.0,131.0,69.0,116.0,155.0,171.0,76.0,51.0,12405.0,13.0,105.0,22.0,80.0,21421.0,115.0,82.0,18716.0,63.0,90.0,136.0,169.0,2519.0,16.0
1405,14.0,86.0,102.0,16183.0,15946.0,36.0,66.0,68.0,161.0,44.0,12.0,133.0,71.0,88.0,11618.0,126.0,15994.0,130.0,98.0,99.0,21420.0,24.0,15.0,137.0,151.0,115.0,140.0,158.0,2519.0,41.0
1454,36.0,30.0,24.0,16185.0,15948.0,31.0,15.0,48.0,91.0,11295.0,53.0,6046.0,187.0,65.0,92.0,155.0,15994.0,79.0,54.0,119.0,21415.0,13734.0,42.0,18828.0,69.0,49.0,2783.0,139.0,98.0,2428.0
1503,52.0,19.0,108.0,35.0,34.0,3836.0,64.0,71.0,123.0,11276.0,14.0,40.0,68.0,67.0,63.0,27.0,38.0,131.0,100.0,74.0,85.0,13735.0,161.0,37.0,177.0,138.0,32.0,18827.0,20.0,2408.0
1552,20.0,30.0,24.0,87.0,0.0,35.0,22.0,77.0,37.0,11295.0,27.0,49.0,111.0,96.0,51.0,117.0,83.0,21.0,7541.0,84.0,69.0,13718.0,62.0,78.0,116.0,112.0,59.0,6.0,171.0,2407.0
