,guanosine,C22:6 CE,C16:0 LPE,asparagine,creatine,N-carbamoyl-beta-alanine,beta-alanine,sarcosine,carnitine,putrescine,2-deoxycytidine,C56:5 TAG,1-methylnicotinamide,butyrylcarnitine/isobutyrylcarnitine,GABA,C22:6 LPE,homocysteine,3-phosphoglycerate,C36:1 DAG,C20:4 CE,C18:0 LPE,taurodeoxycholate,inositol,PEP,cis/trans-hydroxyproline,serine,2-deoxyadenosine,DHAP/glyceraldehyde 3P,inosine,C22:6 LPC
27,17.0,3.0,26.0,10.0,8.0,59.0,20.0,42.0,16.0,1.0,45.0,9.0,24.0,18.0,56.0,5.0,13.0,2.0,4.0,35.0,6.0,11.0,28.0,12.0,23.0,52.0,64.0,15.0,31.0,40.0
76,1.0,11.0,9.0,0.0,3.0,58.0,35.0,17.0,14.0,15.0,5.0,21.0,2.0,13.0,22.0,39.0,25.0,8.0,10.0,18.0,38.0,56.0,37.0,28.0,52.0,24.0,64.0,34.0,26.0,47.0
125,32.0,37.0,0.0,1.0,7.0,11.0,18.0,2.0,43.0,8.0,31.0,13.0,20.0,12.0,61.0,40.0,3.0,45.0,34.0,30.0,42.0,24.0,10.0,27.0,59.0,21.0,55.0,51.0,53.0,38.0
174,6.0,16.0,8.0,1.0,17.0,2.0,22.0,4.0,3.0,20.0,19.0,15.0,49.0,7.0,14.0,21.0,66.0,24.0,39.0,11.0,9.0,34.0,0.0,28.0,52.0,27.0,63.0,40.0,44.0,18.0
223,33.0,10.0,23.0,3.0,64.0,12.0,8.0,17.0,13.0,19.0,37.0,7.0,0.0,40.0,60.0,26.0,66.0,41.0,27.0,9.0,25.0,1.0,2.0,24.0,57.0,16.0,21.0,47.0,29.0,22.0
272,32.0,4.0,1.0,2.0,19.0,62.0,30.0,11.0,12.0,37.0,18.0,17.0,10.0,38.0,16.0,29.0,66.0,42.0,6.0,0.0,26.0,22.0,21.0,13.0,15.0,7.0,41.0,48.0,23.0,8.0
321,24.0,0.0,2.0,8.0,13.0,7.0,18.0,16.0,1.0,12.0,45.0,58.0,6.0,5.0,17.0,34.0,9.0,4.0,31.0,28.0,23.0,26.0,32.0,33.0,55.0,22.0,21.0,11.0,46.0,19.0
370,32.0,14.0,2.0,30.0,16.0,3.0,25.0,18.0,7.0,19.0,4.0,52.0,64.0,23.0,12.0,40.0,27.0,0.0,10.0,9.0,22.0,56.0,51.0,1.0,50.0,6.0,60.0,46.0,47.0,39.0
419,2.0,3.0,18.0,4.0,12.0,65.0,16.0,50.0,7.0,55.0,58.0,56.0,8.0,24.0,11.0,19.0,25.0,15.0,22.0,40.0,45.0,36.0,6.0,33.0,46.0,9.0,5.0,28.0,52.0,17.0
468,1.0,0.0,47.0,49.0,21.0,3.0,37.0,14.0,13.0,64.0,18.0,22.0,7.0,12.0,23.0,40.0,26.0,25.0,9.0,10.0,41.0,33.0,29.0,32.0,24.0,27.0,5.0,36.0,66.0,17.0
517,7.0,23.0,5.0,3.0,8.0,12.0,6.0,42.0,65.0,19.0,17.0,11.0,66.0,47.0,10.0,15.0,0.0,25.0,43.0,44.0,16.0,35.0,52.0,1.0,18.0,32.0,24.0,39.0,49.0,38.0
566,10.0,0.0,7.0,4.0,15.0,3.0,14.0,39.0,17.0,34.0,54.0,59.0,16.0,19.0,20.0,29.0,1.0,43.0,31.0,2.0,41.0,6.0,55.0,27.0,57.0,5.0,24.0,30.0,46.0,25.0
