,hsa-miR-216a,hsa-miR-205,hsa-miR-223,hsa-miR-375,hsa-miR-934,hsa-miR-1539,hsa-miR-615-3p,hsa-let-7e,hsa-miR-9,hsa-miR-671-3p,hsa-miR-339-5p,hsa-miR-139-5p,hsa-miR-142-5p,hsa-miR-220b,hsa-miR-28-3p,hsa-miR-1246,hsa-miR-135b,hsa-miR-30e,hsa-miR-2053,hsa-miR-320d,hsa-miR-296-5p,hsa-miR-30c,hsa-miR-222,hsa-miR-323-3p,hsa-miR-518b,hsa-miR-1180,hsa-miR-515-3p,hsa-miR-557,hsa-miR-509-5p,hsa-miR-155
18,0.0,1.0,30.0,17.0,13.0,76.0,5.0,531.0,11.0,4.0,8.0,219.0,392.0,387.0,65.0,2.0,248.0,95.0,20.0,67.0,3.0,36.0,19.0,49.0,69.0,278.0,147.0,129.0,57.0,32.0
67,0.0,1.0,11.0,16.0,7.0,170.0,13.0,76.0,98.0,38.0,156.0,114.0,4.0,19.0,504.0,83.0,124.0,274.0,39.0,199.0,35.0,491.0,362.0,32.0,5.0,530.0,394.0,3.0,53.0,217.0
116,28.0,9.0,135.0,3.0,8.0,0.0,331.0,218.0,2.0,1.0,56.0,488.0,491.0,5.0,34.0,289.0,95.0,82.0,4.0,184.0,22.0,221.0,30.0,114.0,166.0,315.0,39.0,368.0,10.0,65.0
165,2.0,582.0,55.0,5.0,21.0,16.0,4.0,47.0,26.0,19.0,12.0,54.0,15.0,172.0,40.0,190.0,191.0,207.0,22.0,99.0,8.0,27.0,70.0,173.0,0.0,6.0,231.0,38.0,65.0,9.0
214,18.0,4.0,419.0,0.0,5.0,236.0,25.0,16.0,13.0,138.0,297.0,20.0,108.0,26.0,7.0,87.0,100.0,71.0,44.0,135.0,202.0,505.0,8.0,76.0,64.0,10.0,174.0,63.0,47.0,14.0
263,4.0,8.0,55.0,0.0,3.0,87.0,1.0,130.0,11.0,17.0,95.0,15.0,29.0,36.0,18.0,141.0,74.0,43.0,132.0,186.0,182.0,5.0,9.0,12.0,49.0,80.0,79.0,88.0,77.0,45.0
312,3.0,7.0,276.0,71.0,8.0,1.0,23.0,91.0,0.0,96.0,268.0,124.0,22.0,6.0,18.0,35.0,76.0,31.0,149.0,94.0,336.0,120.0,13.0,61.0,153.0,86.0,367.0,10.0,2.0,62.0
361,19.0,12.0,2.0,7.0,0.0,41.0,1.0,411.0,36.0,234.0,21.0,105.0,110.0,10.0,11.0,8.0,3.0,188.0,127.0,22.0,4.0,603.0,82.0,5.0,37.0,84.0,52.0,26.0,15.0,147.0
410,2.0,3.0,167.0,26.0,5.0,32.0,31.0,102.0,1.0,16.0,22.0,109.0,247.0,27.0,64.0,133.0,4.0,101.0,149.0,567.0,231.0,30.0,226.0,131.0,244.0,104.0,150.0,8.0,98.0,373.0
459,11.0,256.0,536.0,1.0,0.0,228.0,14.0,9.0,7.0,28.0,330.0,276.0,2.0,97.0,232.0,297.0,311.0,25.0,8.0,118.0,208.0,33.0,292.0,224.0,492.0,48.0,50.0,3.0,86.0,63.0
508,0.0,2.0,24.0,10.0,1.0,5.0,248.0,230.0,31.0,4.0,173.0,9.0,78.0,56.0,93.0,79.0,12.0,32.0,129.0,63.0,83.0,406.0,373.0,6.0,340.0,25.0,39.0,8.0,37.0,307.0
557,0.0,3.0,4.0,1.0,10.0,6.0,8.0,5.0,100.0,12.0,298.0,2.0,9.0,337.0,37.0,17.0,18.0,104.0,30.0,59.0,28.0,24.0,370.0,66.0,490.0,134.0,38.0,41.0,71.0,308.0
