,hsa-miR-216a,hsa-miR-518b,hsa-miR-615-3p,hsa-miR-934,hsa-miR-9,hsa-miR-375,hsa-miR-323-3p,hsa-miR-671-3p,hsa-miR-1246,hsa-miR-671-5p,hsa-miR-139-5p,hsa-miR-24,hsa-miR-320d,hsa-miR-889,hsa-miR-1256,hsa-miR-1539,hsa-miR-205,hsa-miR-548c-5p,hsa-miR-329,hsa-miR-554,hsa-miR-1180,hsa-miR-1278,hsa-miR-1183,hsa-miR-634,hsa-miR-345,hsa-let-7e,hsa-miR-662,hsa-miR-339-5p,hsa-miR-2110,hsa-miR-384
14,82.0,28.0,6.0,0.0,3.0,22.0,4.0,47.0,375.0,2.0,443.0,145.0,232.0,137.0,56.0,57.0,12.0,77.0,125.0,142.0,164.0,425.0,101.0,40.0,170.0,51.0,92.0,14.0,98.0,8.0
63,0.0,9.0,113.0,7.0,22.0,16.0,1.0,24.0,49.0,54.0,464.0,257.0,146.0,17.0,198.0,45.0,185.0,29.0,26.0,5.0,90.0,410.0,593.0,19.0,158.0,39.0,272.0,46.0,389.0,100.0
112,61.0,7.0,113.0,66.0,5.0,52.0,6.0,30.0,94.0,10.0,506.0,37.0,301.0,9.0,44.0,142.0,42.0,110.0,0.0,109.0,174.0,84.0,74.0,18.0,209.0,141.0,124.0,29.0,4.0,95.0
161,58.0,0.0,32.0,10.0,89.0,37.0,74.0,26.0,99.0,7.0,284.0,333.0,227.0,163.0,3.0,137.0,302.0,62.0,22.0,98.0,146.0,20.0,27.0,48.0,92.0,41.0,526.0,76.0,434.0,237.0
210,10.0,6.0,36.0,5.0,67.0,3.0,20.0,404.0,145.0,34.0,27.0,290.0,39.0,173.0,229.0,500.0,102.0,11.0,42.0,134.0,71.0,15.0,482.0,64.0,96.0,1.0,56.0,49.0,353.0,7.0
259,14.0,64.0,4.0,53.0,2.0,535.0,1.0,0.0,546.0,144.0,203.0,19.0,123.0,8.0,146.0,98.0,59.0,24.0,6.0,18.0,62.0,80.0,227.0,329.0,21.0,17.0,106.0,63.0,531.0,249.0
308,1.0,27.0,22.0,18.0,8.0,116.0,13.0,11.0,87.0,20.0,51.0,7.0,24.0,55.0,549.0,23.0,45.0,17.0,197.0,101.0,21.0,6.0,44.0,32.0,76.0,548.0,213.0,10.0,122.0,328.0
357,14.0,27.0,0.0,17.0,22.0,4.0,2.0,5.0,61.0,51.0,166.0,115.0,148.0,78.0,197.0,42.0,215.0,263.0,15.0,34.0,48.0,26.0,183.0,59.0,343.0,329.0,142.0,24.0,602.0,40.0
406,52.0,92.0,68.0,61.0,44.0,49.0,12.0,7.0,224.0,200.0,504.0,17.0,3.0,0.0,138.0,71.0,303.0,184.0,1.0,5.0,26.0,116.0,140.0,70.0,80.0,320.0,74.0,8.0,537.0,46.0
455,20.0,81.0,31.0,12.0,4.0,24.0,54.0,0.0,215.0,169.0,461.0,57.0,332.0,10.0,70.0,36.0,223.0,110.0,106.0,18.0,1.0,98.0,5.0,128.0,14.0,209.0,227.0,369.0,442.0,97.0
504,21.0,336.0,78.0,0.0,10.0,99.0,2.0,3.0,20.0,587.0,126.0,400.0,124.0,9.0,310.0,7.0,13.0,29.0,6.0,509.0,220.0,129.0,19.0,1.0,33.0,131.0,114.0,82.0,81.0,40.0
553,0.0,49.0,6.0,24.0,14.0,1.0,71.0,16.0,7.0,124.0,116.0,347.0,48.0,22.0,300.0,8.0,41.0,40.0,371.0,247.0,9.0,3.0,19.0,129.0,162.0,5.0,18.0,221.0,136.0,70.0
