,hsa-miR-518b,hsa-miR-329,hsa-miR-28-3p,hsa-miR-1539,hsa-miR-1246,hsa-miR-30c,hsa-miR-1180,hsa-miR-671-5p,hsa-miR-216a,hsa-miR-339-5p,hsa-miR-615-3p,hsa-miR-9,hsa-miR-671-3p,hsa-miR-139-5p,hsa-miR-582-5p,hsa-miR-934,hsa-miR-1256,hsa-miR-103,hsa-miR-1185,hsa-miR-30e,hsa-miR-375,hsa-miR-582-3p,hsa-miR-1975,hsa-miR-384,hsa-miR-323-3p,hsa-miR-101,hsa-miR-662,hsa-miR-320d,hsa-miR-2053,hsa-miR-505
19,30.0,23.0,8.0,454.0,71.0,122.0,45.0,33.0,47.0,80.0,13.0,14.0,68.0,154.0,59.0,51.0,90.0,76.0,88.0,425.0,63.0,16.0,39.0,29.0,138.0,36.0,143.0,420.0,445.0,41.0
68,11.0,16.0,1.0,125.0,21.0,173.0,70.0,45.0,97.0,69.0,42.0,60.0,274.0,168.0,185.0,59.0,87.0,462.0,30.0,46.0,170.0,55.0,126.0,602.0,65.0,34.0,139.0,598.0,117.0,107.0
117,11.0,24.0,0.0,54.0,8.0,86.0,32.0,106.0,73.0,28.0,14.0,53.0,47.0,91.0,75.0,48.0,39.0,459.0,19.0,627.0,530.0,37.0,97.0,17.0,85.0,27.0,112.0,624.0,404.0,92.0
166,4.0,37.0,596.0,56.0,27.0,0.0,41.0,60.0,142.0,52.0,31.0,32.0,360.0,159.0,231.0,92.0,88.0,29.0,62.0,570.0,46.0,49.0,102.0,156.0,581.0,460.0,366.0,568.0,417.0,105.0
215,10.0,32.0,4.0,474.0,36.0,95.0,379.0,28.0,128.0,65.0,75.0,62.0,349.0,125.0,78.0,97.0,555.0,265.0,15.0,421.0,50.0,55.0,478.0,23.0,417.0,44.0,86.0,418.0,134.0,64.0
264,16.0,19.0,11.0,55.0,201.0,0.0,146.0,10.0,126.0,77.0,116.0,67.0,103.0,161.0,224.0,114.0,12.0,102.0,21.0,54.0,38.0,27.0,60.0,579.0,95.0,155.0,89.0,435.0,115.0,75.0
313,17.0,13.0,1.0,36.0,25.0,29.0,140.0,46.0,53.0,115.0,75.0,65.0,141.0,161.0,125.0,70.0,150.0,69.0,81.0,571.0,133.0,57.0,424.0,10.0,114.0,3.0,138.0,567.0,101.0,119.0
362,17.0,73.0,92.0,103.0,438.0,66.0,118.0,44.0,113.0,18.0,22.0,20.0,79.0,390.0,207.0,76.0,495.0,65.0,71.0,626.0,52.0,72.0,80.0,9.0,39.0,461.0,165.0,8.0,404.0,133.0
411,22.0,33.0,5.0,126.0,25.0,568.0,461.0,47.0,56.0,38.0,17.0,21.0,78.0,400.0,198.0,140.0,453.0,73.0,12.0,137.0,123.0,44.0,53.0,531.0,627.0,465.0,298.0,628.0,109.0,106.0
460,10.0,16.0,5.0,93.0,444.0,122.0,33.0,53.0,74.0,133.0,332.0,285.0,32.0,398.0,179.0,78.0,85.0,464.0,23.0,598.0,603.0,52.0,97.0,11.0,113.0,21.0,126.0,627.0,1.0,153.0
509,82.0,24.0,158.0,68.0,358.0,137.0,87.0,134.0,100.0,97.0,277.0,354.0,34.0,51.0,252.0,57.0,129.0,85.0,111.0,3.0,454.0,145.0,107.0,23.0,63.0,324.0,105.0,1.0,14.0,576.0
558,7.0,12.0,135.0,14.0,84.0,9.0,142.0,126.0,38.0,108.0,59.0,288.0,22.0,26.0,72.0,62.0,65.0,28.0,100.0,11.0,49.0,117.0,32.0,42.0,598.0,458.0,148.0,43.0,131.0,29.0
607,15.0,38.0,33.0,41.0,17.0,19.0,28.0,129.0,593.0,618.0,122.0,5.0,14.0,32.0,210.0,52.0,115.0,125.0,46.0,114.0,600.0,207.0,415.0,22.0,69.0,458.0,128.0,54.0,407.0,500.0
656,24.0,3.0,98.0,111.0,99.0,18.0,61.0,39.0,509.0,105.0,78.0,366.0,72.0,31.0,149.0,130.0,70.0,290.0,13.0,410.0,34.0,222.0,92.0,152.0,90.0,325.0,118.0,405.0,97.0,37.0
