, PI3K_only, VEGF, H2O2, MAPK_only, TGFB, Wnt, MAPK_PI3K, IL-1, TLR, TNFa, JAK-STAT
41,1.0,0.0,4.0,10.0,9.0,5.0,7.0,2.0,8.0,3.0,6.0
90,1.0,4.0,2.0,3.0,7.0,5.0,10.0,0.0,9.0,8.0,6.0
139,0.0,2.0,4.0,9.0,1.0,7.0,5.0,10.0,6.0,3.0,8.0
188,1.0,0.0,2.0,3.0,7.0,4.0,10.0,8.0,5.0,6.0,9.0
237,1.0,0.0,4.0,6.0,3.0,8.0,9.0,5.0,2.0,7.0,10.0
286,5.0,3.0,6.0,0.0,1.0,10.0,8.0,7.0,9.0,2.0,4.0
335,1.0,0.0,2.0,9.0,3.0,4.0,5.0,7.0,10.0,6.0,8.0
384,1.0,0.0,3.0,2.0,7.0,9.0,4.0,8.0,5.0,6.0,10.0
433,2.0,0.0,5.0,1.0,3.0,9.0,6.0,8.0,7.0,4.0,10.0
482,1.0,0.0,3.0,6.0,4.0,9.0,7.0,5.0,2.0,8.0,10.0
531,1.0,0.0,2.0,3.0,10.0,4.0,9.0,7.0,5.0,6.0,8.0
580,1.0,0.0,5.0,4.0,3.0,2.0,6.0,8.0,7.0,9.0,10.0
629,3.0,0.0,4.0,9.0,2.0,6.0,1.0,7.0,10.0,8.0,5.0
678,2.0,0.0,6.0,4.0,9.0,3.0,8.0,7.0,5.0,1.0,10.0
727,1.0,0.0,2.0,5.0,7.0,8.0,6.0,3.0,10.0,4.0,9.0
776,0.0,2.0,1.0,9.0,6.0,4.0,3.0,7.0,5.0,10.0,8.0
825,1.0,0.0,3.0,2.0,8.0,10.0,6.0,4.0,7.0,5.0,9.0
874,1.0,0.0,4.0,10.0,2.0,3.0,6.0,5.0,8.0,9.0,7.0
923,1.0,0.0,2.0,3.0,4.0,5.0,9.0,10.0,6.0,7.0,8.0
972,0.0,1.0,4.0,2.0,3.0,10.0,5.0,8.0,6.0,7.0,9.0
1021,0.0,3.0,8.0,1.0,2.0,7.0,5.0,6.0,4.0,10.0,9.0
1070,0.0,2.0,4.0,5.0,6.0,3.0,9.0,7.0,1.0,10.0,8.0
1119,1.0,0.0,7.0,3.0,8.0,5.0,4.0,6.0,2.0,9.0,10.0
1168,1.0,0.0,2.0,3.0,5.0,8.0,7.0,10.0,4.0,6.0,9.0
1217,0.0,2.0,7.0,9.0,1.0,3.0,4.0,10.0,5.0,6.0,8.0
1266,0.0,1.0,7.0,4.0,5.0,2.0,9.0,8.0,3.0,6.0,10.0
