, H2O2, TNFa, TLR, TGFB, PI3K_only, MAPK_PI3K, VEGF, Wnt, IL-1, JAK-STAT, MAPK_only
40,5.0,8.0,4.0,2.0,1.0,6.0,7.0,3.0,0.0,9.0,10.0
89,0.0,3.0,4.0,2.0,5.0,10.0,8.0,7.0,1.0,6.0,9.0
138,3.0,6.0,5.0,0.0,10.0,7.0,8.0,2.0,1.0,4.0,9.0
187,0.0,4.0,2.0,7.0,3.0,8.0,6.0,9.0,1.0,10.0,5.0
236,1.0,6.0,2.0,3.0,0.0,4.0,7.0,10.0,5.0,8.0,9.0
285,2.0,4.0,0.0,1.0,3.0,7.0,8.0,9.0,5.0,10.0,6.0
334,0.0,6.0,2.0,1.0,7.0,4.0,3.0,9.0,8.0,5.0,10.0
383,0.0,1.0,2.0,5.0,4.0,9.0,6.0,10.0,8.0,7.0,3.0
432,0.0,7.0,8.0,1.0,3.0,6.0,2.0,5.0,4.0,9.0,10.0
481,0.0,5.0,2.0,1.0,4.0,7.0,3.0,6.0,8.0,10.0,9.0
530,0.0,4.0,1.0,2.0,3.0,9.0,6.0,7.0,8.0,5.0,10.0
579,2.0,5.0,0.0,7.0,1.0,6.0,3.0,10.0,4.0,8.0,9.0
628,2.0,1.0,0.0,5.0,4.0,3.0,7.0,8.0,9.0,10.0,6.0
677,0.0,2.0,4.0,3.0,1.0,8.0,5.0,10.0,7.0,9.0,6.0
726,8.0,3.0,1.0,0.0,7.0,5.0,2.0,6.0,4.0,10.0,9.0
775,1.0,6.0,0.0,2.0,3.0,4.0,7.0,8.0,5.0,9.0,10.0
824,1.0,2.0,0.0,6.0,4.0,7.0,8.0,3.0,5.0,10.0,9.0
873,0.0,3.0,2.0,1.0,5.0,8.0,6.0,4.0,7.0,9.0,10.0
922,1.0,2.0,4.0,0.0,3.0,7.0,6.0,10.0,5.0,9.0,8.0
971,2.0,5.0,0.0,1.0,7.0,4.0,9.0,6.0,8.0,10.0,3.0
1020,1.0,8.0,0.0,5.0,9.0,2.0,7.0,3.0,6.0,10.0,4.0
1069,2.0,1.0,3.0,6.0,0.0,7.0,5.0,8.0,9.0,10.0,4.0
1118,7.0,2.0,1.0,4.0,0.0,9.0,3.0,6.0,8.0,10.0,5.0
1167,2.0,0.0,6.0,7.0,3.0,5.0,1.0,10.0,8.0,9.0,4.0
1216,0.0,3.0,4.0,5.0,7.0,10.0,1.0,6.0,9.0,8.0,2.0
1265,7.0,4.0,1.0,2.0,0.0,5.0,10.0,6.0,9.0,8.0,3.0
1314,0.0,3.0,2.0,1.0,6.0,4.0,7.0,9.0,10.0,8.0,5.0
