,Shc_pY317,RAD51,Smac,SF2,eEF2,MIG-6,PAI-1,NDRG1_pT346,Paxillin,C-Raf_pS338,MYH11,PKC-pan_BetaII_pS660,eEF2K,HER2_pY1248,Bid,Bap1 c-4,ACC1,JNK_pT183_Y185,4E-BP1,p70S6K_pT389,PRDX1,PTEN,PREX1,p38_MAPK,p62 Lck ligand,p21,p53,p38_pT180_Y182,p90RSK_pT573,p90RSK_pT359_S363
6,4.0,1.0,0.0,5.0,158.0,32.0,9.0,54.0,19.0,11.0,18.0,77.0,159.0,2.0,16.0,8.0,26.0,25.0,113.0,12.0,80.0,82.0,81.0,44.0,49.0,30.0,50.0,38.0,45.0,46.0
55,0.0,2.0,1.0,6.0,3.0,8.0,37.0,93.0,11.0,128.0,31.0,77.0,7.0,134.0,12.0,32.0,4.0,94.0,114.0,51.0,80.0,81.0,25.0,47.0,50.0,44.0,34.0,49.0,45.0,52.0
104,1.0,9.0,87.0,28.0,104.0,17.0,2.0,136.0,6.0,121.0,0.0,25.0,3.0,154.0,7.0,32.0,38.0,30.0,37.0,21.0,44.0,27.0,42.0,48.0,39.0,67.0,54.0,20.0,62.0,63.0
153,2.0,32.0,33.0,3.0,11.0,27.0,18.0,41.0,16.0,97.0,29.0,10.0,12.0,135.0,30.0,0.0,35.0,164.0,34.0,20.0,9.0,75.0,76.0,51.0,48.0,55.0,49.0,50.0,44.0,45.0
202,5.0,15.0,31.0,20.0,156.0,11.0,49.0,2.0,4.0,14.0,94.0,19.0,163.0,133.0,102.0,1.0,35.0,164.0,41.0,52.0,85.0,83.0,84.0,59.0,55.0,61.0,63.0,58.0,50.0,51.0
251,19.0,1.0,0.0,2.0,156.0,3.0,54.0,81.0,17.0,106.0,93.0,76.0,157.0,11.0,7.0,4.0,28.0,92.0,113.0,45.0,31.0,79.0,78.0,35.0,42.0,49.0,47.0,13.0,43.0,44.0
300,0.0,15.0,1.0,2.0,157.0,6.0,54.0,92.0,13.0,110.0,19.0,18.0,36.0,9.0,3.0,5.0,29.0,93.0,114.0,48.0,79.0,24.0,80.0,52.0,53.0,38.0,49.0,57.0,55.0,47.0
349,3.0,2.0,27.0,0.0,156.0,127.0,7.0,25.0,18.0,102.0,13.0,26.0,17.0,134.0,9.0,5.0,31.0,91.0,36.0,46.0,81.0,79.0,80.0,60.0,47.0,55.0,21.0,22.0,43.0,45.0
398,13.0,0.0,14.0,1.0,156.0,6.0,10.0,24.0,7.0,20.0,9.0,16.0,21.0,135.0,97.0,2.0,120.0,93.0,25.0,11.0,78.0,17.0,79.0,57.0,48.0,53.0,49.0,50.0,56.0,47.0
447,0.0,12.0,3.0,1.0,26.0,88.0,7.0,2.0,8.0,104.0,23.0,25.0,157.0,135.0,11.0,28.0,6.0,89.0,110.0,20.0,15.0,14.0,77.0,44.0,37.0,47.0,5.0,35.0,38.0,43.0
496,6.0,27.0,7.0,8.0,108.0,142.0,1.0,32.0,25.0,125.0,12.0,2.0,10.0,14.0,3.0,156.0,36.0,34.0,38.0,24.0,43.0,41.0,42.0,63.0,60.0,22.0,23.0,62.0,57.0,58.0
545,11.0,3.0,1.0,2.0,8.0,127.0,5.0,56.0,21.0,4.0,24.0,18.0,158.0,9.0,107.0,0.0,31.0,25.0,112.0,42.0,78.0,89.0,77.0,22.0,43.0,48.0,44.0,23.0,38.0,39.0
594,6.0,0.0,4.0,36.0,9.0,27.0,29.0,58.0,18.0,129.0,30.0,78.0,28.0,3.0,2.0,96.0,35.0,17.0,7.0,44.0,75.0,73.0,74.0,40.0,43.0,24.0,47.0,48.0,46.0,45.0
643,30.0,39.0,8.0,93.0,13.0,143.0,24.0,138.0,57.0,7.0,141.0,47.0,109.0,6.0,10.0,2.0,4.0,0.0,82.0,61.0,44.0,28.0,27.0,1.0,62.0,101.0,63.0,23.0,59.0,60.0
692,6.0,25.0,0.0,29.0,11.0,13.0,19.0,15.0,35.0,36.0,14.0,23.0,111.0,8.0,40.0,39.0,5.0,1.0,7.0,64.0,48.0,46.0,24.0,17.0,65.0,2.0,66.0,10.0,62.0,63.0
741,24.0,1.0,25.0,3.0,7.0,9.0,57.0,6.0,19.0,124.0,140.0,21.0,106.0,155.0,34.0,0.0,4.0,33.0,37.0,60.0,46.0,48.0,47.0,64.0,61.0,31.0,62.0,63.0,58.0,59.0
790,31.0,5.0,2.0,30.0,113.0,13.0,1.0,34.0,23.0,22.0,19.0,28.0,0.0,7.0,41.0,40.0,6.0,36.0,39.0,64.0,43.0,29.0,42.0,20.0,65.0,21.0,66.0,67.0,62.0,63.0
839,0.0,34.0,41.0,3.0,18.0,32.0,6.0,35.0,2.0,16.0,13.0,7.0,33.0,136.0,1.0,97.0,5.0,11.0,38.0,44.0,92.0,14.0,75.0,48.0,45.0,26.0,46.0,47.0,24.0,43.0
888,65.0,0.0,7.0,2.0,156.0,10.0,1.0,57.0,26.0,104.0,93.0,85.0,17.0,133.0,9.0,36.0,6.0,164.0,113.0,43.0,82.0,15.0,81.0,48.0,44.0,16.0,46.0,60.0,23.0,42.0
937,1.0,6.0,26.0,0.0,110.0,145.0,21.0,140.0,60.0,15.0,32.0,24.0,109.0,3.0,36.0,5.0,41.0,34.0,73.0,64.0,44.0,51.0,45.0,71.0,65.0,18.0,66.0,67.0,62.0,63.0
986,8.0,0.0,77.0,9.0,156.0,143.0,1.0,146.0,52.0,14.0,41.0,20.0,163.0,11.0,106.0,3.0,2.0,94.0,39.0,54.0,88.0,86.0,87.0,45.0,55.0,31.0,56.0,60.0,50.0,53.0
