,Shc_pY317,RAD51,EGFR,C-Raf_pS338,p38_pT180_Y182,Notch1,SHP-2_pY542,P-Cadherin,HER2_pY1248,Annexin 1,PKC-delta_pS664,Syk,EGFR_pY1068,4E-BP1,Gab2,PRDX1,Smac,c-Myc,CDK1,Cyclin_D1,CD31,VAV1,HER2,MEK1_pS217_S221,MYH11,Chk2,AMPK_pT172,FoxM1,Bap1 c-4,FOXO3a
3,0.0,4.0,3.0,8.0,9.0,11.0,10.0,7.0,12.0,1.0,37.0,5.0,15.0,13.0,132.0,14.0,17.0,6.0,22.0,25.0,16.0,30.0,36.0,24.0,2.0,23.0,20.0,18.0,104.0,19.0
52,0.0,3.0,2.0,37.0,10.0,34.0,6.0,1.0,26.0,5.0,14.0,18.0,32.0,20.0,129.0,39.0,8.0,7.0,22.0,15.0,12.0,19.0,38.0,21.0,13.0,90.0,33.0,4.0,27.0,11.0
101,0.0,6.0,2.0,11.0,17.0,21.0,3.0,1.0,4.0,26.0,13.0,8.0,5.0,23.0,125.0,16.0,24.0,22.0,96.0,10.0,25.0,29.0,15.0,14.0,7.0,37.0,12.0,19.0,42.0,129.0
150,0.0,1.0,3.0,25.0,9.0,6.0,5.0,2.0,28.0,11.0,8.0,13.0,26.0,12.0,33.0,4.0,10.0,15.0,29.0,14.0,35.0,39.0,31.0,17.0,7.0,94.0,18.0,30.0,34.0,21.0
199,0.0,2.0,3.0,4.0,14.0,23.0,7.0,1.0,11.0,5.0,8.0,15.0,19.0,13.0,22.0,18.0,16.0,24.0,32.0,12.0,87.0,21.0,112.0,42.0,17.0,10.0,89.0,25.0,105.0,26.0
248,0.0,2.0,1.0,30.0,11.0,3.0,10.0,14.0,18.0,9.0,13.0,6.0,25.0,16.0,26.0,15.0,5.0,21.0,41.0,17.0,38.0,24.0,7.0,31.0,8.0,37.0,19.0,23.0,90.0,20.0
297,0.0,2.0,1.0,9.0,4.0,8.0,14.0,3.0,20.0,13.0,12.0,11.0,28.0,25.0,7.0,15.0,16.0,18.0,27.0,30.0,21.0,26.0,22.0,23.0,6.0,19.0,33.0,29.0,92.0,35.0
346,0.0,1.0,3.0,9.0,6.0,19.0,8.0,2.0,18.0,5.0,13.0,4.0,7.0,31.0,25.0,21.0,29.0,16.0,40.0,10.0,15.0,58.0,33.0,17.0,20.0,41.0,86.0,128.0,28.0,11.0
395,0.0,2.0,1.0,24.0,8.0,10.0,13.0,5.0,16.0,4.0,30.0,19.0,36.0,29.0,26.0,77.0,22.0,32.0,33.0,28.0,35.0,11.0,9.0,15.0,3.0,12.0,20.0,18.0,110.0,14.0
444,0.0,1.0,4.0,10.0,6.0,13.0,12.0,30.0,24.0,3.0,77.0,8.0,19.0,40.0,39.0,5.0,14.0,28.0,7.0,2.0,99.0,21.0,45.0,20.0,16.0,17.0,23.0,32.0,37.0,11.0
493,3.0,2.0,0.0,4.0,7.0,13.0,9.0,5.0,11.0,24.0,21.0,15.0,27.0,22.0,17.0,79.0,34.0,41.0,31.0,6.0,12.0,10.0,29.0,8.0,28.0,1.0,16.0,30.0,105.0,38.0
542,5.0,7.0,3.0,1.0,6.0,2.0,4.0,11.0,12.0,19.0,28.0,17.0,16.0,109.0,9.0,29.0,15.0,99.0,10.0,20.0,23.0,30.0,32.0,8.0,26.0,0.0,22.0,127.0,36.0,126.0
591,0.0,1.0,5.0,3.0,17.0,14.0,6.0,28.0,8.0,10.0,77.0,19.0,13.0,4.0,16.0,27.0,11.0,22.0,24.0,15.0,90.0,33.0,113.0,18.0,25.0,2.0,93.0,126.0,20.0,29.0
640,1.0,6.0,5.0,0.0,2.0,20.0,7.0,13.0,4.0,3.0,15.0,14.0,8.0,43.0,12.0,35.0,16.0,41.0,9.0,38.0,39.0,17.0,29.0,27.0,34.0,10.0,42.0,127.0,19.0,126.0
689,6.0,7.0,4.0,0.0,8.0,9.0,1.0,11.0,3.0,38.0,25.0,16.0,2.0,20.0,19.0,29.0,23.0,33.0,27.0,12.0,26.0,13.0,10.0,17.0,28.0,5.0,15.0,44.0,98.0,128.0
738,2.0,6.0,0.0,14.0,8.0,3.0,5.0,58.0,13.0,21.0,15.0,17.0,4.0,11.0,7.0,82.0,36.0,27.0,12.0,1.0,22.0,26.0,39.0,33.0,54.0,20.0,25.0,128.0,19.0,30.0
787,3.0,2.0,1.0,0.0,9.0,7.0,5.0,6.0,4.0,15.0,32.0,13.0,14.0,24.0,10.0,34.0,23.0,18.0,20.0,38.0,101.0,28.0,31.0,36.0,17.0,8.0,19.0,42.0,37.0,128.0
836,5.0,0.0,1.0,2.0,7.0,19.0,3.0,29.0,15.0,8.0,18.0,68.0,14.0,31.0,6.0,36.0,10.0,20.0,28.0,94.0,25.0,27.0,123.0,16.0,22.0,11.0,13.0,40.0,24.0,26.0
885,6.0,0.0,4.0,5.0,12.0,8.0,2.0,25.0,3.0,16.0,28.0,17.0,9.0,29.0,27.0,22.0,13.0,24.0,15.0,10.0,35.0,20.0,23.0,18.0,51.0,1.0,32.0,130.0,30.0,124.0
934,0.0,5.0,1.0,2.0,15.0,20.0,3.0,26.0,6.0,21.0,11.0,7.0,22.0,108.0,4.0,27.0,28.0,97.0,18.0,10.0,32.0,56.0,25.0,17.0,16.0,14.0,13.0,37.0,8.0,125.0
983,1.0,0.0,7.0,8.0,40.0,5.0,19.0,22.0,3.0,6.0,18.0,50.0,9.0,4.0,17.0,84.0,65.0,47.0,2.0,21.0,25.0,26.0,36.0,10.0,11.0,23.0,37.0,46.0,30.0,28.0
1032,0.0,3.0,2.0,4.0,7.0,1.0,6.0,34.0,15.0,17.0,39.0,27.0,18.0,8.0,16.0,13.0,68.0,5.0,12.0,11.0,32.0,19.0,28.0,10.0,14.0,29.0,24.0,125.0,107.0,124.0
1081,1.0,0.0,2.0,11.0,14.0,8.0,31.0,22.0,7.0,15.0,28.0,47.0,16.0,3.0,6.0,30.0,82.0,19.0,17.0,4.0,38.0,12.0,36.0,18.0,13.0,43.0,10.0,33.0,21.0,5.0
1130,1.0,0.0,2.0,14.0,45.0,6.0,11.0,19.0,17.0,12.0,4.0,30.0,5.0,16.0,20.0,27.0,34.0,3.0,29.0,7.0,22.0,13.0,24.0,9.0,10.0,28.0,8.0,37.0,38.0,18.0
1179,1.0,0.0,2.0,6.0,10.0,9.0,15.0,24.0,8.0,19.0,34.0,31.0,11.0,3.0,16.0,72.0,14.0,18.0,23.0,12.0,25.0,21.0,26.0,4.0,36.0,95.0,7.0,115.0,28.0,20.0
1228,3.0,0.0,1.0,2.0,30.0,4.0,18.0,31.0,16.0,6.0,17.0,27.0,15.0,25.0,14.0,26.0,28.0,7.0,8.0,5.0,93.0,13.0,20.0,43.0,22.0,19.0,10.0,127.0,91.0,9.0
1277,1.0,0.0,2.0,20.0,8.0,13.0,31.0,30.0,6.0,16.0,27.0,32.0,9.0,114.0,10.0,24.0,67.0,3.0,17.0,4.0,12.0,21.0,33.0,11.0,5.0,40.0,7.0,129.0,19.0,26.0
1326,1.0,0.0,3.0,2.0,25.0,18.0,5.0,4.0,16.0,30.0,74.0,72.0,28.0,111.0,34.0,20.0,7.0,6.0,10.0,8.0,26.0,14.0,38.0,21.0,24.0,91.0,9.0,23.0,13.0,17.0
1375,1.0,0.0,2.0,8.0,18.0,3.0,5.0,33.0,13.0,10.0,26.0,32.0,9.0,27.0,28.0,20.0,22.0,6.0,29.0,11.0,16.0,14.0,39.0,4.0,12.0,35.0,7.0,24.0,31.0,128.0
1424,0.0,2.0,1.0,6.0,10.0,12.0,16.0,26.0,8.0,33.0,27.0,61.0,7.0,30.0,13.0,4.0,81.0,24.0,20.0,14.0,15.0,19.0,21.0,5.0,11.0,32.0,3.0,125.0,29.0,17.0
1473,0.0,1.0,20.0,7.0,6.0,10.0,9.0,3.0,8.0,26.0,2.0,15.0,22.0,19.0,34.0,5.0,12.0,25.0,13.0,24.0,39.0,36.0,28.0,4.0,38.0,17.0,16.0,128.0,23.0,127.0
1522,0.0,1.0,10.0,4.0,5.0,8.0,3.0,2.0,15.0,17.0,19.0,13.0,37.0,12.0,122.0,14.0,22.0,16.0,18.0,6.0,31.0,35.0,32.0,7.0,24.0,36.0,33.0,124.0,29.0,27.0
1571,1.0,0.0,8.0,15.0,4.0,14.0,13.0,2.0,11.0,5.0,7.0,21.0,26.0,16.0,32.0,9.0,19.0,22.0,18.0,6.0,17.0,37.0,27.0,10.0,43.0,24.0,33.0,128.0,103.0,23.0
1620,3.0,2.0,0.0,4.0,1.0,22.0,6.0,7.0,16.0,17.0,5.0,9.0,23.0,36.0,41.0,8.0,11.0,19.0,26.0,10.0,18.0,15.0,39.0,79.0,20.0,21.0,34.0,127.0,106.0,24.0
1669,2.0,0.0,3.0,1.0,14.0,4.0,6.0,12.0,23.0,5.0,11.0,21.0,27.0,8.0,40.0,9.0,18.0,7.0,10.0,29.0,22.0,13.0,28.0,24.0,20.0,34.0,26.0,128.0,43.0,45.0
1718,3.0,0.0,2.0,18.0,1.0,5.0,9.0,4.0,7.0,26.0,13.0,27.0,11.0,21.0,129.0,10.0,16.0,29.0,8.0,6.0,15.0,28.0,12.0,34.0,32.0,25.0,96.0,23.0,17.0,43.0
1767,1.0,0.0,5.0,13.0,3.0,8.0,10.0,2.0,29.0,22.0,4.0,30.0,31.0,38.0,7.0,18.0,11.0,16.0,12.0,25.0,14.0,42.0,26.0,15.0,32.0,27.0,24.0,21.0,19.0,131.0
1816,0.0,1.0,8.0,4.0,6.0,12.0,5.0,2.0,33.0,9.0,3.0,11.0,32.0,31.0,133.0,10.0,13.0,14.0,7.0,18.0,17.0,28.0,118.0,21.0,25.0,26.0,19.0,24.0,107.0,130.0
1865,1.0,0.0,11.0,16.0,2.0,6.0,10.0,3.0,19.0,7.0,4.0,12.0,25.0,14.0,116.0,18.0,5.0,33.0,15.0,9.0,32.0,51.0,21.0,17.0,13.0,20.0,29.0,38.0,102.0,124.0
1914,0.0,2.0,10.0,27.0,5.0,9.0,4.0,3.0,26.0,1.0,24.0,36.0,37.0,128.0,121.0,29.0,7.0,94.0,8.0,13.0,14.0,41.0,129.0,6.0,19.0,22.0,21.0,28.0,20.0,18.0
