,Lapatinib_ActArea,Panobinostat_ActArea,Paclitaxel_ActArea,Irinotecan_ActArea,PD-0325901_ActArea,AZD6244_ActArea,Nilotinib_ActArea,AEW541_ActArea,17-AAG_ActArea,PHA-665752_ActArea,Nutlin-3_ActArea,AZD0530_ActArea,PF2341066_ActArea,L-685458_ActArea,ZD-6474_ActArea,Sorafenib_ActArea,LBW242_ActArea,PD-0332991_ActArea,PLX4720_ActArea,RAF265_ActArea,TAE684_ActArea,TKI258_ActArea,Erlotinib_ActArea,Lapatinib_ActArea_N,Panobinostat_ActArea_N,Paclitaxel_ActArea_N,Irinotecan_ActArea_N,PD-0325901_ActArea_N,AZD6244_ActArea_N,Nilotinib_ActArea_N,AEW541_ActArea_N,17-AAG_ActArea_N,PHA-665752_ActArea_N,Nutlin-3_ActArea_N,AZD0530_ActArea_N,PF2341066_ActArea_N,L-685458_ActArea_N,ZD-6474_ActArea_N,Sorafenib_ActArea_N,LBW242_ActArea_N,PD-0332991_ActArea_N,PLX4720_ActArea_N,RAF265_ActArea_N,TAE684_ActArea_N,TKI258_ActArea_N,Erlotinib_ActArea_N
PROSTATE,0.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,,1.0,1.0,2,2,2,2,1,1,1,1,2,1,1,2,1,1,1,,2,2,,1,,2,1
STOMACH,0.7777777777777778,0.8,0.6666666666666666,0.0,0.8571428571428571,0.7777777777777778,0.8571428571428571,0.2,0.9,0.75,0.5,0.4444444444444444,0.5,0.5,0.7272727272727273,0.75,0.2,0.7142857142857143,0.2222222222222222,0.7142857142857143,0.42857142857142855,0.6,0.75,9,5,9,4,7,9,7,5,10,8,8,9,8,10,11,8,5,7,9,7,7,5,8
URINARY,1.0,0.4,1.0,0.6666666666666666,0.8333333333333334,1.0,1.0,0.6,0.5,0.2,1.0,0.3333333333333333,0.375,0.625,0.6,0.42857142857142855,0.6666666666666666,0.8,0.42857142857142855,0.875,0.5,0.5714285714285714,0.7142857142857143,5,5,5,6,6,5,7,5,4,5,7,6,8,8,5,7,6,5,7,8,6,7,7
NERVOUS,1.0,1.0,0.5,0.9090909090909091,0.875,0.8461538461538461,0.7272727272727273,0.75,0.5714285714285714,0.7142857142857143,0.6923076923076923,0.5454545454545454,0.5384615384615384,0.6666666666666666,0.8333333333333334,0.5294117647058824,0.6428571428571429,0.6666666666666666,0.5833333333333334,0.5714285714285714,0.3333333333333333,0.5714285714285714,1.0,14,15,6,11,16,13,11,16,14,14,13,11,13,15,12,17,14,9,12,7,12,14,15
OVARY,0.75,0.5384615384615384,0.9166666666666666,1.0,0.6363636363636364,0.7272727272727273,0.6363636363636364,0.7142857142857143,0.8571428571428571,0.8888888888888888,0.6666666666666666,0.5384615384615384,0.6923076923076923,0.45454545454545453,0.4,0.5,0.2857142857142857,0.7692307692307693,0.7777777777777778,0.6363636363636364,0.5,0.8,0.75,8,13,12,7,11,11,11,14,14,9,12,13,13,11,5,10,14,13,9,11,12,10,12
HAEMATOPOIETIC,0.6296296296296297,0.9428571428571428,0.8055555555555556,0.9583333333333334,0.9310344827586207,0.7037037037037037,0.8787878787878788,0.6153846153846154,0.6086956521739131,0.8529411764705882,0.625,0.5294117647058824,0.8333333333333334,0.8571428571428571,0.6129032258064516,0.7777777777777778,0.5185185185185185,0.9090909090909091,0.6551724137931034,0.6666666666666666,0.7352941176470589,0.6666666666666666,0.6666666666666666,27,35,36,24,29,27,33,26,23,34,32,34,36,35,31,36,27,33,29,33,34,36,27
KIDNEY,0.5,1.0,1.0,1.0,,,1.0,0.5,0.75,0.6666666666666666,0.0,0.6666666666666666,1.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.5,,1.0,1.0,0.0,0.25,2,3,3,3,,,3,2,4,3,2,3,1,3,2,2,3,2,,1,1,2,4
THYROID,,0.0,0.5,0.5,1.0,0.5,0.0,0.5,1.0,0.5,1.0,1.0,,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,1,2,2,2,2,2,2,1,2,2,2,,2,2,1,2,1,1,2,2,1,1
SKIN,0.9333333333333333,0.5454545454545454,0.8,0.5,0.8823529411764706,0.9411764705882353,0.375,0.5833333333333334,0.7142857142857143,0.6666666666666666,0.5384615384615384,1.0,0.6428571428571429,0.7777777777777778,0.6363636363636364,0.6,0.6923076923076923,0.6666666666666666,0.9444444444444444,0.6923076923076923,1.0,0.6363636363636364,0.9090909090909091,15,11,15,10,17,17,8,12,14,9,13,12,14,9,11,10,13,12,18,13,8,11,11
SOFT_TISSUE,1.0,0.6666666666666666,1.0,0.5,0.75,0.4,0.0,0.5,0.6,0.4,0.6666666666666666,0.3333333333333333,1.0,0.5,0.6666666666666666,0.5,0.5,0.5,0.4,0.3333333333333333,0.6,0.3333333333333333,1.0,4,6,5,2,4,5,1,6,5,5,3,3,2,4,3,4,2,4,5,3,5,6,4
SALIVARY,1.0,,,,,,1.0,1.0,,,0.0,0.0,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,1,,,,,,1,1,,,1,1,1,,,,,1,1,,1,1,1
LUNG,0.7083333333333334,0.7837837837837838,0.8181818181818182,0.7333333333333333,0.8095238095238095,0.8085106382978723,0.5294117647058824,0.5952380952380952,0.7391304347826086,0.44680851063829785,0.4523809523809524,0.4523809523809524,0.6052631578947368,0.42105263157894735,0.5909090909090909,0.6585365853658537,0.6808510638297872,0.5833333333333334,0.6274509803921569,0.6923076923076923,0.5217391304347826,0.6046511627906976,0.7555555555555555,48,37,44,15,42,47,34,42,46,47,42,42,38,38,44,41,47,36,51,39,46,43,45
BONE,0.8,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.2,0.8,0.5714285714285714,0.6,1.0,0.4,0.6,0.0,0.4,0.3333333333333333,0.6666666666666666,0.0,0.8,0.6,0.8,5,6,5,3,5,4,4,8,5,5,7,5,4,5,5,3,5,3,6,4,5,5,5
PLEURA,1.0,1.0,1.0,0.0,1.0,1.0,0.6666666666666666,0.0,1.0,1.0,0.5,0.5,0.6666666666666666,0.5,0.75,0.6,0.2,0.5,0.0,0.75,1.0,0.6666666666666666,0.5,2,2,3,1,2,1,3,2,1,2,4,2,3,2,4,5,5,4,3,4,3,3,4
ENDOMETRIUM,0.8,0.2857142857142857,0.5714285714285714,0.8,0.8,0.8333333333333334,0.5,0.5714285714285714,0.75,0.5,0.6,0.8,0.6666666666666666,0.3333333333333333,0.5714285714285714,0.3333333333333333,0.7142857142857143,0.6666666666666666,0.5,0.8333333333333334,0.875,0.6666666666666666,0.8,5,7,7,5,5,6,2,7,4,8,5,5,3,3,7,3,7,3,4,6,8,6,5
BREAST,0.7142857142857143,0.6923076923076923,0.7142857142857143,0.6,0.9333333333333333,0.9230769230769231,0.3333333333333333,0.5833333333333334,0.5,0.45454545454545453,0.7142857142857143,0.7333333333333333,0.7333333333333333,0.5384615384615384,0.8571428571428571,0.6428571428571429,0.6666666666666666,0.5384615384615384,0.7333333333333333,0.5833333333333334,0.8666666666666667,0.6470588235294118,0.8666666666666667,14,13,14,10,15,13,12,12,14,11,14,15,15,13,14,14,15,13,15,12,15,17,15
PANCREAS,0.5833333333333334,0.8,1.0,1.0,0.8823529411764706,0.8,0.6153846153846154,0.42857142857142855,0.6666666666666666,0.4,0.6428571428571429,0.6428571428571429,0.5555555555555556,0.6666666666666666,0.7857142857142857,0.6666666666666666,0.625,0.7777777777777778,0.5,0.8333333333333334,0.6666666666666666,0.8888888888888888,0.5384615384615384,12,15,10,9,17,15,13,14,12,15,14,14,18,15,14,15,16,9,12,12,12,9,13
AERODIGESTIVE,1.0,0.6666666666666666,1.0,0.0,0.0,0.25,0.0,0.5,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.0,1.0,0.25,0.25,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0,1.0,3,3,1,1,3,4,2,4,3,3,4,3,2,1,5,4,4,3,2,3,4,4,4
LARGE_INTESTINE,0.8461538461538461,0.5454545454545454,0.7142857142857143,0.75,1.0,1.0,0.7777777777777778,0.8,0.6428571428571429,0.4444444444444444,0.6,0.7777777777777778,0.3333333333333333,0.4,0.8333333333333334,0.4166666666666667,0.1111111111111111,0.4,0.4444444444444444,0.5833333333333334,1.0,0.8888888888888888,0.8333333333333334,13,11,14,4,14,15,9,10,14,9,10,9,9,10,12,12,9,10,9,12,9,9,12
GANGLIA,1.0,1.0,0.6666666666666666,1.0,0.75,0.5,1.0,0.8,0.6,0.6666666666666666,0.6,0.2,0.8,0.6666666666666666,0.0,0.3333333333333333,0.25,1.0,0.75,0.5,1.0,0.75,1.0,3,6,3,1,4,6,2,5,5,3,5,5,5,6,3,3,4,4,4,4,5,4,4
OESOPHAGUS,0.8181818181818182,0.8888888888888888,0.6,0.3333333333333333,0.5714285714285714,1.0,0.0,0.5,0.5555555555555556,0.3,0.6666666666666666,0.8181818181818182,0.75,0.6666666666666666,0.5,0.6666666666666666,0.4,0.6666666666666666,0.2,0.75,0.8888888888888888,0.3333333333333333,0.9166666666666666,11,9,10,3,7,7,3,10,9,10,6,11,12,6,10,9,5,3,5,4,9,9,12
FIBROBLAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERVIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIVER,0.45454545454545453,1.0,0.625,0.5,0.7142857142857143,1.0,0.8,0.7777777777777778,0.6,0.8181818181818182,0.3333333333333333,0.6666666666666666,0.625,0.6666666666666666,0.5555555555555556,0.5,0.6666666666666666,0.8,0.25,0.875,0.6666666666666666,0.7777777777777778,0.75,11,7,8,6,7,6,5,9,10,11,9,6,8,9,9,10,9,5,8,8,9,9,4
BILIARY,,,0.0,0.0,,,,1.0,,,,0.0,,,,,,,,,1.0,1.0,,,,1,1,,,,1,,,,1,,,,,,,,,1,1,
SMALL_INTESTINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
