Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Bladder cancer	2/41	0.00026710895227871097	0.0116230132734476	0	0	102.3025641025641	841.7305532644758	MDM2;TP53
KEGG_2021_Human	Viral myocarditis	2/60	0.0005729274139905555	0.0116230132734476	0	0	68.72413793103448	513.0086135231461	ITGB2;CD55
KEGG_2021_Human	Melanoma	2/72	0.0008240453340764276	0.0116230132734476	0	0	56.90857142857143	404.12398536765454	MDM2;TP53
KEGG_2021_Human	p53 signaling pathway	2/73	0.0008469756722727654	0.0116230132734476	0	0	56.10422535211268	396.8722341307689	MDM2;TP53
KEGG_2021_Human	Glioma	2/75	0.0008937564748422882	0.0116230132734476	0	0	54.56164383561644	383.0269529436192	MDM2;TP53
KEGG_2021_Human	Chronic myeloid leukemia	2/76	0.0009176063110616548	0.0116230132734476	0	0	53.82162162162162	376.4145417994182	MDM2;TP53
KEGG_2021_Human	Complement and coagulation cascades	2/85	0.0011459814528415	0.0124420843451365	0	0	47.963855421686745	324.78695177413965	ITGB2;CD55
KEGG_2021_Human	Prostate cancer	2/97	0.0014886277004994	0.0141419631547446	0	0	41.88	272.6346367003197	MDM2;TP53
KEGG_2021_Human	Neurotrophin signaling pathway	2/119	0.0022283786053078	0.0166949180964405	0	0	33.967521367521364	207.42202523321563	ARHGDIB;TP53
KEGG_2021_Human	Thyroid hormone signaling pathway	2/121	0.0023026994538488	0.0166949180964405	0	0	33.39327731092437	202.81985241762877	MDM2;TP53
KEGG_2021_Human	Cell cycle	2/124	0.0024163697244848	0.0166949180964405	0	0	32.5672131147541	196.23338369839547	MDM2;TP53
KEGG_2021_Human	Cellular senescence	2/156	0.0037902094212865	0.0240046596681478	0	0	25.75844155844156	143.61191514014556	MDM2;TP53
KEGG_2021_Human	Transcriptional misregulation in cancer	2/192	0.0056798092691881	0.0306334856873107	0	0	20.84	107.7602561296154	MDM2;TP53
KEGG_2021_Human	Epstein-Barr virus infection	2/202	0.0062675834991718	0.0306334856873107	0	0	19.788	100.37194685516846	MDM2;TP53
KEGG_2021_Human	Viral carcinogenesis	2/203	0.0063278396767439	0.0306334856873107	0	0	19.68855721393035	99.67915627617305	MDM2;TP53
KEGG_2021_Human	Proteoglycans in cancer	2/205	0.006449154881539	0.0306334856873107	0	0	19.492610837438423	98.31695106228902	MDM2;TP53
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	2/219	0.0073281524455183	0.032598509466461	0	0	18.222119815668204	89.58052136414021	ITGB2;TP53
