,complete_SVC,complete_RFC,complete_SVM,complete_SVP,complete_Logistic,complete_Ridge,complete_EN,complete_ET,complete_KNN,complete_XGB,complete_Ada,complete_MLP1,RPPA_SVC,RPPA_RFC,RPPA_SVM,RPPA_SVP,RPPA_Logistic,RPPA_Ridge,RPPA_EN,RPPA_ET,RPPA_KNN,RPPA_XGB,RPPA_Ada,RPPA_MLP1,RNA_SVC,RNA_RFC,RNA_SVM,RNA_SVP,RNA_Logistic,RNA_Ridge,RNA_EN,RNA_ET,RNA_KNN,RNA_XGB,RNA_Ada,RNA_MLP1,MIRNA_SVC,MIRNA_RFC,MIRNA_SVM,MIRNA_SVP,MIRNA_Logistic,MIRNA_Ridge,MIRNA_EN,MIRNA_ET,MIRNA_KNN,MIRNA_XGB,MIRNA_Ada,MIRNA_MLP1,META_SVC,META_RFC,META_SVM,META_SVP,META_Logistic,META_Ridge,META_EN,META_ET,META_KNN,META_XGB,META_Ada,META_MLP1,DNA_SVC,DNA_RFC,DNA_SVM,DNA_SVP,DNA_Logistic,DNA_Ridge,DNA_EN,DNA_ET,DNA_KNN,DNA_XGB,DNA_Ada,DNA_MLP1,PATHWAYS_SVC,PATHWAYS_RFC,PATHWAYS_SVM,PATHWAYS_SVP,PATHWAYS_Logistic,PATHWAYS_Ridge,PATHWAYS_EN,PATHWAYS_ET,PATHWAYS_KNN,PATHWAYS_XGB,PATHWAYS_Ada,PATHWAYS_MLP1,TYPE_SVC,TYPE_RFC,TYPE_SVM,TYPE_SVP,TYPE_Logistic,TYPE_Ridge,TYPE_EN,TYPE_ET,TYPE_KNN,TYPE_XGB,TYPE_Ada,TYPE_MLP1
complete_SVC,0.7595154845154845,0.7673160173160174,0.8002039627039628,0.7924658674658676,0.7924658674658676,0.8002039627039628,0.8045537795537795,0.7986804861804861,0.7277430902430903,0.7843947718947719,0.8226273726273726,0.7976273726273726,0.7676948051948053,0.7650974025974027,0.7717074592074592,0.7357101232101233,0.7659215784215784,0.7753871128871129,0.7597735597735598,0.7736804861804863,0.7832042957042957,0.7820346320346321,0.7858849483849484,0.7220196470196469,0.7595154845154845,0.7910797535797537,0.7864052614052615,0.7995629370629371,0.7948468198468199,0.7941433566433564,0.7896270396270396,0.7773892773892774,0.7756160506160507,0.7847277722277722,0.813761238761239,0.7786671661671661,0.7796328671328671,0.7987262737262737,0.7764776889776889,0.7922452547452548,0.7968697968697971,0.8033716283716285,0.7767399267399268,0.788869463869464,0.7774642024642024,0.7997960372960373,0.7976065601065601,0.7907758907758907,0.7767732267732269,0.7730311355311354,0.8084332334332334,0.7858308358308358,0.7755910755910757,0.8105685980685979,0.7772602397602398,0.733528971028971,0.7656468531468532,0.7993464868464868,0.7447802197802198,0.7883616383616384,0.7437062937062937,0.7665792540792541,0.8044955044955046,0.7595154845154845,0.7858100233100233,0.8038544788544788,0.7817640692640693,0.738927738927739,0.7165667665667665,0.7243381618381618,0.7107017982017982,0.8100607725607725,0.7489718614718615,0.7740467865467866,0.7490800865800866,0.7764610389610389,0.7408549783549784,0.7490051615051615,0.7463328338328339,0.7502497502497503,0.7348609723609724,0.7989801864801864,0.8129578754578753,0.7507908757908759,0.7628704628704629,0.7465825840825839,0.7628704628704629,0.7628704628704629,0.7628704628704629,0.7628704628704629,0.7454545454545454,0.7628704628704629,0.7835830835830836,0.7342449217449216,0.7676323676323676,0.7688228438228439
complete_RFC,,0.7626540126540128,0.7920704295704296,0.7849275724275725,0.7849275724275725,0.7920704295704296,0.8005411255411256,0.7946595071595073,0.7396270396270396,0.7852064602064603,0.8198051948051948,0.7887987012987013,0.7613011988011988,0.7593531468531469,0.7649100899100899,0.7521728271728272,0.7590784215784215,0.7673451548451549,0.7522352647352648,0.7643023643023644,0.7950507825507825,0.7739926739926741,0.7261113886113886,0.7355519480519481,0.7673160173160174,0.7822510822510823,0.785468697968698,0.7914294039294039,0.7867132867132868,0.7926115551115551,0.7820429570429571,0.7709415584415586,0.7693140193140193,0.7778929403929403,0.8064477189477189,0.7776223776223776,0.7774225774225775,0.7953255078255077,0.7798160173160172,0.7925616050616051,0.798422410922411,0.8061147186147185,0.7800241425241425,0.7886363636363637,0.7451756576756577,0.8019605394605394,0.8009990009990011,0.7917415917415918,0.7800574425574427,0.7740717615717616,0.8104645354645355,0.7881535131535131,0.7758991008991009,0.811617549117549,0.7811938061938062,0.731943056943057,0.7666416916416916,0.8017399267399267,0.7477064602064603,0.7906468531468531,0.7510281385281385,0.750428737928738,0.8016150516150518,0.7626540126540128,0.7466283716283716,0.7640692640692641,0.750832500832501,0.7747710622710622,0.7627788877788878,0.7348318348318348,0.7150807525807525,0.8135364635364635,0.7532550782550783,0.7732101232101233,0.7611013986013987,0.776510989010989,0.7438936063936065,0.7532800532800533,0.759040959040959,0.7570679320679321,0.7346361971361972,0.7975940725940726,0.8103812853812855,0.7425657675657676,0.7690767565767567,0.769509657009657,0.7690767565767567,0.7690767565767567,0.7690767565767567,0.7690767565767567,0.7515234765234766,0.7690767565767567,0.7898351648351649,0.7493256743256743,0.7726481851481852,0.7744338994338995
complete_SVM,,,0.7823426573426574,0.7811521811521812,0.7811521811521812,0.7823426573426574,0.8006576756576758,0.8079587079587081,0.8068223443223443,0.7953338328338329,0.8296245421245422,0.7927572427572429,0.7886613386613386,0.7855228105228106,0.7835622710622709,0.7548992673992674,0.7808066933066934,0.7839410589410589,0.7807359307359307,0.7928030303030303,0.8095862470862472,0.7996378621378621,0.8026640026640027,0.7586496836496835,0.8002039627039628,0.801502664002664,0.7774725274725275,0.7882034632034631,0.7841283716283717,0.7852106227106226,0.7880661005661006,0.7961455211455213,0.7858641358641358,0.8018106893106893,0.8190517815517815,0.7828296703296703,0.8040750915750916,0.8085164835164835,0.8057775557775557,0.810822510822511,0.8143939393939392,0.8226814851814851,0.8000333000333001,0.7995837495837497,0.7713952713952714,0.8199134199134199,0.8147852147852148,0.8077214452214452,0.8176989676989678,0.7907800532800534,0.8355352980352979,0.8211371961371962,0.8111888111888111,0.8385114885114884,0.8205669330669331,0.7901931401931402,0.7976190476190477,0.8159215784215785,0.8055153180153181,0.8253246753246752,0.7875749250749251,0.7908008658008658,0.806859806859807,0.7823426573426574,0.752980352980353,0.8055777555777555,0.7567474192474194,0.7799367299367299,0.7731893106893107,0.7588494838494838,0.73505661005661,0.8194597069597069,0.7860972360972361,0.7961996336996338,0.7903180153180154,0.8060564435564437,0.7797119547119548,0.7825965700965701,0.7871586746586747,0.7904970029970031,0.7824508824508826,0.8126623376623376,0.8225108225108224,0.7837870462870462,0.7971320346320347,0.7606601731601732,0.7971320346320347,0.7971320346320347,0.7971320346320347,0.7971320346320347,0.7896145521145522,0.7971320346320347,0.8096653346653346,0.7887445887445887,0.7911796536796537,0.7941558441558442
complete_SVP,,,,0.774009324009324,0.774009324009324,0.7811521811521812,0.7935148185148185,0.8008158508158509,0.7990842490842491,0.7881909756909757,0.829029304029304,0.7856143856143857,0.7815184815184815,0.7783799533799535,0.7746336996336997,0.7494505494505495,0.77247335997336,0.7809648684648686,0.7718073593073593,0.7844696969696969,0.7953005328005328,0.7913045288045288,0.7943306693306694,0.748530636030636,0.7924658674658676,0.7943598068598069,0.7756868131868131,0.7816558441558442,0.7775807525807527,0.7834249084249083,0.7815184815184815,0.7890026640026641,0.7769355644355644,0.7882825507825508,0.809527972027972,0.7750915750915751,0.794551282051282,0.8037545787545788,0.79506327006327,0.7995129870129871,0.8042748917748916,0.8131576756576756,0.7893190143190143,0.796012321012321,0.7670454545454547,0.8097943722943721,0.8046661671661672,0.7981976356976357,0.8075799200799201,0.7818514818514819,0.8254162504162504,0.8116133866133867,0.8010697635697636,0.8283924408924408,0.8098526473526475,0.7806693306693306,0.7946428571428572,0.8075882450882451,0.7965867465867466,0.8152056277056277,0.7786463536463538,0.7812770562770563,0.7973359973359972,0.774009324009324,0.7434565434565436,0.7591491841491841,0.7525807525807526,0.7727938727938728,0.7612845487845487,0.74753996003996,0.728508991008991,0.8099358974358974,0.7765734265734265,0.7866758241758243,0.781389443889444,0.796532634032634,0.7707833832833832,0.7736679986679986,0.7776348651348652,0.7809731934731936,0.772927072927073,0.8102813852813853,0.8183441558441558,0.7748584748584749,0.787012987012987,0.7856601731601731,0.787012987012987,0.787012987012987,0.787012987012987,0.787012987012987,0.7794955044955045,0.787012987012987,0.8060939060939061,0.778625541125541,0.787012987012987,0.7905844155844155
complete_Logistic,,,,,0.774009324009324,0.7811521811521812,0.7935148185148185,0.8008158508158509,0.7990842490842491,0.7881909756909757,0.829029304029304,0.7856143856143857,0.7815184815184815,0.7783799533799535,0.7746336996336997,0.7494505494505495,0.77247335997336,0.7809648684648686,0.7718073593073593,0.7844696969696969,0.7953005328005328,0.7913045288045288,0.7943306693306694,0.748530636030636,0.7924658674658676,0.7943598068598069,0.7756868131868131,0.7816558441558442,0.7775807525807527,0.7834249084249083,0.7815184815184815,0.7890026640026641,0.7769355644355644,0.7882825507825508,0.809527972027972,0.7750915750915751,0.794551282051282,0.8037545787545788,0.79506327006327,0.7995129870129871,0.8042748917748916,0.8131576756576756,0.7893190143190143,0.796012321012321,0.7670454545454547,0.8097943722943721,0.8046661671661672,0.7981976356976357,0.8075799200799201,0.7818514818514819,0.8254162504162504,0.8116133866133867,0.8010697635697636,0.8283924408924408,0.8098526473526475,0.7806693306693306,0.7946428571428572,0.8075882450882451,0.7965867465867466,0.8152056277056277,0.7786463536463538,0.7812770562770563,0.7973359973359972,0.774009324009324,0.7434565434565436,0.7591491841491841,0.7525807525807526,0.7727938727938728,0.7612845487845487,0.74753996003996,0.728508991008991,0.8099358974358974,0.7765734265734265,0.7866758241758243,0.781389443889444,0.796532634032634,0.7707833832833832,0.7736679986679986,0.7776348651348652,0.7809731934731936,0.772927072927073,0.8102813852813853,0.8183441558441558,0.7748584748584749,0.787012987012987,0.7856601731601731,0.787012987012987,0.787012987012987,0.787012987012987,0.787012987012987,0.7794955044955045,0.787012987012987,0.8060939060939061,0.778625541125541,0.787012987012987,0.7905844155844155
complete_Ridge,,,,,,0.7823426573426574,0.8006576756576758,0.8079587079587081,0.8068223443223443,0.7953338328338329,0.8296245421245422,0.7927572427572429,0.7886613386613386,0.7855228105228106,0.7835622710622709,0.7548992673992674,0.7808066933066934,0.7839410589410589,0.7807359307359307,0.7928030303030303,0.8095862470862472,0.7996378621378621,0.8026640026640027,0.7586496836496835,0.8002039627039628,0.801502664002664,0.7774725274725275,0.7882034632034631,0.7841283716283717,0.7852106227106226,0.7880661005661006,0.7961455211455213,0.7858641358641358,0.8018106893106893,0.8190517815517815,0.7828296703296703,0.8040750915750916,0.8085164835164835,0.8057775557775557,0.810822510822511,0.8143939393939392,0.8226814851814851,0.8000333000333001,0.7995837495837497,0.7713952713952714,0.8199134199134199,0.8147852147852148,0.8077214452214452,0.8176989676989678,0.7907800532800534,0.8355352980352979,0.8211371961371962,0.8111888111888111,0.8385114885114884,0.8205669330669331,0.7901931401931402,0.7976190476190477,0.8159215784215785,0.8055153180153181,0.8253246753246752,0.7875749250749251,0.7908008658008658,0.806859806859807,0.7823426573426574,0.752980352980353,0.8055777555777555,0.7567474192474194,0.7799367299367299,0.7731893106893107,0.7588494838494838,0.73505661005661,0.8194597069597069,0.7860972360972361,0.7961996336996338,0.7903180153180154,0.8060564435564437,0.7797119547119548,0.7825965700965701,0.7871586746586747,0.7904970029970031,0.7824508824508826,0.8126623376623376,0.8225108225108224,0.7837870462870462,0.7971320346320347,0.7606601731601732,0.7971320346320347,0.7971320346320347,0.7971320346320347,0.7971320346320347,0.7896145521145522,0.7971320346320347,0.8096653346653346,0.7887445887445887,0.7911796536796537,0.7941558441558442
complete_EN,,,,,,,0.7971778221778222,0.8110722610722612,0.8235347985347985,0.8043997668997669,0.8296078921078921,0.7999916749916751,0.7971320346320347,0.7945887445887447,0.7808025308025308,0.7773809523809524,0.7830960705960706,0.7976315351315352,0.7901681651681651,0.8022352647352647,0.8220862470862471,0.8030719280719282,0.8145687645687646,0.8210581085581087,0.8045537795537795,0.8064477189477189,0.7963827838827838,0.8023976023976024,0.7970862470862471,0.8041208791208792,0.7977272727272726,0.8034715284715285,0.7818431568431569,0.805473692973693,0.8321053946053946,0.7945970695970697,0.8116300366300365,0.8266483516483518,0.8126456876456876,0.8218115218115217,0.8235514485514486,0.8288628038628039,0.8086871461871462,0.8183108558108557,0.778583916083916,0.8238053613053614,0.822935397935398,0.8162837162837162,0.8220487845487845,0.8013569763569764,0.8393356643356643,0.8278679653679653,0.8137071262071262,0.8434565434565435,0.8243215118215119,0.7704170829170829,0.8097527472527473,0.8277805527805528,0.789069264069264,0.8302697302697302,0.8017690642690642,0.7900682650682651,0.8200008325008324,0.7971778221778222,0.7745462870462869,0.8193598068598067,0.7826173826173826,0.774537962037962,0.7728230103230104,0.771540959040959,0.7461371961371961,0.823489010989011,0.7916833166833166,0.7992673992673993,0.796499333999334,0.8098568098568097,0.7864885114885115,0.7887778887778888,0.7921495171495171,0.7954878454878455,0.7791083916083916,0.8271769896769896,0.8346445221445222,0.7911588411588413,0.8039085914085915,0.8031510156510155,0.8039085914085915,0.8039085914085915,0.8039085914085915,0.8039085914085915,0.7946053946053946,0.8039085914085915,0.8158924408924408,0.7949259074259073,0.8039085914085915,0.8074800199800201
complete_ET,,,,,,,,0.7954378954378954,0.8288669663669663,0.80255994005994,0.8273601398601398,0.8046869796869798,0.7944971694971696,0.7925491175491176,0.7956335331335331,0.7723651348651348,0.7881077256077256,0.7980685980685981,0.783050283050283,0.7939269064269064,0.8196844821844822,0.8029761904761905,0.7746919746919748,0.7669164169164169,0.7986804861804861,0.7981393606393606,0.7977855477855478,0.8031052281052281,0.7990301365301365,0.805523643023643,0.8044330669330669,0.7963536463536464,0.7764568764568766,0.8081210456210457,0.826294538794539,0.7959998334998335,0.8127247752247753,0.8229353979353979,0.8044955044955046,0.8213619713619714,0.823101898101898,0.8266275391275391,0.807084582084582,0.8192224442224443,0.7765401265401265,0.8325008325008325,0.8237096237096239,0.8152306027306029,0.8185647685647686,0.8060314685314685,0.8422868797868798,0.8283549783549784,0.8167415917415918,0.8464618714618712,0.8220820845820846,0.7651848151848151,0.803912753912754,0.8318223443223441,0.7913877788877789,0.8314435564435565,0.7988303363303364,0.7946137196137195,0.8262487512487514,0.7954378954378954,0.76998001998002,0.8249666999666999,0.8098526473526475,0.7744838494838495,0.7612678987678987,0.7700882450882451,0.7470862470862472,0.8290584415584414,0.786954711954712,0.798347485847486,0.793015318015318,0.782554945054945,0.7817599067599068,0.7840034965034965,0.7835372960372962,0.7913628038628039,0.7773559773559773,0.8265318015318016,0.8404179154179154,0.7851939726939727,0.796549284049284,0.7779345654345654,0.796549284049284,0.796549284049284,0.796549284049284,0.796549284049284,0.7941516816516816,0.796549284049284,0.8190476190476191,0.7810189810189809,0.7941683316683317,0.7995254745254745
complete_KNN,,,,,,,,,0.6729104229104229,0.7086538461538462,0.7787670662670663,0.8203962703962704,0.7278846153846154,0.7265359640359641,0.7177156177156176,0.6944222444222443,0.7353105228105228,0.7277805527805528,0.7255369630369631,0.7360098235098235,0.691471028971029,0.7266733266733267,0.7151473526473527,0.686592574092574,0.7241716616716616,0.8011197136197137,0.7323634698634699,0.8014652014652015,0.8032509157509159,0.740101565101565,0.7966575091575091,0.7433816183816184,0.7017773892773894,0.7474067599067599,0.7427322677322679,0.7412920412920412,0.7027097902097903,0.6946553446553447,0.724454711954712,0.7169413919413921,0.7237221112221112,0.7355810855810855,0.702913752913753,0.7076506826506825,0.6606601731601731,0.7238178488178487,0.7062354312354311,0.7206293706293706,0.7567474192474193,0.7262570762570763,0.7878246753246753,0.726948051948052,0.7453338328338328,0.7838245088245088,0.75739676989677,0.7073967698967699,0.7269147519147519,0.744359806859807,0.7247710622710622,0.7443931068931069,0.6836455211455211,0.6981643356643357,0.7062021312021312,0.6729104229104229,0.6938603063603063,0.7036380286380286,0.6947552447552447,0.6594322344322345,0.6554945054945055,0.6769064269064269,0.6334165834165835,0.7269855144855144,0.7171869796869796,0.7295246420246421,0.7256826506826507,0.6919705294705295,0.7134532134532134,0.7166583416583417,0.7147394272394274,0.7202297702297702,0.7019522144522143,0.7598193473193472,0.7698301698301698,0.718444055944056,0.7031010656010656,0.6960664335664337,0.7031010656010656,0.7031010656010656,0.7031010656010656,0.7031010656010656,0.7043081918081918,0.7031010656010656,0.7387196137196137,0.6871378621378621,0.7020188145188145,0.7096486846486847
complete_XGB,,,,,,,,,,0.735914085914086,0.8275224775224774,0.7966075591075592,0.7804986679986681,0.7760614385614386,0.7635780885780885,0.75506993006993,0.7647810522810523,0.7756993006993007,0.7636571761571762,0.7790251415251415,0.7152181152181153,0.7712121212121212,0.7663919413919414,0.7495337995337995,0.7843947718947719,0.7940434565434566,0.7808316683316685,0.7899766899766899,0.7846195471195471,0.7891650016650017,0.7853521478521478,0.7892815517815519,0.7615509490509491,0.7554528804528804,0.8044871794871795,0.7748792873792875,0.754499666999667,0.7678155178155178,0.749084249084249,0.7522810522810521,0.7581876456876457,0.7685314685314685,0.7570304695304696,0.7593947718947719,0.7298742923742924,0.7848484848484848,0.7620421245421245,0.7522644022644023,0.7839660339660339,0.7696678321678322,0.8095321345321345,0.7801406926406926,0.7694472194472194,0.8045246420246419,0.7774725274725275,0.7502372627372627,0.7726689976689978,0.7896145521145522,0.766512654012654,0.7862054612054612,0.7406593406593407,0.7467782217782218,0.7666708291708292,0.735914085914086,0.7171120546120544,0.7653887778887779,0.7597444222444223,0.7163669663669663,0.7464368964368965,0.7532009657009657,0.750553613053613,0.7748584748584749,0.7616300366300365,0.763011988011988,0.756218781218781,0.7629995004995005,0.7492923742923743,0.7539169164169164,0.7542957042957041,0.7542957042957043,0.7540501165501166,0.7862096237096237,0.786426073926074,0.7527264402264403,0.7561272061272061,0.7515276390276389,0.7561272061272061,0.7561272061272061,0.7561272061272061,0.7561272061272061,0.739606227106227,0.7561272061272061,0.7822510822510822,0.7430860805860805,0.750174825174825,0.7596986346986345
