,complete_SVC,complete_RFC,complete_SVM,complete_SVP,complete_Logistic,complete_Ridge,complete_EN,complete_ET,complete_KNN,complete_XGB,complete_Ada,complete_MLP1,RPPA_SVC,RPPA_RFC,RPPA_SVM,RPPA_SVP,RPPA_Logistic,RPPA_Ridge,RPPA_EN,RPPA_ET,RPPA_KNN,RPPA_XGB,RPPA_Ada,RPPA_MLP1,RNA_SVC,RNA_RFC,RNA_SVM,RNA_SVP,RNA_Logistic,RNA_Ridge,RNA_EN,RNA_ET,RNA_KNN,RNA_XGB,RNA_Ada,RNA_MLP1,MIRNA_SVC,MIRNA_RFC,MIRNA_SVM,MIRNA_SVP,MIRNA_Logistic,MIRNA_Ridge,MIRNA_EN,MIRNA_ET,MIRNA_KNN,MIRNA_XGB,MIRNA_Ada,MIRNA_MLP1,META_SVC,META_RFC,META_SVM,META_SVP,META_Logistic,META_Ridge,META_EN,META_ET,META_KNN,META_XGB,META_Ada,META_MLP1,DNA_SVC,DNA_RFC,DNA_SVM,DNA_SVP,DNA_Logistic,DNA_Ridge,DNA_EN,DNA_ET,DNA_KNN,DNA_XGB,DNA_Ada,DNA_MLP1,PATHWAYS_SVC,PATHWAYS_RFC,PATHWAYS_SVM,PATHWAYS_SVP,PATHWAYS_Logistic,PATHWAYS_Ridge,PATHWAYS_EN,PATHWAYS_ET,PATHWAYS_KNN,PATHWAYS_XGB,PATHWAYS_Ada,PATHWAYS_MLP1,TYPE_SVC,TYPE_RFC,TYPE_SVM,TYPE_SVP,TYPE_Logistic,TYPE_Ridge,TYPE_EN,TYPE_ET,TYPE_KNN,TYPE_XGB,TYPE_Ada,TYPE_MLP1
complete_SVC,0.5733333333333334,0.5921541950113379,0.5899886621315192,0.5879478458049886,0.5957256235827664,0.5875850340136054,0.5930612244897959,0.5674716553287981,0.591689342403628,0.598015873015873,0.5905328798185941,0.5901473922902494,0.5956462585034014,0.5915759637188208,0.6410884353741496,0.6218707482993198,0.6332653061224491,0.6179478458049886,0.6251814058956915,0.5980385487528346,0.5896031746031747,0.5963378684807256,0.6058730158730159,0.6411678004535147,0.5800907029478458,0.6280385487528346,0.5510090702947845,0.5896485260770976,0.5904648526077098,0.5663378684807256,0.6044444444444443,0.5997959183673469,0.5926417233560091,0.5925283446712017,0.6376530612244897,0.5733333333333334,0.5891836734693877,0.593469387755102,0.5960204081632654,0.5709297052154195,0.5978571428571428,0.5963378684807257,0.5308730158730158,0.5655442176870749,0.5750907029478458,0.564092970521542,0.5408956916099774,0.5559410430839004,0.5730045351473924,0.5566666666666666,0.5777097505668933,0.5850566893424036,0.5549092970521542,0.5744557823129253,0.5858049886621315,0.5439795918367347,0.5468594104308391,0.6004195011337868,0.5507142857142857,0.5739115646258504,0.5777777777777777,0.575328798185941,0.5789455782312926,0.5727664399092971,0.589625850340136,0.5802267573696145,0.563185941043084,0.5618707482993197,0.5447732426303855,0.5953401360544218,0.5476530612244898,0.5778004535147392,0.5689229024943311,0.5851587301587301,0.5885374149659863,0.5684467120181406,0.6002380952380952,0.5496825396825397,0.6009297052154196,0.5646938775510204,0.5605442176870747,0.5512585034013606,0.5889229024943311,0.5795124716553288,0.6094671201814059,0.6060657596371882,0.6094671201814059,0.6094671201814059,0.6094671201814059,0.6094671201814059,0.6151927437641722,0.5998072562358276,0.5963605442176871,0.6149886621315194,0.6233219954648526,0.6174263038548753
complete_RFC,,0.5809523809523809,0.5953174603174602,0.5904875283446712,0.6015306122448979,0.5926417233560091,0.6240249433106576,0.563061224489796,0.5935714285714286,0.5990362811791383,0.5805555555555555,0.6063945578231292,0.5953061224489795,0.5981292517006802,0.6406462585034014,0.61578231292517,0.6327891156462585,0.6024943310657596,0.6321201814058958,0.5946371882086169,0.5936054421768707,0.6050226757369614,0.6044331065759637,0.6446371882086167,0.5958049886621314,0.6243990929705217,0.5676077097505668,0.5955215419501133,0.5951133786848073,0.5713038548752835,0.6059977324263038,0.598514739229025,0.5889455782312926,0.5898412698412698,0.6367687074829932,0.5809523809523809,0.5799433106575964,0.5731065759637188,0.5901360544217686,0.5597165532879819,0.5919501133786848,0.5910657596371882,0.5397619047619048,0.5944331065759638,0.5366553287981859,0.5665419501133787,0.5466780045351475,0.5636848072562358,0.5791043083900227,0.5705328798185942,0.5853968253968255,0.5759070294784581,0.5562585034013605,0.6025056689342405,0.5797392290249433,0.5634807256235828,0.563265306122449,0.5991043083900227,0.5527097505668934,0.5780725623582766,0.5940362811791383,0.5954421768707483,0.5856009070294784,0.5825056689342404,0.5931065759637189,0.6029591836734693,0.5691383219954649,0.5683106575963719,0.5523015873015873,0.5916099773242631,0.573344671201814,0.584092970521542,0.6080725623582767,0.6012925170068028,0.554546485260771,0.6052154195011339,0.5989342403628118,0.5564285714285713,0.6063378684807257,0.563718820861678,0.5659977324263039,0.5667573696145125,0.5938208616780045,0.5828344671201814,0.6229591836734694,0.6209183673469388,0.6229591836734694,0.6229591836734694,0.6229591836734694,0.6229591836734694,0.6244671201814059,0.6209863945578231,0.612358276643991,0.6275963718820862,0.6369727891156463,0.6306235827664399
complete_SVM,,,0.5816666666666668,0.5734013605442178,0.5848866213151928,0.5791723356009071,0.5953628117913832,0.5769727891156463,0.5891269841269842,0.5980385487528345,0.5862585034013605,0.5983333333333334,0.6030045351473923,0.5992630385487528,0.6448185941043084,0.6139002267573697,0.6337981859410431,0.6067346938775511,0.6388095238095237,0.5955668934240362,0.6004081632653062,0.6034920634920635,0.6185260770975057,0.6426077097505669,0.5978571428571429,0.6330725623582767,0.5967346938775511,0.5581065759637188,0.5661451247165533,0.5963718820861679,0.602687074829932,0.6006122448979592,0.5936507936507937,0.5852834467120182,0.6341043083900227,0.5816666666666668,0.5934353741496599,0.5955442176870749,0.5950226757369614,0.5612698412698413,0.5970408163265306,0.5992176870748299,0.5386507936507937,0.5963038548752835,0.5325963718820861,0.5683446712018141,0.5585260770975057,0.5594217687074831,0.554625850340136,0.5644897959183673,0.5454875283446712,0.5700340136054421,0.5610090702947845,0.5922222222222222,0.5731065759637188,0.5692630385487529,0.5665759637188208,0.5640022675736962,0.5493877551020409,0.5578571428571429,0.5685600907029479,0.5741950113378684,0.5954875283446712,0.5800566893424037,0.5915986394557822,0.5953628117913833,0.5518480725623582,0.5640476190476191,0.5527324263038549,0.5954875283446711,0.5446371882086167,0.5841723356009071,0.6062698412698413,0.6005895691609978,0.5551700680272109,0.6008503401360544,0.5964512471655329,0.5537301587301589,0.598514739229025,0.5721315192743764,0.5712585034013605,0.5659297052154196,0.5735487528344672,0.5812471655328798,0.6069614512471656,0.6024263038548752,0.6069614512471656,0.6069614512471656,0.6069614512471656,0.6069614512471656,0.6105215419501133,0.6073696145124716,0.6043197278911565,0.6104195011337868,0.6198979591836735,0.6149092970521541
complete_SVP,,,,0.5719047619047619,0.5813492063492063,0.5763492063492064,0.5983673469387755,0.5577210884353743,0.5751814058956916,0.595124716553288,0.579875283446712,0.5917460317460317,0.5939115646258504,0.5941496598639455,0.6378458049886622,0.6157709750566894,0.6279591836734694,0.6070181405895692,0.6345578231292517,0.5897392290249432,0.5827210884353742,0.5947278911564625,0.6190816326530613,0.6358616780045352,0.5948072562358276,0.6258616780045351,0.5846258503401361,0.5590702947845805,0.5585034013605442,0.5842630385487528,0.5976643990929705,0.5570181405895692,0.5886961451247166,0.5791950113378685,0.6270181405895692,0.5719047619047619,0.5900680272108844,0.5860544217687076,0.5870975056689343,0.5519501133786848,0.5863832199546485,0.5871655328798185,0.530952380952381,0.5863038548752835,0.5271201814058957,0.5567687074829932,0.5448979591836736,0.5503514739229025,0.5446145124716553,0.5702494331065759,0.5745124716553288,0.560532879818594,0.5509863945578232,0.5840816326530612,0.5754421768707483,0.5595124716553288,0.5570521541950113,0.5804081632653061,0.5414285714285715,0.5494897959183673,0.5603854875283447,0.5642743764172335,0.5884807256235829,0.5705215419501133,0.5859410430839002,0.5881292517006803,0.5446371882086167,0.556609977324263,0.5446031746031746,0.5909977324263039,0.5372108843537415,0.5778458049886621,0.5930385487528345,0.5902154195011338,0.5404081632653062,0.5913151927437642,0.584625850340136,0.5437641723356009,0.5860204081632654,0.5637868480725624,0.558514739229025,0.5572675736961452,0.5473469387755101,0.5764739229024943,0.6194331065759637,0.614671201814059,0.6194331065759637,0.6194331065759637,0.6194331065759637,0.6194331065759637,0.6134920634920634,0.6006349206349207,0.5967687074829933,0.6200793650793652,0.6150340136054423,0.610045351473923
complete_Logistic,,,,,0.5864285714285714,0.5766780045351474,0.6089455782312925,0.5833560090702947,0.5944104308390024,0.5999659863945579,0.5959297052154195,0.5993877551020408,0.6049319727891156,0.6038208616780045,0.6447392290249432,0.6163265306122448,0.6341609977324263,0.6139229024943311,0.6396712018140589,0.6038775510204082,0.6042403628117914,0.6075850340136055,0.6143650793650794,0.6425170068027211,0.6026417233560091,0.6348639455782312,0.6037528344671201,0.5653628117913833,0.5767346938775509,0.6031519274376417,0.6051814058956916,0.6053741496598639,0.6013945578231292,0.5698412698412698,0.637562358276644,0.5864285714285714,0.5968934240362811,0.5998639455782313,0.5995918367346939,0.5655895691609978,0.6011337868480726,0.6035374149659865,0.5429818594104308,0.6014965986394557,0.5364399092970522,0.5717233560090703,0.5635487528344671,0.565532879818594,0.5572562358276644,0.5725283446712017,0.5514399092970521,0.5764399092970522,0.5648412698412699,0.5965306122448979,0.5885487528344671,0.5761564625850341,0.5710997732426304,0.5706575963718821,0.5546145124716553,0.5642857142857143,0.5712244897959183,0.5789795918367346,0.5988435374149661,0.5843537414965987,0.5940249433106576,0.5984920634920636,0.5585714285714285,0.576609977324263,0.5589569160997733,0.5990816326530611,0.5517913832199546,0.5984013605442177,0.6091156462585035,0.6051133786848072,0.5601700680272109,0.6046598639455782,0.6017120181405896,0.5599319727891157,0.6028231292517007,0.5768934240362812,0.5771768707482994,0.5731179138321997,0.5790362811791384,0.5857936507936508,0.6139002267573697,0.6093650793650793,0.6139002267573697,0.6139002267573697,0.6139002267573697,0.6139002267573697,0.616281179138322,0.6073809523809524,0.6086281179138323,0.6175850340136054,0.6246825396825397,0.6196938775510203
complete_Ridge,,,,,,0.576904761904762,0.593095238095238,0.568219954648526,0.5852721088435374,0.5939569160997732,0.5821768707482993,0.5962925170068026,0.598922902494331,0.5961337868480726,0.6416439909297053,0.6102721088435376,0.6313038548752835,0.6078684807256235,0.6358616780045351,0.591485260770975,0.5958730158730159,0.5973696145124716,0.6200680272108844,0.6396598639455784,0.5933219954648526,0.6308049886621315,0.5894784580498866,0.5510770975056689,0.5591156462585034,0.5891156462585034,0.6020975056689343,0.5672789115646258,0.5888888888888889,0.581201814058957,0.6318367346938776,0.576904761904762,0.5909410430839003,0.5916893424036281,0.5911678004535148,0.5574149659863945,0.5931859410430839,0.5951360544217688,0.5350226757369614,0.5904081632653062,0.5287414965986394,0.5644897959183675,0.5544444444444444,0.5553401360544218,0.5503174603174603,0.55859410430839,0.5407256235827664,0.5648185941043083,0.5567006802721088,0.5747619047619047,0.5676643990929705,0.5642743764172337,0.561814058956916,0.5587868480725623,0.5446258503401361,0.5530952380952382,0.5649319727891157,0.5701133786848073,0.5823356009070294,0.5755215419501134,0.5879705215419502,0.5915079365079365,0.5484467120181407,0.5586054421768708,0.5486507936507937,0.59140589569161,0.539875283446712,0.5798639455782313,0.5731632653061225,0.5958276643990931,0.5506349206349206,0.5960884353741497,0.5923696145124717,0.5494217687074829,0.5944331065759637,0.5673696145124716,0.5660430839002267,0.5609410430839002,0.5509183673469388,0.5771655328798186,0.6031065759637189,0.5985714285714285,0.6031065759637189,0.6031065759637189,0.6031065759637189,0.6031065759637189,0.6097959183673469,0.6028344671201814,0.6002380952380953,0.6115759637188208,0.6155895691609977,0.6106009070294784
complete_EN,,,,,,,0.6107142857142858,0.6021315192743764,0.6199433106575963,0.6231519274376417,0.6175963718820862,0.6185034013605442,0.6295351473922902,0.63421768707483,0.6513492063492063,0.6352494331065761,0.637517006802721,0.6263265306122449,0.6388548752834468,0.6210657596371881,0.6269387755102042,0.6320181405895692,0.6376190476190475,0.6430045351473923,0.6191496598639455,0.63218820861678,0.6286054421768708,0.5954308390022677,0.6219727891156462,0.6273015873015872,0.6171541950113377,0.6391383219954647,0.6248299319727891,0.5972222222222221,0.6332993197278911,0.6107142857142858,0.6362358276643991,0.5991383219954647,0.6284467120181405,0.5956802721088434,0.6245238095238095,0.6261224489795919,0.5667233560090703,0.6250566893424037,0.5868480725623583,0.5898639455782313,0.5847392290249432,0.5922675736961451,0.5773696145124717,0.5995351473922902,0.6002380952380952,0.6013265306122448,0.6019727891156462,0.617687074829932,0.5993310657596371,0.6063492063492063,0.5851133786848072,0.5965079365079364,0.5842743764172337,0.5936054421768707,0.5998412698412698,0.6071655328798186,0.6177551020408163,0.6173469387755103,0.6194897959183674,0.6167233560090704,0.620702947845805,0.6013265306122448,0.5892403628117913,0.627482993197279,0.5768140589569161,0.5764625850340137,0.6358956916099774,0.6252834467120181,0.5785260770975056,0.6313945578231293,0.6296031746031746,0.5857482993197279,0.628922902494331,0.5969614512471655,0.6215759637188208,0.5971995464852606,0.5721655328798186,0.6434353741496599,0.6403174603174603,0.6380498866213151,0.6403174603174603,0.6403174603174603,0.6403174603174603,0.6403174603174603,0.6430385487528345,0.6302040816326531,0.6391836734693878,0.6406009070294785,0.6356122448979591,0.6347732426303855
complete_ET,,,,,,,,0.5376190476190476,0.5492063492063493,0.5641836734693878,0.5263378684807256,0.558140589569161,0.5763265306122449,0.5649546485260771,0.601655328798186,0.579546485260771,0.5908843537414965,0.5986281179138322,0.5904195011337868,0.5634807256235828,0.5470181405895691,0.5855102040816327,0.6018820861678005,0.6077437641723356,0.570578231292517,0.6268820861678004,0.4978571428571428,0.5335260770975057,0.5302154195011338,0.5158843537414967,0.5758163265306122,0.44119047619047613,0.5545804988662131,0.5474943310657595,0.5991269841269842,0.5376190476190476,0.5798979591836734,0.531360544217687,0.5438662131519274,0.5282766439909297,0.5432539682539682,0.5404875283446712,0.4785487528344671,0.5150226757369614,0.4903628117913833,0.5249773242630386,0.48272108843537415,0.5246938775510204,0.5396258503401361,0.5486394557823129,0.5491609977324263,0.5157936507936508,0.5198185941043085,0.5501814058956918,0.5463832199546486,0.49359410430839007,0.49551020408163265,0.5381179138321995,0.502482993197279,0.5150566893424037,0.5147278911564626,0.5465873015873016,0.5488208616780046,0.5321541950113378,0.57437641723356,0.549671201814059,0.5084807256235827,0.5229478458049887,0.48992063492063487,0.5693083900226757,0.47731292517006807,0.5472675736961451,0.5310090702947846,0.5173809523809523,0.503061224489796,0.5390022675736962,0.49472789115646254,0.4618140589569162,0.5268707482993198,0.5208390022675736,0.5048752834467121,0.5248072562358277,0.5300566893424037,0.537891156462585,0.5797052154195012,0.5738775510204082,0.5797052154195012,0.5797052154195012,0.5797052154195012,0.5797052154195012,0.5811337868480726,0.5698412698412698,0.5831179138321996,0.5797392290249432,0.5808163265306122,0.5724263038548753
complete_KNN,,,,,,,,,0.5569047619047619,0.5940816326530612,0.5647278911564626,0.6031746031746031,0.6005442176870748,0.608265306122449,0.634342403628118,0.6136394557823129,0.6295238095238096,0.6125850340136054,0.6279478458049886,0.592517006802721,0.5721541950113379,0.5917913832199547,0.6211451247165533,0.6338095238095238,0.5991156462585033,0.6275736961451248,0.5610317460317461,0.5649773242630385,0.5608163265306123,0.560907029478458,0.6088775510204082,0.5190136054421769,0.5680725623582766,0.571031746031746,0.6361791383219955,0.5569047619047619,0.5714965986394558,0.5622902494331066,0.5733106575963719,0.5420861678004535,0.5581292517006802,0.568061224489796,0.5144104308390023,0.5708163265306123,0.5499886621315193,0.5699546485260771,0.5326643990929705,0.5385600907029479,0.5675850340136055,0.5329591836734693,0.5642176870748299,0.5479251700680271,0.5402267573696146,0.5625623582766439,0.5687981859410431,0.537108843537415,0.5312585034013606,0.5735260770975057,0.5305668934240363,0.5487868480725624,0.5443877551020407,0.5646938775510204,0.5660544217687075,0.5507709750566894,0.5735034013605442,0.5620748299319727,0.565453514739229,0.539795918367347,0.5492403628117914,0.5734580498866213,0.5393424036281179,0.5656916099773243,0.5580385487528343,0.5685714285714286,0.520532879818594,0.555124716553288,0.5430498866213153,0.5249659863945577,0.567562358276644,0.5481632653061224,0.5729251700680272,0.5443764172335601,0.5463945578231293,0.5553854875283447,0.5942743764172335,0.5929138321995465,0.5942743764172335,0.5942743764172335,0.5942743764172335,0.5942743764172335,0.6062811791383219,0.6059863945578231,0.5823242630385488,0.6094444444444445,0.6234693877551021,0.615079365079365
complete_XGB,,,,,,,,,,0.5811904761904761,0.5953854875283447,0.613265306122449,0.5992517006802721,0.6066780045351473,0.6503968253968254,0.6181972789115646,0.6319614512471656,0.6182199546485261,0.6298639455782313,0.5946485260770975,0.5993197278911564,0.6046145124716553,0.6123015873015873,0.6487188208616781,0.6024036281179138,0.6398979591836735,0.5649659863945578,0.5913492063492064,0.5908843537414966,0.5671201814058957,0.6100340136054422,0.5666553287981859,0.59781179138322,0.5682539682539682,0.6287755102040816,0.5811904761904761,0.5953741496598639,0.5901473922902495,0.5946825396825396,0.559625850340136,0.5958503401360544,0.5945238095238095,0.5411111111111111,0.5981746031746031,0.5584467120181406,0.5722902494331066,0.559750566893424,0.5617687074829932,0.5550453514739229,0.600453514739229,0.6038775510204081,0.5691836734693877,0.5572108843537414,0.5988662131519275,0.5900226757369614,0.5624036281179139,0.5557709750566894,0.5650340136054421,0.5587981859410431,0.570702947845805,0.569875283446712,0.5936961451247166,0.6099659863945578,0.5796031746031746,0.6151473922902495,0.6098412698412699,0.5716893424036281,0.5623696145124717,0.5497165532879819,0.6146258503401361,0.5481859410430839,0.6038775510204082,0.6017573696145125,0.5980612244897958,0.5431632653061225,0.5935034013605442,0.5673469387755101,0.5490816326530612,0.5922448979591837,0.5658163265306122,0.5643537414965987,0.5632653061224488,0.5750453514739229,0.6096371882086168,0.6134807256235828,0.6148412698412699,0.6134807256235828,0.6134807256235828,0.6134807256235828,0.6134807256235828,0.6061904761904762,0.6087188208616781,0.5918707482993197,0.6142290249433107,0.6253968253968255,0.6136281179138321
