,complete_SVC,complete_RFC,complete_SVM,complete_SVP,complete_Logistic,complete_Ridge,complete_EN,complete_ET,complete_KNN,complete_XGB,complete_Ada,complete_MLP1,RPPA_SVC,RPPA_RFC,RPPA_SVM,RPPA_SVP,RPPA_Logistic,RPPA_Ridge,RPPA_EN,RPPA_ET,RPPA_KNN,RPPA_XGB,RPPA_Ada,RPPA_MLP1,RNA_SVC,RNA_RFC,RNA_SVM,RNA_SVP,RNA_Logistic,RNA_Ridge,RNA_EN,RNA_ET,RNA_KNN,RNA_XGB,RNA_Ada,RNA_MLP1,MIRNA_SVC,MIRNA_RFC,MIRNA_SVM,MIRNA_SVP,MIRNA_Logistic,MIRNA_Ridge,MIRNA_EN,MIRNA_ET,MIRNA_KNN,MIRNA_XGB,MIRNA_Ada,MIRNA_MLP1,META_SVC,META_RFC,META_SVM,META_SVP,META_Logistic,META_Ridge,META_EN,META_ET,META_KNN,META_XGB,META_Ada,META_MLP1,DNA_SVC,DNA_RFC,DNA_SVM,DNA_SVP,DNA_Logistic,DNA_Ridge,DNA_EN,DNA_ET,DNA_KNN,DNA_XGB,DNA_Ada,DNA_MLP1,PATHWAYS_SVC,PATHWAYS_RFC,PATHWAYS_SVM,PATHWAYS_SVP,PATHWAYS_Logistic,PATHWAYS_Ridge,PATHWAYS_EN,PATHWAYS_ET,PATHWAYS_KNN,PATHWAYS_XGB,PATHWAYS_Ada,PATHWAYS_MLP1,TYPE_SVC,TYPE_RFC,TYPE_SVM,TYPE_SVP,TYPE_Logistic,TYPE_Ridge,TYPE_EN,TYPE_ET,TYPE_KNN,TYPE_XGB,TYPE_Ada,TYPE_MLP1
complete_SVC,0.6592088063295494,0.6797609219126247,0.7024630202958376,0.7091606467148261,0.711219470244238,0.6977846577227382,0.6884692122463021,0.6664241486068112,0.683326453388373,0.6774492604059168,0.634797041623667,0.6592088063295494,0.6812108703130375,0.6880908152734778,0.6485018919848642,0.6883763329893361,0.6701083591331269,0.6344650842793258,0.6747626418988648,0.6921585827313381,0.7008634330925354,0.6990608875128999,0.6804454764361885,0.6784640522875818,0.6639146886824905,0.680061919504644,0.7141228070175438,0.7124974200206398,0.7119263845889232,0.7094444444444445,0.6950171998624011,0.6661541107671138,0.6823735810113518,0.638171654626763,0.6308427932576539,0.6671173030615755,0.6730409356725146,0.6313312693498452,0.6878534571723427,0.6954609563123495,0.7042328861369109,0.6820158238734091,0.685079119367045,0.6237925696594427,0.7058565531475749,0.6875507395940833,0.6648950808393532,0.701045751633987,0.683888888888889,0.692547299621603,0.689876160990712,0.6885104919160646,0.6971637426900584,0.7004764361885105,0.7058393532851738,0.6960835913312693,0.702404540763674,0.6962246302029584,0.6991658066735466,0.7118369453044375,0.6664705882352943,0.6973632610939113,0.6660079119367044,0.6767887856897146,0.668360853113175,0.6636824905400756,0.6279772961816306,0.6888820089439285,0.6541193670450637,0.6619418644650843,0.6907705538355693,0.7032851737186103,0.6741021671826626,0.6866546267629859,0.6795906432748537,0.6405452356381149,0.6848985208118334,0.6879944960440316,0.6828792569659442,0.6860302717578259,0.6820295837633299,0.6799621603027176,0.6903353973168215,0.6116288269693843,0.6774148606811146,0.6890712074303407,0.6774148606811146,0.6774148606811146,0.6774148606811146,0.6774148606811146,0.6878775369797042,0.6774148606811146,0.7175128998968009,0.6508668730650156,0.6199398004815964,0.6691468868249053
complete_RFC,,0.6589370485036119,0.6899742002063983,0.6955056759545923,0.6984468524251806,0.6873426212590299,0.6812401100791194,0.6676006191950465,0.6839559683522533,0.6627571379428965,0.6716529067767457,0.6589370485036119,0.6771585827313382,0.6790213278293773,0.6297574819401445,0.681030271757826,0.6697884416924665,0.6359115927072583,0.6656209150326798,0.688658410732714,0.6940505675954594,0.7020897832817337,0.6802218782249742,0.6788992088063296,0.6818197454420364,0.6860371517027865,0.6966494668042656,0.6995906432748539,0.7014791881664947,0.6946026831785346,0.6862263501891985,0.6722411420708635,0.6812401100791192,0.6488888888888888,0.6378568971448229,0.6577898176814585,0.6709821121431029,0.6257120743034056,0.6854712762297902,0.6918369453044375,0.6965428276573787,0.6810698314413486,0.6782524939800482,0.6463157894736843,0.6889628482972137,0.6834348125214997,0.669107327141383,0.6945270037839697,0.68421912624699,0.7003921568627451,0.6829153766769867,0.6809253525971792,0.685593395252838,0.689764361885105,0.7001169590643275,0.6930890952872377,0.6999604403164775,0.6883436532507738,0.6913157894736843,0.6996474028207775,0.6504953560371517,0.6975335397316822,0.6678414172686619,0.6794375644994841,0.6655142758857929,0.6652218782249741,0.6276023391812865,0.6825283797729618,0.6456501547987616,0.6638493292053663,0.6829514963880289,0.7016099071207431,0.679578603371173,0.687672858617131,0.6789422084623323,0.6817113863089095,0.6743034055727554,0.6847162022703819,0.6866546267629859,0.6870725834193326,0.6968713450292398,0.6484709322325422,0.7033969728242173,0.6734468524251807,0.6789336085311317,0.6741830065359476,0.6789336085311317,0.6789336085311317,0.6789336085311317,0.6789336085311317,0.6984606123151014,0.6789336085311317,0.7031991744066046,0.6538820089439283,0.6333023735810114,0.6774337805297558
complete_SVM,,,0.6694547643618851,0.676173030615755,0.6791142070863432,0.6677003783969728,0.6769263845889234,0.6903749570003439,0.6875713794289646,0.6873546611627107,0.6499948400412797,0.6694547643618851,0.68781217750258,0.6952958376332988,0.6563605091159271,0.6829979360165119,0.6865944272445821,0.6579102167182663,0.6886842105263158,0.7002081183350534,0.703030615755074,0.6943137254901962,0.6841830065359477,0.6811179910560716,0.7056983144134847,0.702296181630547,0.6855383556931545,0.6871018231854145,0.690125558995528,0.6837839697282422,0.6860921912624699,0.6862727898176815,0.6916047471620228,0.6585018919848642,0.6551926384588923,0.6636085311317509,0.6933935328517372,0.691704506363949,0.7065135878912968,0.7132232542139663,0.7131957344341245,0.7009477124183008,0.6998624011007911,0.6852786377708979,0.6987100103199174,0.643859649122807,0.6914138286893706,0.7141468868249055,0.6988390092879257,0.7108169934640522,0.7001633986928105,0.7005882352941176,0.6989817681458548,0.7056260749914001,0.713405572755418,0.7150240798073615,0.7133883728930168,0.7018541451668387,0.7047437220502235,0.7134107327141384,0.6572136222910215,0.7075696594427245,0.6527313381492948,0.6896697626418988,0.6544668042655659,0.6544668042655659,0.6549570003439973,0.7009872721018232,0.6825094599243207,0.6728826969384245,0.6912280701754387,0.7072394220846233,0.697375300997592,0.7078637770897833,0.6955469556243551,0.6936291709666322,0.687624699002408,0.694545923632611,0.6964327485380116,0.7086618507051944,0.705875472996216,0.6615376676986584,0.7124114207086343,0.698219814241486,0.6884176126590988,0.6866064671482629,0.6884176126590988,0.6884176126590988,0.6884176126590988,0.6884176126590988,0.7044616443068455,0.6884176126590988,0.7241486068111455,0.6732903336773305,0.6489267285861713,0.684000687994496
complete_SVP,,,,0.6793618851049191,0.6872893016855864,0.6750034399724802,0.685982112143103,0.6953164774681803,0.6939869281045752,0.6914189886480908,0.6391331269349846,0.6793618851049191,0.6915909872721018,0.7046336429308566,0.6604265565875472,0.6905813553491573,0.6935878912968696,0.6651943584451325,0.6950894392844857,0.704607843137255,0.7065239078087375,0.7015961472308222,0.6923409012727898,0.6869418644650842,0.7141606467148263,0.7050859993120054,0.6896095631234951,0.691467148262814,0.6950722394220847,0.6884399724802202,0.6925094599243206,0.6900447196422428,0.6971431028551772,0.6654901960784313,0.6645837633298933,0.6764396284829721,0.6989146886824905,0.6975214998280015,0.713500171998624,0.7184416924664603,0.7207688338493291,0.7079342965256278,0.7068507051943584,0.6934313725490198,0.7048211214310285,0.6488080495356038,0.6989800481596148,0.7179067767457858,0.7114172686618506,0.7178035775713794,0.7150980392156863,0.7072875816993465,0.7142139662882697,0.7114430684554524,0.724889920880633,0.7217165462676298,0.7256501547987616,0.7091365669074647,0.7128998968008255,0.7277726178190574,0.6636136910904712,0.7189318885448917,0.6667251461988304,0.7010337117303062,0.6605744754041968,0.6605744754041969,0.6648555211558307,0.7105951152390781,0.6941606467148264,0.6836773305813555,0.701420708634331,0.7215393876848986,0.7055314757481941,0.7157172342621259,0.7042965256277949,0.7079360165118679,0.695500515995872,0.7103577571379429,0.714889920880633,0.7147626418988648,0.7125558995528036,0.6711627106983145,0.7202683178534571,0.7040333677330582,0.694828001375989,0.7003697970416237,0.694828001375989,0.694828001375989,0.694828001375989,0.694828001375989,0.7099862401100792,0.694828001375989,0.7323133814929481,0.6794031647746819,0.651793945648435,0.6886480908152735
complete_Logistic,,,,,0.6843618851049192,0.6779446164430685,0.6854076367389061,0.6970811833505332,0.6975163398692811,0.6987581699346406,0.6508840729274166,0.6843618851049192,0.6980512555899552,0.7087478500171999,0.6654265565875473,0.6955813553491572,0.6956604747162023,0.6655022359821121,0.697750257997936,0.7075490196078432,0.7115239078087375,0.703374613003096,0.6952958376332988,0.6907688338493292,0.7159253525971792,0.7068507051943584,0.6940213278293774,0.6958789129686963,0.69624871001032,0.6928517371861025,0.6939800481596148,0.7005813553491572,0.702437220502236,0.6704901960784314,0.6692260061919504,0.6814396284829721,0.7024441004471964,0.7007567939456484,0.7164413484692123,0.7251926384588924,0.7237100103199174,0.7138166494668042,0.7097918816649467,0.6749157206742347,0.7104093567251462,0.6538080495356037,0.6995820433436533,0.721436188510492,0.7172996216030272,0.7319797041623667,0.7203921568627452,0.7140385276917784,0.7198022015823874,0.7193704850361197,0.7292879256965944,0.7281871345029239,0.7297678018575852,0.7176522187822497,0.718782249742002,0.7403783969728244,0.6677313381492948,0.7221671826625388,0.6693825249398004,0.7066219470244237,0.6617612659098728,0.6635156518747851,0.6689731682146542,0.7164774681802546,0.7000567595459236,0.6851479188166495,0.7055383556931545,0.7262452700378397,0.6617217062263502,0.7172015823873409,0.7066494668042655,0.7073615411076711,0.6978534571723426,0.7141812865497077,0.7169487444100449,0.7191744066047472,0.7137461300309597,0.6726332989336086,0.7249742002063984,0.6663863089095288,0.6974750601995184,0.7056639146886827,0.6974750601995184,0.6974750601995184,0.6974750601995184,0.6974750601995184,0.7126332989336086,0.6974750601995184,0.7352545579635363,0.6852855177158583,0.6610216718266254,0.6942363261093911
complete_Ridge,,,,,,0.6638992088063296,0.6725404196766427,0.685390436876505,0.6849398004815962,0.6841382868937049,0.6450240798073615,0.6638992088063296,0.6840110079119366,0.6914946680426557,0.6576504987960098,0.6777347781217752,0.6708049535603715,0.6523546611627108,0.6860526315789474,0.69640694874441,0.701998624011008,0.68640522875817,0.6789198486412109,0.6755624355005161,0.7010199518403852,0.7008341933264534,0.6823151014791882,0.6850550395596835,0.6863243894048847,0.6796904024767803,0.6817062263501892,0.6818868249054006,0.686341589267286,0.6552855177158582,0.6490522875816993,0.6568833849329205,0.6901771585827313,0.6884881320949432,0.7041744066047471,0.7102992776057792,0.6920880632954935,0.6980237358101136,0.6966460268317853,0.6814774681802547,0.6952012383900928,0.6406432748538011,0.6884898520811834,0.7109305125558996,0.69328345373237,0.7058462332301342,0.6946078431372549,0.6953250773993809,0.6937186102511179,0.7000705194358445,0.7081424148606811,0.7020209838321294,0.7075404196766426,0.6968833849329206,0.6994805641554868,0.7072359821121431,0.651658066735466,0.7005521155830754,0.6471757825937393,0.6838218094255246,0.6489112487100104,0.6489112487100104,0.6491090471276231,0.6954317165462676,0.6766615067079463,0.6679119367045064,0.6862573099415205,0.701391468868249,0.6797798417612658,0.6911145510835913,0.6923305813553492,0.6886584107327142,0.6831699346405229,0.6897643618851049,0.6935087719298245,0.6963261093911248,0.7006123151014791,0.6565669074647402,0.7068558651530787,0.6952958376332989,0.6825696594427246,0.6804661162710699,0.6825696594427246,0.6825696594427246,0.6825696594427246,0.6825696594427246,0.69890608875129,0.6825696594427246,0.7180082559339525,0.6674423804609562,0.6424939800481596,0.6781527347781218
complete_EN,,,,,,,0.660013759889921,0.6751651186790506,0.6800120399036809,0.6789267285861713,0.6407481940144479,0.660013759889921,0.684107327141383,0.6909631922944617,0.6454626762985896,0.6840918472652219,0.6668094255245959,0.6365221878224975,0.6764929480564156,0.6985500515995873,0.6997110423116616,0.6895012039903682,0.678796009631923,0.6727726178190574,0.6917045063639492,0.6408995528035776,0.6844926040591676,0.6892758857929138,0.6876109391124872,0.680106639146887,0.6803164774681802,0.6736652906776747,0.6822875816993464,0.6636068111455109,0.6662590299277605,0.6574045407636738,0.6747093223254215,0.6783746130030959,0.6881303749570004,0.696296869625043,0.690139318885449,0.6866873065015481,0.6861833505331958,0.6674974200206399,0.6956897144822841,0.637748538011696,0.673357413140695,0.6978190574475404,0.6878998968008256,0.6971069831441349,0.6864963880288958,0.6849191606467148,0.693001375988992,0.688421052631579,0.7003543171654626,0.694170966632267,0.7022273821809426,0.6917268661850704,0.6937530099759203,0.7067096663226694,0.6451169590643275,0.6931217750257997,0.6432679738562092,0.6799294805641555,0.6379927760577916,0.6463071895424837,0.6428534571723427,0.69453216374269,0.6686876504987961,0.6520708634330925,0.6891296869625043,0.7042432060543515,0.6799398004815962,0.6965961472308222,0.6895046439628485,0.6906363949088407,0.688577571379429,0.6916511867905057,0.6927038183694529,0.6976934984520125,0.6884399724802202,0.6591021671826626,0.7075507395940832,0.6807636738906089,0.6856191950464396,0.6805761953904368,0.6856191950464396,0.6856191950464396,0.6856191950464396,0.6856191950464396,0.7057155142758859,0.6856191950464396,0.7188114895080838,0.6602356381148952,0.6525369797041624,0.6744358445132439
complete_ET,,,,,,,,0.6566167870657035,0.668876848985208,0.6661558307533539,0.6665703474372204,0.6566167870657035,0.6746783625730994,0.6733212934296525,0.6348864809081528,0.6808513931888546,0.666186790505676,0.6533883728930168,0.6675834193326453,0.6803319573443413,0.693641210870313,0.6889473684210525,0.6750275197798418,0.6745063639490885,0.6678947368421053,0.670593395252838,0.6932318541451667,0.6948262813897489,0.6980701754385965,0.6911506707946335,0.6805589955280358,0.6557688338493292,0.6752442380460957,0.6395201238390094,0.6538751289989679,0.6537254901960783,0.6734967320261438,0.637280701754386,0.684795321637427,0.690921912624699,0.6950240798073615,0.6801117991056072,0.6799828001375989,0.6557000343997248,0.6930856553147575,0.674920880632955,0.6638355693154454,0.6912280701754386,0.6764877880976952,0.6924011007911937,0.6772359821121431,0.6827124183006537,0.6843859649122808,0.6876934984520124,0.6940436876504987,0.6889336085311317,0.7015978672170623,0.687545579635363,0.6898589611283109,0.6967492260061919,0.6586171310629516,0.6953525971792225,0.6619762641898864,0.6762315101479188,0.660233918128655,0.6599415204678363,0.6177106983144135,0.6850550395596836,0.6427846577227382,0.6584950120399037,0.6851926384588923,0.6980684554523565,0.6692793257653937,0.6797729618163054,0.6695046439628483,0.6742604059167526,0.6642518059855521,0.6696921224630202,0.6730701754385965,0.6812108703130375,0.6854041967664258,0.6479016167870657,0.6954385964912282,0.663094255245958,0.6696439628482972,0.6672239422084624,0.6696439628482972,0.6696439628482972,0.6696439628482972,0.6696439628482972,0.6836824905400757,0.6696439628482972,0.6991124871001032,0.6316580667354661,0.6292174062607498,0.6681458548331614
complete_KNN,,,,,,,,,0.6476298589611283,0.6809012727898178,0.6779996560027521,0.6476298589611283,0.6789611283109734,0.6819951840385277,0.6487340901272789,0.6773030615755073,0.6610526315789473,0.6607223942208462,0.6658995528035775,0.6840436876504988,0.7017939456484349,0.672561059511524,0.6656140350877194,0.6698744410044719,0.6895029239766082,0.6907997936016511,0.6860509115927071,0.6841468868249054,0.6944272445820434,0.6833952528379774,0.6825369797041623,0.6627124183006536,0.6598675610595116,0.6357275541795666,0.6641434468524252,0.6405675954592364,0.6730306157550741,0.6613863089095287,0.6875610595115239,0.6769969040247678,0.6916769865841073,0.676702786377709,0.6675490196078432,0.6583625730994153,0.6795098039215686,0.6100670794633642,0.6638854489164085,0.6951599587203303,0.6790058479532164,0.6879050567595459,0.6906191950464396,0.6811764705882353,0.6838097695218439,0.6881355349157207,0.6951014791881664,0.6872858617131062,0.6813054695562435,0.68500171998624,0.6912899896800825,0.703532851737186,0.6394702442380461,0.6763639490884072,0.6609907120743033,0.6631578947368422,0.6595424836601307,0.6586652906776745,0.6248159614723082,0.6694994840041281,0.6265032679738562,0.6574165806673546,0.6741451668386652,0.68203130374957,0.664157206742346,0.6716443068455452,0.6770519435844513,0.6756415548675611,0.6703250773993809,0.6696164430684555,0.6674269005847954,0.6660560715514275,0.670593395252838,0.6368025455796353,0.6661627106983146,0.6644169246646027,0.6738957688338493,0.6679893360853113,0.6738957688338493,0.6738957688338493,0.6738957688338493,0.6738957688338493,0.6961661506707946,0.6738957688338493,0.7039611283109736,0.6510440316477468,0.6273168214654283,0.66062435500516
complete_XGB,,,,,,,,,,0.6366718266253869,0.6597884416924664,0.6366718266253869,0.6789456484348124,0.6822428620571035,0.639342965256278,0.6676109391124871,0.6583316133470931,0.6517354661162711,0.6519762641898865,0.6901341589267286,0.6944926040591677,0.6854987960096318,0.6588802889576882,0.6661334709322325,0.6806845545235637,0.6878637770897833,0.6869693842449262,0.6881303749570004,0.6927089783281735,0.6837530099759201,0.6900447196422428,0.6687048503611971,0.678233574131407,0.6399501203990368,0.6426212590299277,0.641642586859305,0.661891984864121,0.6523288613691091,0.6710216718266254,0.6680099759201926,0.6765789473684211,0.6689508083935329,0.6612091503267974,0.6503250773993808,0.6636515307877537,0.6027898176814586,0.6557705538355693,0.68343653250774,0.67218782249742,0.6921001031991744,0.6678912968696251,0.6662899896800825,0.6842414860681114,0.6679824561403509,0.7016425868593051,0.6807120743034055,0.679076367389061,0.667452700378397,0.667124183006536,0.7009236326109392,0.6314310285517716,0.6649862401100792,0.6577261781905746,0.6466116271069831,0.6562745098039215,0.6553973168214654,0.5938338493292054,0.6552597179222566,0.6458221534227727,0.6535620915032679,0.6560440316477468,0.6649157206742347,0.6651771585827313,0.6726264189886482,0.68249742002064,0.6668833849329205,0.6701186790505677,0.670798073615411,0.6739594083247334,0.6723219814241486,0.6818919848641211,0.6484778121775026,0.6699380804953561,0.6578758169934641,0.682953216374269,0.6738063295493636,0.682953216374269,0.682953216374269,0.682953216374269,0.682953216374269,0.7002304781561748,0.682953216374269,0.7076659786721706,0.6508926728586172,0.6420020639834881,0.6588820089439285
