,complete_SVC,complete_RFC,complete_SVM,complete_SVP,complete_Logistic,complete_Ridge,complete_EN,complete_ET,complete_KNN,complete_XGB,complete_Ada,complete_MLP1,RPPA_SVC,RPPA_RFC,RPPA_SVM,RPPA_SVP,RPPA_Logistic,RPPA_Ridge,RPPA_EN,RPPA_ET,RPPA_KNN,RPPA_XGB,RPPA_Ada,RPPA_MLP1,RNA_SVC,RNA_RFC,RNA_SVM,RNA_SVP,RNA_Logistic,RNA_Ridge,RNA_EN,RNA_ET,RNA_KNN,RNA_XGB,RNA_Ada,RNA_MLP1,MIRNA_SVC,MIRNA_RFC,MIRNA_SVM,MIRNA_SVP,MIRNA_Logistic,MIRNA_Ridge,MIRNA_EN,MIRNA_ET,MIRNA_KNN,MIRNA_XGB,MIRNA_Ada,MIRNA_MLP1,META_SVC,META_RFC,META_SVM,META_SVP,META_Logistic,META_Ridge,META_EN,META_ET,META_KNN,META_XGB,META_Ada,META_MLP1,DNA_SVC,DNA_RFC,DNA_SVM,DNA_SVP,DNA_Logistic,DNA_Ridge,DNA_EN,DNA_ET,DNA_KNN,DNA_XGB,DNA_Ada,DNA_MLP1,PATHWAYS_SVC,PATHWAYS_RFC,PATHWAYS_SVM,PATHWAYS_SVP,PATHWAYS_Logistic,PATHWAYS_Ridge,PATHWAYS_EN,PATHWAYS_ET,PATHWAYS_KNN,PATHWAYS_XGB,PATHWAYS_Ada,PATHWAYS_MLP1,TYPE_SVC,TYPE_RFC,TYPE_SVM,TYPE_SVP,TYPE_Logistic,TYPE_Ridge,TYPE_EN,TYPE_ET,TYPE_KNN,TYPE_XGB,TYPE_Ada,TYPE_MLP1
complete_SVC,0.6783549783549784,0.6942542306178671,0.6403679653679655,0.6710055096418732,0.6437131050767414,0.6414502164502165,0.6991440377804014,0.6955726092089728,0.7162436048799685,0.7075659189295552,0.7053719008264463,0.700206611570248,0.702754820936639,0.7114817001180638,0.7077823691460055,0.7169027941755215,0.6882624950806768,0.7053325462416371,0.6503541912632822,0.6625147579693034,0.6943624557260921,0.6622884691066508,0.7180735930735931,0.6955726092089729,0.6857339630066903,0.7119539551357732,0.6931326249508067,0.700875639512003,0.6913518299881936,0.6916174734356553,0.6878197560015742,0.6989374262101535,0.6560015741833924,0.6499606454151909,0.6737701692247147,0.6909189295552931,0.6808638331365604,0.6854289649744196,0.6423061786698151,0.6773809523809524,0.6487800078709169,0.7069067296340024,0.6505116096025187,0.6656139315230224,0.7010527351436442,0.6960645415190869,0.6922077922077922,0.6302144824872098,0.6614718614718614,0.7130657221566312,0.6484946871310507,0.6408992522628886,0.6927489177489177,0.6647776465958283,0.6637642660369932,0.6900728059818968,0.6925127902400628,0.6261216056670602,0.6929260133805588,0.7041519086973633,0.6939197166469893,0.6373179850452578,0.6646202282565918,0.6584415584415585,0.6601042896497443,0.6518496654860291,0.6369146005509642,0.6914305391578119,0.7021546635182998,0.6515446674537583,0.6889512003148367,0.6712809917355372,0.6719205037386857,0.7065328610783157,0.6875147579693035,0.6980814639905548,0.6509838646202283,0.7026761117670208,0.636629279811098,0.7166568280204644,0.695198740653286,0.7325757575757577,0.6575068870523416,0.700314836678473,0.7111275088547815,0.7197461629279811,0.7111275088547815,0.7111275088547815,0.6971763085399449,0.6971763085399449,0.70961235733963,0.7111275088547815,0.7046930342384887,0.7187622983077528,0.7108520267611176,0.7122687918142463
complete_RFC,,0.6686147186147186,0.6457300275482094,0.6704250295159386,0.6358520267611176,0.6448642266824085,0.6825462416371508,0.6878984651711925,0.6958874458874458,0.7021054702872884,0.6672963400236126,0.6852813852813854,0.7047225501770955,0.7115505706414798,0.7114915387642661,0.7031483667847305,0.6933687524596616,0.7069657615112159,0.685025580480126,0.6448445493900039,0.6928571428571428,0.6851042896497441,0.7121802439984257,0.6965761511216056,0.7001770956316411,0.717689885871704,0.6835301062573791,0.6889020070838253,0.6847894529712711,0.6828807556080283,0.683805588351043,0.684435261707989,0.6778827233372688,0.6838055883510428,0.6527941755214484,0.6863046044864227,0.6825659189295552,0.6809130263675719,0.6445887445887445,0.6623966942148761,0.6309720582447855,0.7038961038961038,0.6735930735930735,0.6497441951987406,0.6851633215269579,0.6545257772530501,0.6800865800865801,0.6289649744195198,0.6809523809523809,0.7141479732388823,0.6514954742227469,0.6284730421094057,0.693978748524203,0.6396103896103897,0.6830775285320739,0.6944116489571035,0.6786501377410469,0.6156828020464384,0.6786698150334514,0.7055489964580873,0.6829791420700511,0.6281975600157418,0.6532664305391578,0.648504525777253,0.655608028335301,0.6500196772924045,0.6273514364423456,0.6523022432113341,0.7025580480125935,0.6402203856749311,0.6817394726485635,0.6576347894529713,0.6766824085005904,0.6414994096812279,0.6898661944116489,0.6868949232585597,0.6290830381739474,0.642129083038174,0.6387052341597796,0.6951397087760725,0.6919716646989374,0.7132428177882723,0.6509838646202283,0.6487012987012987,0.712081857536403,0.7025580480125935,0.712081857536403,0.712081857536403,0.6926210153482881,0.6926210153482881,0.7090515545060999,0.712081857536403,0.6922274695001968,0.7035615899252263,0.7019086973632428,0.6968516332152696
complete_SVM,,,0.5976190476190476,0.5971074380165289,0.6024596615505706,0.5961038961038962,0.6294962613144431,0.6680342384887838,0.6608421881149154,0.6392070051160961,0.5863046044864226,0.6075855962219598,0.6458874458874458,0.6794470680834316,0.6646890987800078,0.6816214088941361,0.6323396300669029,0.6575954348681622,0.6271349862258953,0.6298898071625343,0.6466450216450216,0.6218221172766627,0.63314639905549,0.652469500196773,0.653896103896104,0.6567689885871705,0.6265840220385676,0.6622589531680441,0.6267611176702086,0.6153286107831561,0.6398760330578511,0.6403876426603698,0.6439492325855962,0.6246753246753247,0.5692050373868556,0.6270169224714679,0.622009051554506,0.6117276662731208,0.6205922865013774,0.6065722156631248,0.613055883510429,0.6363636363636364,0.6214580873671782,0.5917355371900825,0.6124852420306967,0.593732782369146,0.5768299881936246,0.6105863833136561,0.6212317985045258,0.6436343959071232,0.5779122392758758,0.5732290436835893,0.6130853994490357,0.5811097992916175,0.6072117276662731,0.615181031090122,0.6032959464777647,0.6113046044864227,0.5797619047619047,0.629073199527745,0.6033648170011807,0.5829299488390398,0.6100649350649352,0.5842286501377411,0.6119637937819756,0.563961038961039,0.5806670602125148,0.5939885871704054,0.6162927981109798,0.6120425029515938,0.5929653679653679,0.5668240850059033,0.6327922077922078,0.6086580086580087,0.6330381739472648,0.5750295159386068,0.6058736717827627,0.5764757969303425,0.6134002361275088,0.582939787485242,0.6521841794569067,0.6195789059425423,0.6054506099960646,0.6142266824085005,0.628896103896104,0.6392955529319165,0.628896103896104,0.628896103896104,0.6244195198740654,0.6244195198740654,0.6163419913419913,0.628896103896104,0.632487209759937,0.66086186540732,0.6436737504919323,0.651987406532861
complete_SVP,,,,0.6173160173160174,0.6077922077922079,0.6044667453758363,0.6332546241637151,0.6725206611570247,0.6689885871704053,0.6649645808736718,0.6070838252656434,0.632831562377017,0.6906139315230224,0.689344746162928,0.6732487209759938,0.6884691066509248,0.6519382133018496,0.6665682802046439,0.6364029909484457,0.6410665092483274,0.653099173553719,0.642306178669815,0.6519775678866587,0.6618949232585596,0.670857929948839,0.6691853600944511,0.6418929555293191,0.6409878000787093,0.6416371507280598,0.6384297520661157,0.6499508067689885,0.6744490358126721,0.6431424635970091,0.6422077922077921,0.5988587170405352,0.6467926013380557,0.6349173553719009,0.6323297914207006,0.6306867375049194,0.6047619047619047,0.6298602912239275,0.6434277843368752,0.6315525383707202,0.6086973632428178,0.6369441164895709,0.6040436835891381,0.5940672963400236,0.6282565918929556,0.6371113734750099,0.654319165682802,0.601151121605667,0.5971172766627312,0.6319756001574183,0.5894529712711531,0.6312377016922471,0.6481995277449822,0.641017316017316,0.63676702085793,0.6278925619834711,0.6400334513970878,0.6254820936639118,0.5824183392365211,0.6056572215663125,0.6004624163715073,0.6025777253049981,0.586176702085793,0.5859602518693428,0.5993801652892562,0.6363439590712318,0.6041715859897677,0.6304112554112555,0.6023219205037387,0.6442640692640692,0.620995670995671,0.6460251869342778,0.593349075167257,0.5867473435655253,0.5908992522628888,0.6349665486029122,0.5962022825659189,0.6659386068476978,0.6473632428177882,0.6254427390791027,0.6232388823297914,0.686038961038961,0.6807556080283353,0.686038961038961,0.686038961038961,0.6693034238488783,0.6693034238488783,0.6795454545454545,0.686038961038961,0.6448248720975994,0.6734159779614325,0.6814147973238883,0.6656237701692247
complete_Logistic,,,,,0.5978354978354978,0.6011609602518695,0.6347697756788666,0.6261806375442739,0.6609799291617474,0.6201003541912632,0.5856552538370721,0.6128394332939786,0.6442935852026761,0.677223534041716,0.6611275088547817,0.6767807949626132,0.6398170011806374,0.6544470680834318,0.6246753246753247,0.6278630460448642,0.6436147186147186,0.6204447068083432,0.63314639905549,0.650206611570248,0.6583038173947265,0.668968909878001,0.6249901613537977,0.6609602518693427,0.6289256198347107,0.6139512003148366,0.6418240850059032,0.6396202282565918,0.6404269972451792,0.6012987012987013,0.5702872884691067,0.6358913813459267,0.6184671389216844,0.6077134986225896,0.618349075167257,0.6051948051948053,0.6095139708776072,0.6354191263282173,0.6168339236521054,0.5965761511216057,0.6144332939787486,0.5927882723337269,0.5709071231798505,0.6085596221959858,0.6226092089728454,0.6404663518299881,0.5818870523415979,0.5756887052341598,0.6120031483667847,0.582624950806769,0.6059130263675717,0.6139216843762298,0.6024695001967728,0.607762691853601,0.5935360094451004,0.6288567493112948,0.600177095631641,0.5796044864226683,0.5747048406139316,0.5840121999212908,0.607556080283353,0.5615013774104683,0.5404073199527745,0.5597894529712713,0.6129279811097993,0.5907516725698543,0.6094155844155844,0.569637937819756,0.633008658008658,0.6060606060606061,0.6328217237308147,0.5701889020070838,0.5562278630460449,0.5707693821330185,0.6089925226288863,0.5832349468713105,0.6546831955922865,0.6239866194411648,0.607693821330185,0.6091696182605274,0.6306277056277055,0.6686343959071233,0.6306277056277055,0.6306277056277055,0.6261511216056671,0.6261511216056671,0.6185064935064934,0.6306277056277055,0.6342188114915388,0.6621605667060212,0.6437524596615505,0.6537190082644628
complete_Ridge,,,,,,0.5926406926406926,0.6247343565525384,0.6254722550177096,0.6578118850846122,0.642237308146399,0.6040535222353404,0.6149449035812673,0.6495670995670996,0.6772825659189297,0.6640397481306571,0.6807556080283352,0.6297422274695001,0.6571625344352616,0.6241046831955923,0.6309917355371901,0.6440476190476191,0.6114325068870523,0.6277351436442346,0.6520365997638725,0.6495670995670996,0.6632624950806769,0.6397874852420307,0.6648563557654467,0.6304407713498622,0.6170602125147581,0.6351141282959465,0.6315131837859111,0.6404860291223928,0.6214285714285713,0.5485635576544668,0.6289649744195198,0.6098878394332939,0.6024203069657615,0.6030598189689098,0.6028925619834711,0.6024498229043684,0.6324675324675325,0.609120425029516,0.5839433293978747,0.6059917355371901,0.5896202282565918,0.5857044470680834,0.5971664698937427,0.6192837465564739,0.6408205430932703,0.5763970877607241,0.5701987406532861,0.6115702479338843,0.578512396694215,0.6056965761511216,0.6138823297914208,0.6009149940968124,0.6091401023219205,0.5767316017316017,0.6275580480125934,0.6018496654860291,0.5584513970877607,0.6074675324675325,0.5807654466745376,0.6085005903187721,0.5879870129870131,0.57590515545061,0.5907418339236521,0.6100157418339236,0.6083628492719402,0.5862554112554113,0.5830578512396695,0.6306277056277055,0.5874458874458874,0.6282762691853601,0.569185360094451,0.6006788665879575,0.5554801259346714,0.5951790633608816,0.5762298307752853,0.650452577725305,0.6128689492325856,0.6043683589138135,0.6107634789452971,0.6297619047619047,0.638646202282566,0.6297619047619047,0.6297619047619047,0.6196576151121606,0.6196576151121606,0.6169913419913421,0.6297619047619047,0.6292404565131837,0.6582644628099172,0.613685556867375,0.6144628099173554
complete_EN,,,,,,,0.6450216450216449,0.6889708776072412,0.6793781975600157,0.672323888232979,0.6149153876426603,0.6616391184573003,0.7021645021645021,0.6965466351829989,0.6804112554112554,0.6956119637937821,0.6656139315230225,0.6778630460448642,0.6628886265249901,0.6682014954742227,0.6704151908697363,0.6630853994490359,0.6730125934671389,0.6727961432506887,0.7036009445100354,0.7074380165289256,0.6612357339630067,0.6650924832743014,0.6631444313262496,0.658421881149154,0.669116489571035,0.6894824872097599,0.6719303423848879,0.6634986225895317,0.6259937032664306,0.6628886265249901,0.6582939787485241,0.6520267611176702,0.6567394726485636,0.6329791420700512,0.6526662731208186,0.6761314443132624,0.6514659582841402,0.6304801259346714,0.6659484454939001,0.6637839433293978,0.6352912239275875,0.6540928768201495,0.6585399449035813,0.6881837859110587,0.6286402990948445,0.6062081857536403,0.6624950806768989,0.6141282959464778,0.6554801259346714,0.6730913026367571,0.6602026761117669,0.5980814639905548,0.653866587957497,0.6720680834317198,0.6531090121999213,0.6170503738685558,0.6029811097992916,0.627302243211334,0.6014167650531288,0.6038469106650924,0.5702971271153089,0.6029811097992915,0.6644037780401417,0.6099370326643053,0.6631739472648563,0.6152302243211334,0.6625442739079104,0.6428571428571429,0.6645415190869736,0.6204053522235341,0.611560409287682,0.6126426603699331,0.6556670602125146,0.6217434081070443,0.6779024006296732,0.6787485242030697,0.6510625737898466,0.6287878787878788,0.7048701298701299,0.6930932703659975,0.7048701298701299,0.7048701298701299,0.6820739866194412,0.6820739866194412,0.7024891774891774,0.7048701298701299,0.665702479338843,0.677961432506887,0.6959169618260528,0.6770956316410862
complete_ET,,,,,,,,0.6601731601731602,0.6864718614718616,0.6907811885084612,0.6492719401810312,0.6871015348288076,0.6963006690279417,0.7007969303423848,0.6957595434868161,0.7011216056670602,0.6845041322314049,0.6929358520267611,0.6779024006296733,0.6461235733963007,0.687534435261708,0.6736619441164896,0.6820051160960252,0.6909681227863046,0.6976584022038568,0.7089039748130657,0.6877016922471467,0.6881050767414404,0.6811786698150335,0.6853207398661944,0.6791223927587564,0.6880755608028335,0.6734356552538371,0.679043683589138,0.6626328217237308,0.6809622195985832,0.682733175914994,0.6836186540731994,0.6680243998425817,0.6544962613144432,0.6690082644628099,0.6983077528532075,0.6768004722550176,0.6445789059425422,0.6813951200314836,0.6384100747737111,0.6702872884691067,0.6638036206218024,0.6783549783549784,0.7124163715072805,0.6464679260133807,0.6213400236127509,0.6933589138134592,0.6288075560802833,0.6807260920897283,0.6897579693034238,0.6805489964580873,0.6800177095631641,0.6333234946871309,0.7042306178669815,0.6807162534435263,0.6235045257772531,0.6645021645021645,0.6452184179456906,0.6659090909090909,0.6456709956709956,0.6240850059031876,0.6744293585202676,0.6889708776072412,0.6396202282565919,0.6528433687524597,0.6715367965367965,0.6647186147186147,0.6251869342778434,0.681375442739079,0.6277548209366391,0.6226288862652498,0.6324281778827234,0.6385182998819363,0.6798602912239275,0.6991735537190082,0.6969598583234946,0.6417256985438803,0.6474419519874065,0.7097304210940574,0.700108225108225,0.7097304210940574,0.7097304210940574,0.6889315230224321,0.6889315230224321,0.7021546635182999,0.7097304210940574,0.6925324675324676,0.6910960251869342,0.6984553325462416,0.6878492719401811
complete_KNN,,,,,,,,,0.6393939393939394,0.6795651318378593,0.620405352223534,0.6709858323494686,0.7003541912632821,0.6979830775285321,0.6853109012199922,0.7062180243998426,0.6677784336875245,0.6740259740259741,0.6505509641873278,0.6549193231011412,0.6654368358913814,0.6681424635970091,0.6663813459268007,0.6725009838646202,0.719185360094451,0.7145021645021645,0.670543093270366,0.6737504919323101,0.6681227863046045,0.6694608421881149,0.6728945297127116,0.7049685163321527,0.6232093663911845,0.6634395907123181,0.6555686737504921,0.6740062967335694,0.6732093663911847,0.6719205037386855,0.6604191263282173,0.6482487209759936,0.6644332939787485,0.6727469500196773,0.6638232979142069,0.6238292011019284,0.6287780401416765,0.6397973238882331,0.633008658008658,0.6642266824085005,0.6604879968516333,0.6918634395907124,0.6590220385674932,0.6208480913026367,0.6686343959071233,0.6184573002754821,0.6590220385674931,0.6698051948051948,0.6638823297914207,0.6633510428964974,0.6403679653679653,0.6775580480125935,0.6762495080676898,0.6483569460842189,0.659120425029516,0.6265741833923653,0.6649153876426604,0.6552243211334121,0.6679948839039749,0.6679948839039749,0.6510625737898466,0.657378984651712,0.6044962613144431,0.6592483274301456,0.658392365210547,0.6504722550177096,0.674163715072806,0.6238685556867375,0.6542404565131837,0.6477469500196774,0.6576544667453759,0.6126131444313263,0.6820543093270366,0.6585005903187722,0.6189885871704053,0.6495670995670996,0.7154761904761905,0.6946084218811492,0.7154761904761905,0.7154761904761905,0.6987406532861078,0.6987406532861078,0.7074675324675324,0.7154761904761905,0.6689492325855961,0.6857536402990949,0.6961334120425029,0.6736324281778827
complete_XGB,,,,,,,,,,0.6487012987012987,0.6358323494687131,0.6811688311688312,0.7036009445100354,0.7062573789846518,0.6849468713105077,0.693801652892562,0.6688311688311689,0.679043683589138,0.66086186540732,0.6627312081857537,0.6748917748917749,0.6650039354584809,0.6831365604092877,0.6766725698543882,0.7113734750098386,0.7227764659582842,0.6689098780007872,0.672107438016529,0.6666961826052735,0.6667453758362849,0.6680342384887838,0.6967040535222353,0.6645120031483668,0.6601141282959464,0.6440377804014167,0.6703758362849273,0.6682802046438411,0.6717532467532468,0.6709661550570643,0.6606749311294766,0.674685163321527,0.6932703659976387,0.6688410074773711,0.6356454151908697,0.6419913419913421,0.6373573396300669,0.6372983077528532,0.6685064935064935,0.6691656828020464,0.6874163715072807,0.6344942935852027,0.6138331365604093,0.6757870916961826,0.6230027548209366,0.6628295946477765,0.6815623770169225,0.6691460055096419,0.6311688311688313,0.6240062967335696,0.6669519874065328,0.6746950019677292,0.6334120425029515,0.658077528532074,0.6290731995277449,0.6610684769775679,0.6530991735537189,0.6230125934671389,0.6638331365604093,0.6805883510428965,0.6631936245572609,0.644077134986226,0.6389512003148367,0.6783254624163715,0.6361078315623769,0.6764167650531286,0.6231503345139708,0.6583726879181425,0.6104191263282173,0.6609307359307358,0.6244490358126722,0.6775482093663912,0.670887445887446,0.6349567099567099,0.6569854388036206,0.724754033844943,0.702469500196773,0.724754033844943,0.724754033844943,0.6922373081463992,0.6922373081463992,0.7249704840613932,0.724754033844943,0.673642266824085,0.6814147973238882,0.7060802833530107,0.6827134986225897
