,complete_SVC,complete_RFC,complete_SVM,complete_SVP,complete_Logistic,complete_Ridge,complete_EN,complete_ET,complete_KNN,complete_XGB,complete_Ada,complete_MLP1,RPPA_SVC,RPPA_RFC,RPPA_SVM,RPPA_SVP,RPPA_Logistic,RPPA_Ridge,RPPA_EN,RPPA_ET,RPPA_KNN,RPPA_XGB,RPPA_Ada,RPPA_MLP1,RNA_SVC,RNA_RFC,RNA_SVM,RNA_SVP,RNA_Logistic,RNA_Ridge,RNA_EN,RNA_ET,RNA_KNN,RNA_XGB,RNA_Ada,RNA_MLP1,MIRNA_SVC,MIRNA_RFC,MIRNA_SVM,MIRNA_SVP,MIRNA_Logistic,MIRNA_Ridge,MIRNA_EN,MIRNA_ET,MIRNA_KNN,MIRNA_XGB,MIRNA_Ada,MIRNA_MLP1,META_SVC,META_RFC,META_SVM,META_SVP,META_Logistic,META_Ridge,META_EN,META_ET,META_KNN,META_XGB,META_Ada,META_MLP1,DNA_SVC,DNA_RFC,DNA_SVM,DNA_SVP,DNA_Logistic,DNA_Ridge,DNA_EN,DNA_ET,DNA_KNN,DNA_XGB,DNA_Ada,DNA_MLP1,PATHWAYS_SVC,PATHWAYS_RFC,PATHWAYS_SVM,PATHWAYS_SVP,PATHWAYS_Logistic,PATHWAYS_Ridge,PATHWAYS_EN,PATHWAYS_ET,PATHWAYS_KNN,PATHWAYS_XGB,PATHWAYS_Ada,PATHWAYS_MLP1,TYPE_SVC,TYPE_RFC,TYPE_SVM,TYPE_SVP,TYPE_Logistic,TYPE_Ridge,TYPE_EN,TYPE_ET,TYPE_KNN,TYPE_XGB,TYPE_Ada,TYPE_MLP1
complete_SVC,0.7575743707093822,0.7957322654462244,0.7932723112128148,0.7948855835240275,0.7873684210526316,0.7918993135011443,0.789141876430206,0.7785583524027461,0.7751716247139588,0.7978947368421052,0.807745995423341,0.7716361556064074,0.789588100686499,0.7894736842105263,0.7612700228832951,0.7896567505720824,0.7927574370709382,0.7841647597254005,0.7749427917620137,0.772745995423341,0.7619450800915332,0.772974828375286,0.7426315789473683,0.7810640732265446,0.765812356979405,0.7875629290617849,0.7944851258581236,0.7913958810068651,0.7909610983981694,0.7933409610983981,0.7944393592677346,0.8027459954233411,0.7806864988558353,0.7906521739130435,0.7953089244851259,0.7735697940503433,0.7610755148741419,0.778421052631579,0.7792906178489702,0.7929748283752861,0.7877345537757438,0.7789816933638445,0.8108009153318079,0.778604118993135,0.7733066361556065,0.7917162471395881,0.7826887871853547,0.7850686498855834,0.8064187643020595,0.8077231121281464,0.8193020594965674,0.8091189931350116,0.8106292906178488,0.8100343249427917,0.825537757437071,0.8053432494279177,0.7924370709382151,0.799141876430206,0.7947368421052632,0.810274599542334,0.7654347826086957,0.7727803203661328,0.7894736842105263,0.7575743707093822,0.8008695652173914,0.7935926773455376,0.8028375286041192,0.7882494279176202,0.7401945080091533,0.7829633867276888,0.7706521739130434,0.7818192219679634,0.7806521739130435,0.7896453089244851,0.789141876430206,0.7844736842105263,0.788329519450801,0.7871853546910756,0.7920823798627004,0.7976887871853547,0.810675057208238,0.7936727688787185,0.8087643020594966,0.7840961098398169,0.7478604118993134,0.76662471395881,0.7478604118993134,0.7478604118993134,0.7478604118993134,0.7478604118993134,0.7667276887871853,0.7478604118993134,0.7675171624713959,0.7478489702517163,0.7448398169336384,0.7706521739130434
complete_RFC,,0.7857093821510298,0.8068192219679634,0.8029977116704806,0.7998398169336385,0.8060869565217391,0.7979176201372998,0.7941990846681923,0.7941533180778032,0.8052059496567505,0.8089130434782609,0.7947025171624713,0.7956064073226545,0.7914416475972541,0.7651716247139588,0.8043821510297484,0.797745995423341,0.797437070938215,0.7810183066361557,0.7895881006864989,0.7716018306636155,0.7872540045766591,0.790766590389016,0.7925743707093822,0.7993935926773457,0.7882951945080091,0.8126086956521739,0.8064874141876432,0.8051830663615561,0.8136384439359269,0.8023569794050344,0.8059839816933639,0.8052059496567507,0.7987185354691075,0.8056636155606407,0.8008352402745997,0.7908237986270024,0.7951716247139589,0.8125972540045767,0.8146224256292907,0.8110183066361556,0.8130892448512587,0.8210183066361557,0.7962013729977118,0.8069908466819223,0.8116819221967961,0.7952745995423343,0.813329519450801,0.7999313501144165,0.8173569794050344,0.8236842105263158,0.80779176201373,0.8165446224256293,0.8087070938215103,0.8232151029748284,0.8123455377574371,0.8055606407322655,0.8100457665903891,0.8248169336384439,0.8118764302059496,0.7895995423340961,0.7929862700228834,0.8188787185354691,0.7857093821510298,0.8230320366132723,0.8229977116704804,0.8281693363844393,0.8019794050343249,0.7558237986270022,0.7979977116704806,0.7986613272311213,0.8024485125858124,0.7932723112128146,0.7961670480549199,0.8002517162471395,0.8094393592677346,0.796395881006865,0.7952517162471396,0.8014645308924486,0.8016018306636156,0.8235011441647597,0.803695652173913,0.8133180778032036,0.8063272311212815,0.7702860411899313,0.7947139588100687,0.7702860411899313,0.7702860411899313,0.7702860411899313,0.7702860411899313,0.7923913043478261,0.7702860411899313,0.8020938215102975,0.7721967963386728,0.7650915331807779,0.797883295194508
complete_SVM,,,0.7762356979405036,0.7916018306636157,0.7792562929061785,0.774633867276888,0.7910869565217391,0.7955263157894737,0.794508009153318,0.804141876430206,0.8057551487414187,0.7818192219679634,0.8094279176201373,0.8084439359267735,0.7610526315789474,0.8020594965675057,0.8085011441647598,0.8049542334096109,0.8037414187643022,0.798066361556064,0.7704347826086957,0.800858123569794,0.7901258581235698,0.8055034324942791,0.796933638443936,0.7975286041189932,0.7913729977116705,0.7891647597254006,0.7880778032036615,0.7902288329519451,0.7915560640732267,0.8092906178489703,0.8000114416475974,0.8035812356979406,0.7936384439359268,0.7837299771167048,0.7794050343249428,0.7941990846681922,0.7931006864988559,0.7939130434782611,0.7953203661327231,0.7952631578947369,0.8128947368421052,0.78558352402746,0.7932608695652175,0.7952860411899313,0.7902517162471396,0.7986270022883296,0.8088558352402746,0.8025514874141877,0.8254347826086956,0.8101487414187643,0.8111098398169336,0.8099427917620137,0.825537757437071,0.8173226544622427,0.8190732265446223,0.8147940503432494,0.8074828375286043,0.814725400457666,0.783878718535469,0.777437070938215,0.7951258581235698,0.7762356979405036,0.7985926773455378,0.799908466819222,0.809187643020595,0.7944508009153317,0.7661441647597254,0.7917162471395882,0.7894736842105263,0.7878832951945081,0.8018077803203661,0.8041304347826088,0.8102974828375287,0.8037871853546911,0.8053546910755148,0.8042105263157895,0.8047139588100686,0.8144965675057207,0.8191990846681921,0.8028375286041192,0.8220022883295194,0.8074828375286043,0.7811327231121281,0.7868993135011442,0.7811327231121281,0.7811327231121281,0.7811327231121281,0.7811327231121281,0.7823569794050342,0.7811327231121281,0.7955720823798627,0.7839016018306635,0.7766704805491991,0.7891418764302058
complete_SVP,,,,0.7862356979405034,0.7841990846681923,0.7906864988558354,0.7902974828375287,0.7975858123569793,0.7989816933638444,0.806659038901602,0.8124713958810069,0.7879061784897026,0.8058352402745996,0.8074599542334097,0.7636498855835241,0.8124942791762013,0.8155720823798628,0.8087643020594966,0.7988443935926772,0.7970823798627004,0.7659382151029749,0.8021395881006865,0.7942562929061785,0.809096109839817,0.7983180778032036,0.7968306636155607,0.798924485125858,0.7919221967963387,0.7910526315789473,0.7977803203661327,0.7923569794050345,0.8102288329519451,0.804279176201373,0.803466819221968,0.8025400457665904,0.7860526315789474,0.7904118993135012,0.7971281464530893,0.8036727688787186,0.8049427917620138,0.8074942791762014,0.8064988558352404,0.8228146453089245,0.7933752860411899,0.8085354691075516,0.8045537757437071,0.8052059496567505,0.8078032036613273,0.8087528604118994,0.8216018306636157,0.8279405034324941,0.819508009153318,0.821659038901602,0.818203661327231,0.828237986270023,0.8156979405034326,0.8157322654462243,0.8151487414187646,0.816533180778032,0.8186155606407322,0.7932265446224257,0.7711899313501144,0.810537757437071,0.7862356979405034,0.8157551487414187,0.8150915331807781,0.8195766590389016,0.8077231121281464,0.7665560640732266,0.8000000000000002,0.8056407322654463,0.7676887871853547,0.8048169336384439,0.8057437070938214,0.8137414187643021,0.8137986270022882,0.8083638443935927,0.8072196796338673,0.8118535469107553,0.8140274599542334,0.8323798627002288,0.8122997711670481,0.8205835240274599,0.8144164759725401,0.7752173913043477,0.7929405034324943,0.7752173913043477,0.7752173913043477,0.7752173913043477,0.7752173913043477,0.7899084668192219,0.7752173913043477,0.8009496567505721,0.7886155606407322,0.7709610983981693,0.7949656750572082
complete_Logistic,,,,,0.77162471395881,0.7776544622425628,0.7834439359267735,0.7900572082379863,0.7905606407322654,0.8030205949656752,0.8072425629290618,0.7737299771167049,0.8029061784897026,0.8007894736842106,0.7801487414187643,0.797883295194508,0.8047482837528606,0.7998855835240276,0.7945537757437071,0.7912700228832952,0.7584553775743708,0.792116704805492,0.78220823798627,0.800446224256293,0.7910297482837529,0.7922883295194507,0.7896109839816934,0.7837070938215104,0.7828375286041191,0.7884668192219679,0.7841418764302059,0.803604118993135,0.795629290617849,0.7961784897025173,0.7966247139588101,0.7780549199084669,0.7806521739130435,0.7878260869565218,0.7934668192219679,0.7940617848970252,0.7954462242562929,0.7951716247139589,0.8130320366132724,0.7833638443935926,0.7915903890160183,0.7943478260869565,0.7892906178489703,0.7950800915331808,0.804233409610984,0.8007551487414188,0.8234210526315788,0.8074485125858123,0.8090961098398168,0.8070366132723112,0.8252974828375287,0.8109725400457666,0.810091533180778,0.810183066361556,0.8028375286041189,0.8122654462242563,0.7783981693363844,0.7593821510297483,0.794141876430206,0.77162471395881,0.8000228832951946,0.7989244851258581,0.8034096109839817,0.7917505720823798,0.7673684210526316,0.7877345537757439,0.7860755148741418,0.7858695652173914,0.7952402745995423,0.7977574370709382,0.8023340961098396,0.8013157894736841,0.7990045766590389,0.7978604118993136,0.7990274599542333,0.8083638443935927,0.8174027459954234,0.8025171624713959,0.8147368421052631,0.801121281464531,0.7730434782608695,0.7785812356979405,0.7730434782608695,0.7730434782608695,0.7730434782608695,0.7730434782608695,0.7766704805491991,0.7730434782608695,0.786121281464531,0.7753890160183066,0.7563844393592677,0.7810526315789473
complete_Ridge,,,,,,0.7666247139588102,0.7892562929061785,0.7943821510297482,0.79116704805492,0.8011212814645308,0.7972883295194508,0.7751830663615561,0.8091762013729978,0.8061556064073226,0.7799771167048055,0.7972540045766591,0.8039244851258582,0.7923226544622426,0.8009954233409611,0.7955491990846681,0.7647139588100688,0.7985697940503431,0.7866933638443936,0.8009267734553778,0.7959954233409612,0.7954691075514875,0.7854233409610984,0.7855034324942792,0.7864759725400459,0.7822196796338673,0.7903890160183067,0.8081464530892448,0.7958924485125858,0.7996910755148742,0.7847139588100686,0.7812585812356979,0.7718535469107551,0.7866475972540046,0.7887528604118994,0.7877345537757438,0.786395881006865,0.7904576659038902,0.8051144164759727,0.7784897025171624,0.7838787185354692,0.7875057208237985,0.7794965675057208,0.7897025171624714,0.8017620137299772,0.7998054919908467,0.812254004576659,0.8016819221967963,0.8042448512585813,0.801933638443936,0.8202288329519452,0.8143478260869565,0.8117505720823799,0.807700228832952,0.7992448512585814,0.8069450800915332,0.775183066361556,0.7689702517162471,0.7884897025171625,0.7666247139588102,0.787837528604119,0.7930434782608696,0.8030091533180779,0.7859839816933638,0.749324942791762,0.7818764302059498,0.7803203661327232,0.7782723112128147,0.7992906178489703,0.8011556064073228,0.8070938215102975,0.798295194508009,0.7991533180778033,0.798009153318078,0.8026544622425631,0.8091418764302059,0.8157665903890161,0.7987185354691076,0.8181121281464531,0.8013043478260871,0.7717505720823798,0.7777459954233409,0.7717505720823798,0.7717505720823798,0.7717505720823798,0.7717505720823798,0.772974828375286,0.7717505720823798,0.785274599542334,0.7745194508009152,0.7668306636155606,0.7802173913043478
complete_EN,,,,,,,0.77662471395881,0.785858123569794,0.7932265446224257,0.8013729977116706,0.8122654462242563,0.7806178489702518,0.7969565217391306,0.7972425629290618,0.760812356979405,0.802254004576659,0.8051258581235698,0.7941762013729977,0.7872997711670481,0.7902173913043478,0.7720366132723112,0.787116704805492,0.7826544622425631,0.7945194508009154,0.7925743707093822,0.7887986270022883,0.7970823798627003,0.7916247139588101,0.7886956521739131,0.7968306636155607,0.7858695652173914,0.8012356979405034,0.8031121281464533,0.7945194508009154,0.8010068649885584,0.7834782608695653,0.7806864988558352,0.7897940503432495,0.7947597254004577,0.800629290617849,0.7978947368421052,0.7971281464530893,0.814816933638444,0.790629290617849,0.7956521739130434,0.7967734553775744,0.7881464530892449,0.7975514874141876,0.8022311212814646,0.8148627002288331,0.8234782608695653,0.8113729977116705,0.8090617848970252,0.8096567505720824,0.8255377574370708,0.8087299771167048,0.8127803203661328,0.8119908466819222,0.8124485125858124,0.8059267734553774,0.784862700228833,0.7804576659038902,0.8009839816933638,0.77662471395881,0.8041533180778032,0.8053089244851259,0.8079862700228834,0.7944736842105264,0.7438787185354692,0.7892906178489703,0.7887528604118993,0.7570137299771168,0.7914073226544623,0.7966819221967965,0.8004691075514874,0.7982837528604119,0.795400457665904,0.7942562929061785,0.7991189931350114,0.8069107551487414,0.8198398169336384,0.7983981693363844,0.8083295194508009,0.8012242562929061,0.7632265446224256,0.7820480549199085,0.7632265446224256,0.7632265446224256,0.7632265446224256,0.7632265446224256,0.781395881006865,0.7632265446224256,0.7891304347826086,0.7651029748283753,0.7624256292906177,0.7843020594965675
complete_ET,,,,,,,,0.7663615560640732,0.7900800915331807,0.7975629290617849,0.8120938215102974,0.78,0.7913272311212816,0.7866475972540046,0.7700343249427918,0.7962356979405035,0.7912700228832953,0.7866018306636157,0.7784096109839818,0.7767505720823799,0.767700228832952,0.7800800915331808,0.7687757437070939,0.7867848970251716,0.787025171624714,0.785537757437071,0.8026201372997711,0.7962814645308925,0.7933524027459955,0.8017276887871854,0.7929176201372999,0.7943478260869565,0.7952860411899314,0.7873798627002289,0.7938100686498856,0.7833524027459955,0.7738558352402746,0.7800572082379864,0.7892219679633867,0.7974027459954233,0.7925972540045768,0.7881807780320366,0.8094050343249428,0.7862013729977118,0.7787643020594965,0.7918077803203663,0.7851601830663616,0.7956636155606407,0.801350114416476,0.7987643020594966,0.8211670480549198,0.8039588100686499,0.8080434782608694,0.804508009153318,0.8237070938215103,0.8004233409610982,0.8071052631578948,0.8107665903890162,0.8121853546910757,0.8065102974828375,0.7715102974828374,0.7765446224256293,0.7989588100686498,0.7663615560640732,0.800629290617849,0.8028375286041189,0.8061899313501145,0.7835926773455377,0.727116704805492,0.7836270022883296,0.7736041189931351,0.7839816933638444,0.7867505720823799,0.7898855835240275,0.7974256292906179,0.7901487414187642,0.7909725400457667,0.7900572082379863,0.7929862700228834,0.8000915331807781,0.816613272311213,0.7941189931350114,0.8073798627002289,0.7898283752860411,0.7725972540045767,0.77837528604119,0.7725972540045767,0.7725972540045767,0.7725972540045767,0.7725972540045767,0.7751372997711671,0.7725972540045767,0.7816018306636157,0.7753890160183067,0.7711212814645308,0.7815217391304348
complete_KNN,,,,,,,,,0.7420480549199086,0.8021510297482838,0.8068192219679634,0.7707551487414188,0.7918993135011443,0.7914073226544623,0.7591189931350115,0.7817848970251716,0.7913157894736843,0.7885812356979406,0.7740732265446225,0.7761556064073227,0.7491075514874141,0.7796681922196796,0.7671624713958811,0.7852402745995424,0.7767734553775744,0.7842906178489703,0.7969336384439359,0.8003775743707093,0.7997254004576659,0.7960183066361555,0.7964645308924485,0.812425629290618,0.758329519450801,0.7804233409610984,0.7954691075514875,0.7810297482837528,0.7574828375286041,0.7777345537757437,0.7821967963386728,0.7881807780320367,0.7848398169336385,0.7809725400457666,0.8101830663615562,0.7740732265446224,0.7171510297482838,0.7933981693363845,0.7707437070938215,0.7794965675057208,0.7944622425629292,0.779141876430206,0.8083638443935925,0.7882723112128147,0.7995194508009152,0.7933180778032037,0.8164530892448513,0.7967848970251715,0.7838787185354692,0.7877116704805492,0.7821281464530893,0.798558352402746,0.7510755148741419,0.7673455377574372,0.7734096109839818,0.7420480549199086,0.7872425629290618,0.7786498855835239,0.7885697940503433,0.7727231121281465,0.7254691075514874,0.7770823798627002,0.7563157894736842,0.7692448512585813,0.7790961098398169,0.7840961098398169,0.7925171624713959,0.7716361556064073,0.7894736842105263,0.7876430205949656,0.7894736842105263,0.7883638443935927,0.8080320366132723,0.7844279176201373,0.7937757437070937,0.7890732265446225,0.7574713958810069,0.7641762013729978,0.7574713958810069,0.7574713958810069,0.7574713958810069,0.7574713958810069,0.7628146453089245,0.7574713958810069,0.7693821510297483,0.7480434782608696,0.7496224256292906,0.7679977116704806
complete_XGB,,,,,,,,,,0.7813615560640732,0.8074370709382152,0.7915446224256293,0.7963844393592678,0.7971967963386728,0.7683180778032036,0.8064187643020595,0.7934439359267735,0.7998741418764302,0.7898512585812357,0.7894050343249428,0.767070938215103,0.7958695652173913,0.7724828375286041,0.7909954233409612,0.8065446224256293,0.7941189931350114,0.812745995423341,0.8047940503432495,0.8068535469107552,0.80954233409611,0.8053318077803203,0.8133409610983982,0.8073226544622425,0.7898283752860411,0.8013729977116706,0.8020709382151031,0.7932837528604119,0.8069908466819223,0.8085469107551487,0.8147597254004577,0.8092105263157896,0.8100000000000002,0.8258695652173913,0.7986384439359268,0.7721510297482839,0.8018306636155608,0.7977116704805491,0.8083638443935927,0.8026544622425631,0.8004576659038902,0.8196681922196796,0.813558352402746,0.8140503432494279,0.811441647597254,0.8248512585812356,0.8113386727688787,0.8056521739130436,0.8146681922196797,0.8248741418764303,0.817608695652174,0.7873112128146453,0.7672883295194508,0.8057665903890159,0.7813615560640732,0.8109954233409612,0.8105491990846684,0.8155720823798628,0.7940045766590389,0.7547368421052632,0.8011670480549199,0.7891762013729977,0.7633066361556065,0.8059610983981693,0.8029290617848972,0.8091418764302061,0.8048054919908466,0.8043020594965675,0.8083752860411899,0.8082494279176202,0.8087528604118994,0.8159839816933638,0.8087185354691077,0.8225514874141877,0.8034897025171623,0.7898970251716247,0.7958810068649885,0.7898970251716247,0.7898970251716247,0.7898970251716247,0.7898970251716247,0.7891876430205951,0.7898970251716247,0.8046567505720825,0.7963729977116705,0.7890732265446224,0.7983638443935928
