,complete_SVC,complete_RFC,complete_SVM,complete_SVP,complete_Logistic,complete_Ridge,complete_EN,complete_ET,complete_KNN,complete_XGB,complete_Ada,complete_MLP1,RPPA_SVC,RPPA_RFC,RPPA_SVM,RPPA_SVP,RPPA_Logistic,RPPA_Ridge,RPPA_EN,RPPA_ET,RPPA_KNN,RPPA_XGB,RPPA_Ada,RPPA_MLP1,RNA_SVC,RNA_RFC,RNA_SVM,RNA_SVP,RNA_Logistic,RNA_Ridge,RNA_EN,RNA_ET,RNA_KNN,RNA_XGB,RNA_Ada,RNA_MLP1,MIRNA_SVC,MIRNA_RFC,MIRNA_SVM,MIRNA_SVP,MIRNA_Logistic,MIRNA_Ridge,MIRNA_EN,MIRNA_ET,MIRNA_KNN,MIRNA_XGB,MIRNA_Ada,MIRNA_MLP1,META_SVC,META_RFC,META_SVM,META_SVP,META_Logistic,META_Ridge,META_EN,META_ET,META_KNN,META_XGB,META_Ada,META_MLP1,DNA_SVC,DNA_RFC,DNA_SVM,DNA_SVP,DNA_Logistic,DNA_Ridge,DNA_EN,DNA_ET,DNA_KNN,DNA_XGB,DNA_Ada,DNA_MLP1,PATHWAYS_SVC,PATHWAYS_RFC,PATHWAYS_SVM,PATHWAYS_SVP,PATHWAYS_Logistic,PATHWAYS_Ridge,PATHWAYS_EN,PATHWAYS_ET,PATHWAYS_KNN,PATHWAYS_XGB,PATHWAYS_Ada,PATHWAYS_MLP1,TYPE_SVC,TYPE_RFC,TYPE_SVM,TYPE_SVP,TYPE_Logistic,TYPE_Ridge,TYPE_EN,TYPE_ET,TYPE_KNN,TYPE_XGB,TYPE_Ada,TYPE_MLP1
complete_SVC,0.6451420217209691,0.6471901977165135,0.6862935115566694,0.66296992481203,0.6670523531049847,0.6772960178223336,0.6610776942355889,0.6863394597605125,0.7059133945976053,0.648292954608744,0.6763338902812588,0.6636605402394876,0.6743664717348927,0.6871052631578947,0.6554970760233918,0.6713352826510721,0.6623252575884155,0.6704608744082428,0.6689849624060151,0.6812238930659983,0.6650974658869396,0.6605875800612643,0.6891938178780285,0.6632832080200501,0.6499429128376496,0.6569061542745753,0.699110275689223,0.6835213032581453,0.6896365914786967,0.6857797270955166,0.6890462266778057,0.648876357560568,0.6667126148705096,0.6515497076023392,0.67276246170983,0.6451420217209691,0.6724463937621832,0.6826051239209133,0.6366945140629352,0.6325160122528544,0.6227053745474798,0.6437273739905318,0.6246644388749651,0.626166805903648,0.6018434976329713,0.6722041214146477,0.6690183792815372,0.6204539125591757,0.6674269005847953,0.6584154831523252,0.6897117794486216,0.6950320245057087,0.6805012531328322,0.6893790030632136,0.6184544695071011,0.6747869674185464,0.676714007240323,0.6746435533277639,0.636796157059315,0.6809106098579784,0.6529156223893066,0.6630214424951267,0.616311612364244,0.6780548593706488,0.6155277081592871,0.6044695071010862,0.6171748816485658,0.6652018936229462,0.6601796157059315,0.6181592871066555,0.6134976329713171,0.6122793093845725,0.6096115288220552,0.6740768588137008,0.6613004734057365,0.6037009189640768,0.610962127541075,0.6175563909774436,0.6153773322194374,0.6741283764967976,0.609337231968811,0.6185756056808689,0.6312935115566695,0.6145474798106377,0.6239404065719855,0.6205054302422723,0.6532985240879977,0.6532985240879977,0.6239404065719855,0.6316123642439433,0.6027930938457254,0.6538248398774715,0.6295029239766082,0.6517000835421888,0.6249930381509328,0.6155597326649959
complete_RFC,,0.6059482038429407,0.6662614870509607,0.6359287106655528,0.6480451127819549,0.6564731272626009,0.6433667502088556,0.6838819270398219,0.6873962684488999,0.6234238373712058,0.6585658590921748,0.6294931773879142,0.665332776385408,0.6815719855193538,0.6377276524644946,0.6352756892230577,0.621687552213868,0.6437190197716512,0.6279016986911724,0.6820050125313284,0.6353717627401838,0.6242731829573934,0.6655068226120858,0.6267891952102479,0.6449220272904483,0.6407588415483152,0.6710623781676415,0.6602227791701476,0.6671150097465888,0.6617905875800613,0.674146477304372,0.6242536897800056,0.6219256474519633,0.6283876357560569,0.6260609857978279,0.6059482038429407,0.633428014480646,0.6363018657755499,0.5976636034530771,0.584828738512949,0.5741158451684767,0.6167167919799499,0.599683932052353,0.5795265942634364,0.5532442216652742,0.6263116123642438,0.6308827624617098,0.5803174603174603,0.6406335282651072,0.6318936229462546,0.6393790030632136,0.6802631578947369,0.6341158451684767,0.6367112225006961,0.643150932887775,0.6441436925647451,0.6389306599832915,0.647446393762183,0.5724380395433026,0.6404636591478697,0.6346783625730994,0.6136842105263158,0.572827903091061,0.6417293233082706,0.5744681147312727,0.5762489557226399,0.6137816764132553,0.6377220829852408,0.6231662489557227,0.5905485937064885,0.5920231133389028,0.5642202729044834,0.5665218602060706,0.627910052910053,0.6403021442495126,0.5626733500417711,0.6310247841826789,0.620504037872459,0.5781453634085213,0.627943469785575,0.5683695349484823,0.5835059871901978,0.5756697298802561,0.572172096908939,0.6359495962127542,0.6320203285992759,0.6330548593706488,0.6330548593706488,0.6359495962127542,0.6256321358952937,0.6237942077415761,0.6338443330548593,0.6269660261765525,0.6335338345864662,0.6314759120022277,0.6211584516847675
complete_SVM,,,0.660438596491228,0.6432985240879977,0.6573558897243108,0.6562057922584238,0.6602756892230577,0.7094722918407128,0.7049916457811195,0.6642522974101921,0.6960219994430521,0.6744597605123921,0.6907852965747703,0.7006335282651073,0.6892272347535506,0.6790921748816485,0.6392871066555277,0.6920871623503202,0.6732943469785575,0.6953759398496242,0.688767752715121,0.6720523531049847,0.7045196324143692,0.6430771372876636,0.6859078251183515,0.6841979949874687,0.6793038150932887,0.6739209133945976,0.6743093845725424,0.6712865497076025,0.6832024505708716,0.6715761626287942,0.64124895572264,0.6706390977443609,0.6723001949317738,0.660438596491228,0.665019493177388,0.6960999721526038,0.6553870788081314,0.6344054580896686,0.6420815928710665,0.658833194096352,0.637128933444723,0.6496964633806739,0.6089069896964634,0.6740490114174325,0.6877206906154274,0.6397006404901141,0.6771623503202451,0.6781189083820662,0.6971331105541633,0.7108563074352549,0.6900375939849624,0.699182678919521,0.6301127819548872,0.6840323029796714,0.697010582010582,0.6883945976051239,0.6720412141464773,0.6958744082428293,0.693572820941242,0.6748635477582845,0.6341255917571706,0.6879030910609858,0.6274087997772207,0.6238624338624339,0.6438415483152325,0.6809022556390978,0.6839264828738513,0.644621275410749,0.627808409913673,0.6298635477582846,0.6242857142857143,0.6841673628515734,0.6733347257031468,0.6207365636313005,0.6853272069061542,0.6838109161793373,0.6318838763575606,0.6834683932052353,0.6237120579225842,0.6378125870231134,0.6522584238373712,0.6272277917014758,0.6851782233361181,0.6857115009746588,0.6864940128098022,0.6864940128098022,0.6851782233361181,0.6809454191033139,0.6747173489278753,0.6867571707045391,0.6780576441102758,0.6859468114731273,0.6872834864940127,0.6769980506822613
complete_SVP,,,,0.6353592314118629,0.6433695349484823,0.6506307435254804,0.6444402673350041,0.6941701475912001,0.6940072403230299,0.64208298524088,0.6661069340016709,0.6525549986076301,0.6696630465051518,0.6804789752158173,0.6408089668615985,0.6553369534948483,0.6181397939292677,0.6491952102478418,0.6440197716513506,0.6787204121414648,0.6610623781676412,0.6514466722361458,0.6731230854915066,0.64838485101643,0.6601893622946254,0.6538680033416876,0.6678961292119187,0.660164299637984,0.6615803397382345,0.6607198551935395,0.6568504594820386,0.6362503480924533,0.6395460874408243,0.6526900584795321,0.6498663324979115,0.6353592314118629,0.6507421331105542,0.6691743247006405,0.6045098858256753,0.6061751601225286,0.6222723475355055,0.625325814536341,0.6255068226120859,0.6169688109161793,0.5803940406571986,0.6547702589807853,0.6571038707880813,0.6098913951545532,0.6586744639376219,0.6530492898913952,0.6557490949596213,0.6771219715956558,0.6654873294346979,0.6751615148983571,0.6105541631857421,0.6655346700083542,0.6590448343079923,0.6704302422723476,0.6303717627401837,0.6686995265942635,0.656945140629351,0.6529601782233361,0.612218045112782,0.6651949317738792,0.6055012531328321,0.6044611528822055,0.6227234753550543,0.6587315510999722,0.6501517683096631,0.6208688387635757,0.6043121693121692,0.602933723196881,0.59552074631022,0.6527708159287107,0.6535324422166526,0.5980409356725146,0.6455277081592871,0.6463812308549151,0.5897145641882483,0.6525884154831523,0.5967947646895014,0.6042425508214981,0.6085059871901978,0.6076900584795321,0.6559120022277918,0.6414411027568923,0.6448593706488444,0.6448593706488444,0.6559120022277918,0.6500918964076858,0.6449220272904483,0.6453856864383181,0.6490545808966861,0.6561459203564467,0.6432804232804233,0.6458813700918964
complete_Logistic,,,,,0.6401503759398496,0.6523294346978556,0.6452255639097745,0.691750208855472,0.7022960178223336,0.6460735171261487,0.6725912002227792,0.6554942912837649,0.6764661654135338,0.6875494291283765,0.657639933166249,0.6590824282929545,0.6221498189919242,0.6570022277917016,0.6469353940406573,0.6821177944862156,0.6668755221386801,0.6562642717905876,0.6842439431913115,0.6249011417432471,0.6626970203285992,0.6585881370091896,0.6719326093010303,0.6639501531606795,0.6656168198273462,0.665019493177388,0.6689014202172098,0.6528223336118073,0.6570885547201336,0.6560609857978279,0.6529922027290448,0.6401503759398496,0.6505485937064884,0.6750821498189918,0.6311500974658869,0.617584238373712,0.6181481481481482,0.6541576162628794,0.6218518518518519,0.6214940128098023,0.5909342801448064,0.6579142300194933,0.6655499860763019,0.614696463380674,0.6657490949596212,0.6602018936229463,0.66447925368978,0.684703425229741,0.6723809523809525,0.6818031189083821,0.6169298245614034,0.6719033695349484,0.6764605959342801,0.6720690615427458,0.6493664717348928,0.6792592592592592,0.6743302701197438,0.6556585909217487,0.6123155109997216,0.6658354218880534,0.6063631300473405,0.6065636313004734,0.6230590364800891,0.6611821219715956,0.6616917293233083,0.6258799777220829,0.6078223336118073,0.607943469785575,0.6042606516290726,0.6641283764967976,0.6578014480646059,0.5968824839877472,0.6492300194931774,0.6648440545808967,0.6123642439431913,0.6602826510721247,0.6044917850181009,0.6195934280144806,0.6164884433305486,0.6079852408799777,0.665151768309663,0.6656836535783903,0.6664675577833472,0.6664675577833472,0.665151768309663,0.6598607630186577,0.6512559175717071,0.6667307156780841,0.6567126148705096,0.665653021442495,0.6672570314675578,0.655913394597605
complete_Ridge,,,,,,0.6501211361737677,0.6544555834029518,0.7060331384015593,0.702179058758006,0.6560512392091339,0.6790267335004178,0.6665232525758842,0.6820579225842384,0.6931425786688944,0.6657602339181287,0.6708911166805903,0.6263241436925647,0.6836215538847117,0.6656223893065999,0.6861166805903649,0.6800375939849623,0.6619994430520746,0.6944667223614592,0.6303787245892509,0.6732261208576997,0.6696755778334725,0.675279866332498,0.6657226399331663,0.6666374269005848,0.665730994152047,0.6792341966026176,0.662316903369535,0.6640420495683653,0.6634962406015038,0.6646282372598162,0.6501211361737677,0.6565538847117794,0.6855179615705932,0.6437468671679196,0.624881648565859,0.6333514341409078,0.6474575327206906,0.6254887218045113,0.6364689501531607,0.5967376775271512,0.6647897521581732,0.676345029239766,0.6304413812308549,0.6686967418546367,0.6691241993873571,0.6884029518240046,0.6934405458089669,0.6802492341966027,0.690187969924812,0.6187371205792258,0.6750375939849624,0.6880158730158732,0.6799289891395154,0.6596073517126149,0.6871442495126706,0.6861654135338346,0.6674561403508771,0.6256599832915624,0.678114731272626,0.6189431913116124,0.6153968253968254,0.635375939849624,0.6729657477025899,0.6722862712336397,0.6358911166805903,0.6301225285435812,0.6179587858535227,0.6137037037037036,0.6738499025341131,0.6651336675020886,0.6122709551656921,0.6566026176552493,0.6758744082428294,0.6242119186856028,0.6715636313004735,0.6136591478696742,0.6240782511835143,0.6156418824839879,0.6192912837649679,0.6777708159287107,0.6777749930381509,0.679086605402395,0.679086605402395,0.6777708159287107,0.6724798106377055,0.6670453912559176,0.6793497632971317,0.6706502367028684,0.6777457532720691,0.6798760790866053,0.6685324422166528
complete_EN,,,,,,,0.630438596491228,0.6847994987468672,0.7094681147312727,0.6399039264828738,0.6712266778056252,0.6444597605123921,0.6679281537176275,0.6855583402951824,0.6416833751044277,0.64083402951824,0.6155653021442495,0.6505959342801448,0.640662768031189,0.6832706766917294,0.6610985797827903,0.6459621275410748,0.6745822890559733,0.6420983013088277,0.6548858256752993,0.6539473684210526,0.6778794207741576,0.6685686438318017,0.6713004734057366,0.670339738234475,0.6696351991088834,0.6397841826789195,0.6570885547201336,0.6440977443609023,0.6535783904204957,0.630438596491228,0.6451072124756335,0.6664884433305487,0.6420412141464773,0.622386521860206,0.6084823169033695,0.6465148983570036,0.6145850737956001,0.6054358117516012,0.5796588693957115,0.6482595377332219,0.6591743247006404,0.6087329434697855,0.653691172375383,0.6440712893344471,0.6547646895015315,0.6840016708437762,0.6634586466165413,0.6718142578668894,0.6030075187969924,0.6548969646338068,0.6578376496797549,0.6613269284321917,0.6296727930938457,0.6671901977165134,0.649901141743247,0.6464800891116681,0.6181230854915066,0.6603592314118629,0.5956042884990254,0.5891757170704539,0.6054455583402951,0.6515037593984963,0.6501545530492899,0.6210373155109996,0.6177179058758007,0.5990239487607909,0.5932330827067669,0.6517613478139793,0.6510916179337232,0.5881801726538568,0.6440991367307156,0.5923572820941242,0.5992522974101921,0.6497841826789195,0.5916067947646895,0.593790030632136,0.5972834864940129,0.5972277917014759,0.6537245892509049,0.6539947089947089,0.6560930103035365,0.6560930103035365,0.6537245892509049,0.6494917850181008,0.6434391534391535,0.6558298524087997,0.6481829573934836,0.6534405458089669,0.641882483987747,0.6465970481759955
complete_ET,,,,,,,,0.6860735171261487,0.7166972988025619,0.6837482595377333,0.7123851294903927,0.6958618769145085,0.7157699805068226,0.7276510721247563,0.7143553327763854,0.7064981899192426,0.6744472291840713,0.7195906432748538,0.6694346978557505,0.7272723475355054,0.6691506544138123,0.6954358117516012,0.726644388749652,0.6769521024784183,0.6862211083263714,0.6904650515176831,0.7154163185742133,0.7052910052910053,0.7104163185742134,0.7128418267891953,0.7052186020607072,0.6707087162350319,0.6570147591200223,0.6705040378724589,0.6925981620718462,0.6860735171261487,0.6792801448064607,0.7260275689223057,0.7127680311890837,0.7053049289891394,0.666957671957672,0.7123391812865497,0.6998983570036202,0.6732121971595655,0.6336939571150098,0.7019242550821498,0.7191576162628794,0.7022082985240878,0.7026190476190476,0.6965079365079365,0.7186396546922863,0.7464230019493177,0.7125995544416599,0.7204149262044,0.6620161514898357,0.7082706766917293,0.716542745753272,0.7071345029239766,0.6688958507379559,0.7137830687830687,0.7112322472848789,0.6967585630743525,0.6501378446115288,0.7091478696741854,0.6572375382901698,0.6404010025062655,0.6524032302979671,0.701535783904205,0.7015566694514063,0.6774394319131162,0.6607658033973824,0.6523656363130047,0.6779128376496798,0.7126538568643831,0.7035588972431078,0.6346797549429128,0.6702450570871623,0.6611946532999163,0.6499582289055974,0.7141102756892231,0.6755875800612643,0.6536299081035922,0.7004901141743247,0.6758632692843218,0.6995795043163463,0.6789529379003063,0.70010582010582,0.70010582010582,0.6995795043163463,0.6927011974380395,0.6662726260094681,0.7008952937900306,0.6932330827067669,0.6971929824561404,0.7003689780005569,0.6726789195210248
complete_KNN,,,,,,,,,0.679076858813701,0.6909314954051796,0.7219228627123364,0.6975953773322194,0.71130186577555,0.7181592871066556,0.7144681147312726,0.7060957950431634,0.6976176552492341,0.7165316067947647,0.707254246727931,0.7186772486772487,0.6974255082149818,0.6946407685881371,0.7229601782233361,0.6967655249234197,0.7003313840155945,0.7018407128933445,0.7151267056530214,0.705339738234475,0.7103898635477582,0.7107268170426065,0.7146560846560848,0.6814633806739071,0.6981954887218046,0.6955666945140628,0.7003188526872737,0.679076858813701,0.6949206349206349,0.708240044555834,0.646535783904205,0.6470746310219994,0.6516123642439432,0.6629949874686716,0.665072403230298,0.6522208298524088,0.621786410470621,0.7006015037593984,0.6984823169033694,0.6522138680033418,0.6938485101642996,0.7016332497911446,0.7127763854079644,0.7349220272904483,0.6527805625174047,0.7124547479810639,0.6513046505151768,0.7074575327206907,0.7180019493177388,0.7122096908939014,0.6407602339181286,0.7043079922027291,0.7120258980785297,0.7032832080200502,0.6899707602339181,0.7122472848788639,0.6968880534670009,0.6957602339181287,0.6990921748816485,0.716133389028126,0.6962949039264827,0.6566819827346143,0.6609495962127541,0.647818156502367,0.6519033695349485,0.7007908660540239,0.7101851851851851,0.69630186577555,0.6987788916736285,0.703968253968254,0.6502687273739906,0.7020119743803954,0.6452812587023113,0.6972013366750209,0.6460930103035366,0.6555054302422724,0.6937329434697855,0.6955806182121972,0.6937329434697855,0.6937329434697855,0.6937329434697855,0.6857964355332776,0.6552227791701476,0.6953118908382067,0.687649679754943,0.6929128376496798,0.6942592592592592,0.6604274575327207
complete_XGB,,,,,,,,,,0.5923934837092732,0.6557936507936508,0.610382901698691,0.6708368142578669,0.6818699526594263,0.6296296296296295,0.6164313561681982,0.6020008354218881,0.6382748538011696,0.6210484544695071,0.6736507936507937,0.6218365357839042,0.6173308270676692,0.6655472013366751,0.6008883319409635,0.6465817321080479,0.6391423001949318,0.6754023948760791,0.6635352269562795,0.6698760790866054,0.6686633249791145,0.6769660261765524,0.6313798384851016,0.6169465329991646,0.6140100250626566,0.6136494012809802,0.5923934837092732,0.6145530492898914,0.6195363408521304,0.5785032024505709,0.5662113617376775,0.5748802561960457,0.6084906711222501,0.5841283764967976,0.5666778056251741,0.5357142857142858,0.6033277638540796,0.6138276246170983,0.564380395433027,0.6106168198273462,0.5968226120857699,0.6207504873294346,0.6614202172096908,0.60364522417154,0.6251642996379838,0.6009133945976051,0.6067933723196881,0.6352603731551099,0.6301824004455584,0.557350320245057,0.6141116680590365,0.6187148426622111,0.5973001949317739,0.5816541353383459,0.6320119743803955,0.5746992481203007,0.6024436090225564,0.6026468950153161,0.6123572820941241,0.6079351155666946,0.5769827346143136,0.5637649679754941,0.5774881648565859,0.6032205513784461,0.5685825675299359,0.6308284600389864,0.5558047897521582,0.6092564745196324,0.6005847953216373,0.5956321358952937,0.5763171818434977,0.5714661654135339,0.5634558618769144,0.5543706488443331,0.597584238373712,0.6123447507658034,0.6139264828738512,0.6189236981342245,0.6189236981342245,0.6123447507658034,0.6164884433305486,0.6023057644110276,0.6176079086605403,0.615978835978836,0.6115204678362574,0.6191868560289613,0.6114884433305486
