,complete_SVC,complete_RFC,complete_SVM,complete_SVP,complete_Logistic,complete_Ridge,complete_EN,complete_ET,complete_KNN,complete_XGB,complete_Ada,complete_MLP1,RPPA_SVC,RPPA_RFC,RPPA_SVM,RPPA_SVP,RPPA_Logistic,RPPA_Ridge,RPPA_EN,RPPA_ET,RPPA_KNN,RPPA_XGB,RPPA_Ada,RPPA_MLP1,RNA_SVC,RNA_RFC,RNA_SVM,RNA_SVP,RNA_Logistic,RNA_Ridge,RNA_EN,RNA_ET,RNA_KNN,RNA_XGB,RNA_Ada,RNA_MLP1,MIRNA_SVC,MIRNA_RFC,MIRNA_SVM,MIRNA_SVP,MIRNA_Logistic,MIRNA_Ridge,MIRNA_EN,MIRNA_ET,MIRNA_KNN,MIRNA_XGB,MIRNA_Ada,MIRNA_MLP1,META_SVC,META_RFC,META_SVM,META_SVP,META_Logistic,META_Ridge,META_EN,META_ET,META_KNN,META_XGB,META_Ada,META_MLP1,DNA_SVC,DNA_RFC,DNA_SVM,DNA_SVP,DNA_Logistic,DNA_Ridge,DNA_EN,DNA_ET,DNA_KNN,DNA_XGB,DNA_Ada,DNA_MLP1,PATHWAYS_SVC,PATHWAYS_RFC,PATHWAYS_SVM,PATHWAYS_SVP,PATHWAYS_Logistic,PATHWAYS_Ridge,PATHWAYS_EN,PATHWAYS_ET,PATHWAYS_KNN,PATHWAYS_XGB,PATHWAYS_Ada,PATHWAYS_MLP1,TYPE_SVC,TYPE_RFC,TYPE_SVM,TYPE_SVP,TYPE_Logistic,TYPE_Ridge,TYPE_EN,TYPE_ET,TYPE_KNN,TYPE_XGB,TYPE_Ada,TYPE_MLP1
complete_SVC,0.6080485304169514,0.6276196172248805,0.6371234905445432,0.6440248348143085,0.6423775347459558,0.6346354522670312,0.6458031442241968,0.598931989063568,0.6037400318979267,0.5905325814536342,0.6269531784005469,0.6095745044429254,0.6209649122807017,0.6324715197083618,0.6426179084073821,0.6417372977899294,0.6384392800182275,0.6562633857370699,0.594471975393028,0.6107820688083846,0.6250774663932559,0.6218967874231032,0.5986750968329917,0.6360463659147869,0.6087628161312372,0.6191848940533152,0.6184216222374117,0.6298313966735021,0.6264946457051721,0.6161061745272273,0.6284871269081795,0.6412502848029165,0.5772282980177718,0.6277796764638871,0.6178560036454772,0.6080485304169514,0.6196479835953521,0.6230154932786511,0.6002415128730918,0.5900096832991569,0.5817401458190932,0.6119184324447482,0.6409711779448621,0.6099475962633857,0.6196889952153111,0.6255274550011392,0.6201463886990204,0.6245283663704717,0.6141216678058783,0.6167680565048986,0.6349196855775803,0.6440322396901343,0.6360731373889269,0.6461864889496469,0.6409079516974254,0.6261073137388926,0.6306567555251765,0.6192674868990659,0.609009455456824,0.6277551834130781,0.6427363864205969,0.630971747550695,0.6509387104123946,0.6372368421052632,0.6377979038505355,0.6454499886078834,0.6344355206197312,0.6080809979494189,0.6221872863978127,0.5540185691501481,0.6124168375484166,0.6419389382547278,0.6305388471177944,0.643165299612668,0.6017053998632946,0.5846348826611985,0.5977090453406243,0.6405844155844156,0.6261466165413534,0.5762098427887903,0.640149236728184,0.631070289359763,0.6349362041467305,0.6392156527682843,0.6304682159945317,0.6225803144224196,0.6304682159945317,0.6304682159945317,0.6304682159945317,0.6304682159945317,0.6307165641376168,0.6304682159945317,0.6166712235133287,0.6268967874231032,0.6226008202323992,0.6233253588516745
complete_RFC,,0.6115618591934381,0.632083048530417,0.6390612895876054,0.6390407837776259,0.6277768284347232,0.6495699475962633,0.6170169742538163,0.592685691501481,0.5875558213716109,0.6198575985418091,0.6171570972886762,0.6340140123034861,0.6379055593529278,0.6324988607883345,0.6311340852130326,0.6283515607199819,0.6423188653451811,0.6082325131009342,0.6213961038961038,0.6293364092048302,0.6260087719298246,0.6008526999316472,0.622367281840966,0.6276196172248805,0.6482450444292549,0.5977688539530644,0.6239274322169059,0.6203537252221463,0.6111904761904763,0.6232963089542036,0.6259660514923672,0.5716837548416496,0.622538733196628,0.5966296422875371,0.6115618591934381,0.6294383686488949,0.6448274094326726,0.605578719526088,0.6185566188197766,0.5896645021645022,0.6196246297562087,0.6279573934837093,0.6208561175666438,0.6221115288220551,0.6332467532467534,0.6323991797676008,0.6322738664843929,0.6022761449077239,0.6293079289131921,0.637979608111187,0.6470192526771474,0.6398843700159489,0.641335725677831,0.645311004784689,0.6349709501025291,0.6417481203007519,0.6299646844383686,0.6031704260651629,0.6275159489633174,0.6547488038277512,0.63657666894509,0.6423564593301435,0.6510218728639781,0.6508675096832992,0.6585184552289814,0.6357473228525861,0.6322038049669628,0.625381066302119,0.5672260195944407,0.6186899065846434,0.6429853041695146,0.6293136249715197,0.6360532011847801,0.5985714285714285,0.5844486215538847,0.6009512417407155,0.6415937571200729,0.6247311460469354,0.5817367281840966,0.6348638642059694,0.6368796992481203,0.6284216222374118,0.6414029391660969,0.6339348370927318,0.630812257917521,0.6339348370927318,0.6339348370927318,0.6339348370927318,0.6339348370927318,0.6418181818181818,0.6339348370927318,0.6244133059922534,0.6322681704260651,0.6301184780132147,0.6308395989974938
complete_SVM,,,0.6096958304853042,0.6229334700387332,0.618030303030303,0.6080211893369788,0.6460742766005924,0.61569662793347,0.588425609478241,0.591813055365687,0.628242766005924,0.6037109820004557,0.6293107769423558,0.6410668717247663,0.6344508999772158,0.6314035087719299,0.62504329004329,0.6323365231259969,0.6139786967418546,0.6248741171109591,0.6338710412394624,0.6263442697653223,0.580580997949419,0.6195198222829801,0.6342663476874003,0.6586768056504899,0.6007627022100707,0.6110651629072682,0.6086899065846434,0.6025119617224881,0.6196514012303487,0.6479625199362042,0.5895124174071543,0.621371610845295,0.6007222601959443,0.6096958304853042,0.6200478468899522,0.6413362952836638,0.6016735019366599,0.6077415128730917,0.5958356117566643,0.6119104579630895,0.6282814992025518,0.6130371383002962,0.6169560264297107,0.6223558897243109,0.6301896787423102,0.6330428343586239,0.5904499886078833,0.6284518113465482,0.6254984051036682,0.6355075187969925,0.6367327409432673,0.6362537024379129,0.6445169742538164,0.6337810435178857,0.6274783549783549,0.6334734563681932,0.594448051948052,0.6200848712690817,0.6427306903622693,0.6252642971064024,0.6316940077466393,0.6409176349965824,0.6297846889952152,0.6360082023239917,0.6188260423786739,0.6223541809068125,0.6175074048758259,0.569428685349738,0.5969907723855092,0.6307222601959445,0.6396274777853725,0.6341154021417179,0.6327694235588972,0.583372636135794,0.6325176577808157,0.6449077238550923,0.6306692868534973,0.5907666894509,0.6358430166324902,0.6360224424698109,0.6356277056277057,0.6448000683526999,0.6353075871496923,0.634088630667578,0.6353075871496923,0.6353075871496923,0.6353075871496923,0.6353075871496923,0.6462212349054454,0.6353075871496923,0.6200136705399862,0.6348313966735019,0.6276771474139894,0.6257837776258828
complete_SVP,,,,0.6251503759398497,0.6265789473684211,0.6193449532923216,0.648092959671907,0.6185349737981317,0.5984119389382547,0.6225244930508088,0.6388653451811346,0.6303018910913648,0.6373376623376623,0.6469172932330827,0.6517897015265437,0.6470688083845978,0.6433367509683299,0.6482399179767601,0.6258908635224425,0.6402802460697197,0.643133971291866,0.6391740715424926,0.6216769195716564,0.6344782410571884,0.6411676919571657,0.6635850991114148,0.6224880382775121,0.6131180223285486,0.6147881066302119,0.640870357712463,0.627987012987013,0.6502267031214399,0.5971086807928914,0.6305946684894053,0.6046605149236728,0.6251503759398497,0.6342811574390522,0.6559045340624288,0.6163909774436089,0.6190271132376396,0.6092993848257006,0.6275575301891092,0.642606516290727,0.6284187742082479,0.6374812030075189,0.6416826156299841,0.6486454773296878,0.6473285486443381,0.611926406926407,0.6369286853497379,0.6422863978127136,0.6525586694007746,0.6515470494417863,0.6542390066074277,0.6539986329460014,0.6462531328320802,0.6484563681932103,0.6468785600364548,0.5971007063112326,0.6353656869446344,0.658362952836637,0.6456470722260196,0.6599943039416724,0.6567372977899294,0.6501913875598087,0.6564137616769197,0.6389097744360902,0.6366313511050353,0.6362850307587149,0.5832456140350877,0.6376452494873547,0.6493335611756664,0.6473855092276144,0.6452335383914332,0.6429403053087264,0.6090988835725678,0.6443643198906357,0.656993620414673,0.6547231715652767,0.5979494190020506,0.6465721120984279,0.6488345864661655,0.6460412394622921,0.6561562998405104,0.6458942811574391,0.6451526543631807,0.6458942811574391,0.6458942811574391,0.6458942811574391,0.6458942811574391,0.6544873547505126,0.6458942811574391,0.6406630211893368,0.6451799954431533,0.6446935520619731,0.6461323763955342
complete_Logistic,,,,,0.6194577352472089,0.6165948963317385,0.6460902255639097,0.6096400091136933,0.5925244930508089,0.6039917976760082,0.6372567783094099,0.617488038277512,0.6340612895876053,0.6455661881977671,0.6459056732740944,0.6409466848940534,0.6367612212349055,0.6423558897243108,0.6079835953520163,0.6298473456368192,0.6405809979494189,0.6339074960127592,0.5910640236956026,0.6288311688311689,0.6395203918888129,0.6630325814536342,0.6176156299840511,0.6070380496696286,0.6082319434951013,0.6307814992025518,0.6265789473684211,0.6499145591250854,0.5961961722488038,0.6309011164274322,0.5971052631578947,0.6194577352472089,0.6278514467988152,0.6486637047163363,0.6111506037821827,0.614479380268854,0.6043392572339941,0.6209102301207565,0.637630439735703,0.6215117338801549,0.6266279334700388,0.629397357028936,0.6396514012303486,0.6415892002734107,0.5969172932330827,0.6353702437912965,0.6391934381408065,0.647837776258829,0.6509398496240602,0.6499532923217135,0.6518967874231032,0.6433059922533607,0.632693096377307,0.6425393028024607,0.5958680792891319,0.6343039416723627,0.6529254955570746,0.6370824789245841,0.6435600364547731,0.6533481430849852,0.6430861244019139,0.6495488721804511,0.6329972658920028,0.6342766005923901,0.6296593757120073,0.5778184096605149,0.6312406015037595,0.6417008430166324,0.6489325586694008,0.6389257233994077,0.6425609478241057,0.5945750740487583,0.6423080428343586,0.6513545226703121,0.6395192526771474,0.5909375712007291,0.64792663476874,0.6459341535657325,0.6435281385281385,0.650518341307815,0.6429254955570745,0.6428981544771019,0.6429254955570745,0.6429254955570745,0.6429254955570745,0.6429254955570745,0.6495568466621098,0.6429254955570745,0.6378890407837776,0.6424493050808839,0.6424401913875598,0.6372112098427888
complete_Ridge,,,,,,0.6044326725905673,0.6417680565048987,0.6111511733880155,0.5836409204830257,0.5875068352699933,0.6144127363864206,0.5984478241057188,0.6252437912964229,0.6412878787878787,0.6284700387331966,0.6256618819776715,0.6190624287992709,0.6268341307814993,0.6096724766461609,0.6181915014809751,0.6286078833447255,0.6215595807701071,0.5748393711551606,0.613538961038961,0.6317783094098883,0.6546098200045568,0.5880832763727499,0.6060457963089542,0.60414673046252,0.5869617224880382,0.6153451811346548,0.644134768740032,0.584727728411939,0.6170653907496012,0.5956983367509683,0.6044326725905673,0.6138277511961723,0.6322681704260652,0.5973672818409661,0.6081949191159717,0.5891370471633629,0.6071257689678742,0.6244537480063796,0.6065778081567555,0.6119321029847345,0.6187673729778993,0.6256442241968557,0.6284973798131693,0.5880576441102756,0.6231886534518114,0.6223883572567782,0.6321582365003418,0.6333834586466166,0.6329044201412622,0.6406892230576441,0.6309102301207564,0.6257991569833674,0.6303634085213032,0.5887064251537936,0.6169748234221919,0.633421052631579,0.6221542492595125,0.627244246981089,0.6375683526999316,0.6192583732057416,0.6254818865345181,0.6157159945317839,0.6170910230120756,0.6136796536796537,0.5622516518569151,0.5895745044429255,0.628090681248576,0.6341250854408749,0.6312445887445888,0.6275062656641605,0.5766740715424926,0.6196445659603554,0.6495089997721577,0.6273200045568467,0.5850250626566416,0.6301013898382319,0.6202808156755525,0.6327568922305765,0.6507649806334017,0.6300444292549555,0.6273969013442697,0.6300444292549555,0.6300444292549555,0.6300444292549555,0.6300444292549555,0.64143654591023,0.6300444292549555,0.6142720437457279,0.629568238778765,0.6224139895192525,0.620520619731146
complete_EN,,,,,,,0.6369184324447483,0.6170876053770791,0.6436010480747322,0.6320557074504443,0.6515328092959672,0.6413231943495101,0.6441421736158579,0.6515795169742538,0.6676555023923445,0.6595784916837549,0.6641786283891548,0.6657587149692412,0.6464576213260423,0.6456670084301663,0.650892002734108,0.645291638186375,0.653174982911825,0.6488784461152883,0.6446126680337206,0.6668050808840282,0.6251213260423787,0.6419708361813625,0.6400751879699248,0.6299521531100478,0.6439963545226702,0.6591632490316701,0.6099715197083618,0.6449681020733653,0.6099430394167237,0.6369184324447483,0.6415846434267487,0.6607427660059239,0.636598313966735,0.6291473000683527,0.6263744588744589,0.6417999544315334,0.6659928229665072,0.6149168375484165,0.6464376851218956,0.6491547049441786,0.6531037821827296,0.657259056732741,0.6243859649122807,0.6472989291410345,0.6612092731829575,0.6681573251310092,0.6625814536340852,0.6674384825700616,0.6779163818637504,0.6540396445659604,0.6673872180451128,0.6541307814992026,0.6269360902255638,0.6521138072453863,0.6537183868762816,0.5980246069719755,0.667904989747095,0.6553708133971292,0.6557165641376168,0.6640852130325814,0.6038670539986329,0.6157091592617908,0.6482319434951014,0.5909928229665071,0.6529761904761905,0.6226406926406927,0.6611198450672136,0.6572265892002734,0.6229471405787195,0.6061101617680565,0.6566632490316702,0.6696582365003418,0.6658139667350194,0.6103668261562998,0.6645295055821372,0.6549299384825701,0.6748200045568467,0.6654938482570061,0.6538904078377763,0.6488699020277968,0.6538904078377763,0.6538904078377763,0.6538904078377763,0.6538904078377763,0.658652312599681,0.6538904078377763,0.6460173160173159,0.6548427887901573,0.6491285030758716,0.6484142173615858
complete_ET,,,,,,,,0.5812269309637731,0.5638579403053087,0.5894246981089086,0.6016957165641376,0.5863135110503532,0.6085457963089542,0.6295454545454545,0.6049937343358396,0.6079169514695831,0.5986750968329915,0.6114690134426976,0.5839052175894281,0.5957177033492822,0.5949287992709046,0.6007558669400774,0.5588123718386877,0.5793819776714513,0.5972653223969013,0.6347676008202324,0.590144679881522,0.6056419457735247,0.6025478468899521,0.5885315561631351,0.6132985873775347,0.6442247664616085,0.5585611756664389,0.5961101617680565,0.6009347231715653,0.5812269309637731,0.5982159945317841,0.6031596035543403,0.5874743677375256,0.5899196855775803,0.5546160856687172,0.5900689223057645,0.6037406015037594,0.5906487810435179,0.5937747778537252,0.5834848484848484,0.6001987924356345,0.6039302802460697,0.5619548872180451,0.5820944406470723,0.6009728867623604,0.6018489405331511,0.5989411027568922,0.6093460925039872,0.6227603098655731,0.6023131692868535,0.6142686261107314,0.5958350421508316,0.5734876965140123,0.5900113921166552,0.606439393939394,0.5844827979038505,0.6151817042606517,0.6022539302802461,0.6015624287992708,0.6080172020961495,0.6102375256322624,0.5977728411938938,0.5969873547505127,0.5314052175894282,0.5563471177944862,0.5987588288904078,0.6032416267942583,0.627755753018911,0.5983401686033265,0.5502477785372523,0.598010936431989,0.6372875370243791,0.6142076782866257,0.5662092731829573,0.608350991114149,0.6041154021417179,0.6182928913192072,0.6351856915014809,0.6112474367737526,0.6000159489633173,0.6112474367737526,0.6112474367737526,0.6112474367737526,0.6112474367737526,0.6259432672590567,0.6112474367737526,0.5910298473456368,0.6088664843928002,0.5967213488266119,0.6024379129642287
complete_KNN,,,,,,,,,0.5508202323991797,0.5604665071770334,0.5819395078605605,0.5433635224424698,0.5796924128503076,0.5987987012987013,0.533215994531784,0.5668603326498063,0.5312178172704488,0.5713465481886535,0.5615191387559808,0.5620910230120757,0.5581670084301664,0.535434039644566,0.4968534973798132,0.5216421736158579,0.6032661198450672,0.6502956254272043,0.5638135110503532,0.5823855092276146,0.5785919343814081,0.559084073820916,0.5793233082706768,0.6431801093643198,0.5054682159945318,0.568259284575074,0.565047846889952,0.5508202323991797,0.5580565048986101,0.6028013214855319,0.5611152882205512,0.5589650262018683,0.5528531556163134,0.5534666210982,0.5640140123034859,0.5552232854864434,0.5571246297562087,0.55639325586694,0.5542338801549327,0.5815185691501481,0.5503907496012759,0.5268421052631579,0.577292663476874,0.606424584187742,0.5985121895648211,0.583910344041923,0.6175267714741398,0.580930735930736,0.6145688083845979,0.5577466393255867,0.5190242652084757,0.5516626794258374,0.5956596035543404,0.5532296650717703,0.6175894281157439,0.5806681476418319,0.6061255411255412,0.6104351788562314,0.555631692868535,0.5652010708589656,0.5623946229209387,0.49454260651629073,0.48177660059239014,0.5811540214171793,0.5731829573934837,0.6023348143084986,0.5413100934153565,0.5280741626794259,0.5539906584643426,0.6006869446343132,0.5810007974481659,0.5337286397812713,0.5630724538619274,0.5900358851674641,0.608274094326726,0.5976389838231944,0.5651070858965596,0.5562531328320802,0.5651070858965596,0.5651070858965596,0.5651070858965596,0.5651070858965596,0.5738733196627932,0.5651070858965596,0.5346582365003417,0.5632023239917976,0.5443255866940077,0.5589166097060834
complete_XGB,,,,,,,,,,0.5513465481886535,0.5815795169742538,0.554853041695147,0.5874327865117339,0.6273877876509456,0.5619896331738437,0.56650660742766,0.5372920938710413,0.5686335156071999,0.5624447482342219,0.6009774436090225,0.592277853725222,0.5731630211893369,0.5009096605149237,0.5353742310321258,0.5926754385964912,0.6507199817726133,0.5815937571200729,0.5886654135338347,0.5839149008885852,0.5763738892686261,0.5881493506493507,0.6217731829573935,0.5243722943722944,0.567875939849624,0.5637166780587833,0.5513465481886535,0.568488266119845,0.6117868534973798,0.5511506037821827,0.5618198906356802,0.5454818865345181,0.5631983367509683,0.5678918888129415,0.566543062200957,0.5592464114832535,0.5591000227842333,0.5698057644110275,0.577844611528822,0.5556322624743677,0.5729568238778765,0.5857450444292549,0.5989576213260424,0.5970226703121438,0.5788231943495102,0.6183902939166097,0.5774794941900205,0.6133105491000228,0.5572624743677376,0.5243421052631578,0.5631476418318524,0.6040105946684895,0.5586420596946912,0.6204573934837092,0.5986346548188654,0.604698678514468,0.6137816131237184,0.5666672362724994,0.5614183185235817,0.5651737297789928,0.4976811346548189,0.5130730234677603,0.5699208247892459,0.5844275461380725,0.6265607199817727,0.5763009797220324,0.5192224880382775,0.5781225791752107,0.6062497151970836,0.60759683299157,0.5534512417407154,0.566750398724083,0.5857456140350876,0.6165476190476191,0.604122807017544,0.5884062428799272,0.5785930735930735,0.5884062428799272,0.5884062428799272,0.5884062428799272,0.5884062428799272,0.5980815675552519,0.5884062428799272,0.5462371838687627,0.5876919571656414,0.5981465026201869,0.5826919571656414
