,complete_SVC,complete_RFC,complete_SVM,complete_SVP,complete_Logistic,complete_Ridge,complete_EN,complete_ET,complete_KNN,complete_XGB,complete_Ada,complete_MLP1,RPPA_SVC,RPPA_RFC,RPPA_SVM,RPPA_SVP,RPPA_Logistic,RPPA_Ridge,RPPA_EN,RPPA_ET,RPPA_KNN,RPPA_XGB,RPPA_Ada,RPPA_MLP1,RNA_SVC,RNA_RFC,RNA_SVM,RNA_SVP,RNA_Logistic,RNA_Ridge,RNA_EN,RNA_ET,RNA_KNN,RNA_XGB,RNA_Ada,RNA_MLP1,MIRNA_SVC,MIRNA_RFC,MIRNA_SVM,MIRNA_SVP,MIRNA_Logistic,MIRNA_Ridge,MIRNA_EN,MIRNA_ET,MIRNA_KNN,MIRNA_XGB,MIRNA_Ada,MIRNA_MLP1,META_SVC,META_RFC,META_SVM,META_SVP,META_Logistic,META_Ridge,META_EN,META_ET,META_KNN,META_XGB,META_Ada,META_MLP1,DNA_SVC,DNA_RFC,DNA_SVM,DNA_SVP,DNA_Logistic,DNA_Ridge,DNA_EN,DNA_ET,DNA_KNN,DNA_XGB,DNA_Ada,DNA_MLP1,PATHWAYS_SVC,PATHWAYS_RFC,PATHWAYS_SVM,PATHWAYS_SVP,PATHWAYS_Logistic,PATHWAYS_Ridge,PATHWAYS_EN,PATHWAYS_ET,PATHWAYS_KNN,PATHWAYS_XGB,PATHWAYS_Ada,PATHWAYS_MLP1,TYPE_SVC,TYPE_RFC,TYPE_SVM,TYPE_SVP,TYPE_Logistic,TYPE_Ridge,TYPE_EN,TYPE_ET,TYPE_KNN,TYPE_XGB,TYPE_Ada,TYPE_MLP1
complete_SVC,0.6333333333333332,0.6627705627705628,0.7103896103896103,0.7127705627705627,0.6989177489177488,0.7069264069264068,0.6852813852813853,0.6813852813852813,0.6610389610389611,0.7121212121212122,0.5915584415584416,0.6790043290043289,0.688961038961039,0.7058441558441558,0.6826839826839827,0.70995670995671,0.693939393939394,0.6932900432900433,0.7000000000000001,0.7147186147186149,0.6839826839826839,0.729004329004329,0.6625541125541126,0.7028138528138529,0.6367965367965367,0.6489177489177489,0.6919913419913419,0.6909090909090909,0.6898268398268398,0.7017316017316017,0.6924242424242424,0.674025974025974,0.6653679653679654,0.69004329004329,0.6805194805194805,0.7106060606060606,0.6140692640692641,0.6082251082251082,0.6551948051948051,0.6675324675324675,0.6374458874458875,0.6519480519480519,0.6244588744588745,0.6136363636363635,0.6255411255411254,0.6610389610389611,0.595021645021645,0.646969696969697,0.6673160173160173,0.672077922077922,0.6720779220779219,0.6510822510822512,0.6597402597402597,0.6658008658008657,0.6136363636363636,0.6502164502164501,0.664069264069264,0.6686147186147186,0.60995670995671,0.6694805194805195,0.6545454545454545,0.6127705627705627,0.6502164502164501,0.6521645021645022,0.645887445887446,0.6493506493506493,0.654978354978355,0.6590909090909091,0.6103896103896104,0.6705627705627706,0.6220779220779221,0.6032467532467533,0.6681818181818182,0.6954545454545454,0.6376623376623376,0.6677489177489176,0.6378787878787878,0.5976190476190476,0.6034632034632035,0.705194805194805,0.6002164502164502,0.6874458874458874,0.688095238095238,0.5945887445887446,0.6885281385281385,0.6787878787878788,0.6885281385281385,0.6885281385281385,0.6885281385281385,0.6885281385281385,0.6803030303030302,0.6885281385281385,0.7095238095238096,0.6681818181818182,0.695021645021645,0.6976190476190476
complete_RFC,,0.6515151515151516,0.7222943722943723,0.7235930735930737,0.7095238095238094,0.7190476190476189,0.7010822510822511,0.6848484848484849,0.669047619047619,0.714935064935065,0.6155844155844156,0.6941558441558441,0.7023809523809523,0.7196969696969697,0.6930735930735931,0.7129870129870131,0.7038961038961038,0.6982683982683981,0.709090909090909,0.7270562770562771,0.6965367965367966,0.7448051948051948,0.6781385281385282,0.7140692640692641,0.6649350649350649,0.6616883116883117,0.6965367965367965,0.7021645021645021,0.6954545454545454,0.7162337662337663,0.7069264069264068,0.6824675324675324,0.6688311688311689,0.6948051948051949,0.6950216450216451,0.7246753246753247,0.633982683982684,0.6255411255411254,0.6764069264069265,0.6837662337662339,0.6571428571428571,0.6703463203463202,0.6454545454545455,0.635930735930736,0.6285714285714287,0.6785714285714285,0.6106060606060606,0.6642857142857144,0.6757575757575758,0.6872294372294372,0.6844155844155845,0.6705627705627706,0.6757575757575758,0.6803030303030304,0.637012987012987,0.6632034632034631,0.6794372294372293,0.6764069264069265,0.6413419913419912,0.6835497835497836,0.670995670995671,0.6357142857142858,0.6645021645021645,0.6658008658008658,0.6653679653679654,0.6638528138528139,0.6766233766233766,0.674891774891775,0.6279220779220779,0.6891774891774892,0.6376623376623376,0.6255411255411255,0.6712121212121211,0.7017316017316018,0.6608225108225108,0.6688311688311689,0.6569264069264069,0.6281385281385281,0.6296536796536797,0.7073593073593074,0.6253246753246754,0.6913419913419914,0.7017316017316018,0.6244588744588745,0.7077922077922078,0.693939393939394,0.7077922077922078,0.7077922077922078,0.7077922077922078,0.7077922077922078,0.7125541125541126,0.7077922077922078,0.7170995670995671,0.6854978354978356,0.7073593073593073,0.7114718614718615
complete_SVM,,,0.6837662337662338,0.7025974025974027,0.6902597402597402,0.6813852813852814,0.703030303030303,0.7216450216450216,0.6978354978354978,0.7417748917748918,0.6597402597402597,0.6852813852813854,0.714069264069264,0.7341991341991341,0.7142857142857142,0.732034632034632,0.7207792207792207,0.7212121212121211,0.7153679653679654,0.7391774891774892,0.7108225108225108,0.7504329004329005,0.7359307359307359,0.7238095238095239,0.7103896103896103,0.7075757575757576,0.6909090909090909,0.7025974025974027,0.69004329004329,0.7034632034632036,0.7106060606060607,0.712121212121212,0.6984848484848485,0.725974025974026,0.7181818181818181,0.7047619047619047,0.6725108225108225,0.672943722943723,0.7058441558441558,0.7060606060606062,0.6952380952380952,0.6980519480519479,0.658874458874459,0.6614718614718615,0.6961038961038961,0.7145021645021645,0.6642857142857143,0.7006493506493505,0.7088744588744589,0.6995670995670996,0.7192640692640693,0.7010822510822511,0.712987012987013,0.7127705627705627,0.6696969696969698,0.6917748917748917,0.7058441558441558,0.7015151515151515,0.6556277056277057,0.7123376623376624,0.6627705627705628,0.7127705627705627,0.6606060606060605,0.6896103896103896,0.670995670995671,0.6616883116883117,0.6883116883116883,0.6885281385281385,0.6692640692640692,0.7064935064935065,0.6642857142857144,0.6718614718614718,0.6997835497835497,0.7292207792207792,0.6677489177489176,0.7075757575757576,0.7012987012987013,0.6593073593073594,0.6961038961038961,0.737012987012987,0.6945887445887446,0.7309523809523808,0.7216450216450216,0.6588744588744588,0.7231601731601731,0.7227272727272729,0.7231601731601731,0.7231601731601731,0.7231601731601731,0.7231601731601731,0.7307359307359308,0.7231601731601731,0.7316017316017316,0.7132034632034633,0.7220779220779221,0.7277056277056276
complete_SVP,,,,0.6974025974025974,0.6945887445887446,0.7002164502164503,0.7147186147186149,0.7264069264069264,0.7006493506493506,0.7389610389610389,0.6772727272727274,0.7021645021645021,0.7292207792207792,0.7376623376623377,0.7225108225108225,0.7482683982683982,0.7318181818181818,0.7303030303030302,0.733982683982684,0.7458874458874459,0.7199134199134198,0.7517316017316016,0.7452380952380951,0.7337662337662337,0.7127705627705628,0.70995670995671,0.6958874458874459,0.7023809523809523,0.6954545454545455,0.7056277056277056,0.7095238095238096,0.7218614718614718,0.7045454545454545,0.7324675324675326,0.7220779220779221,0.7138528138528139,0.682900432900433,0.6811688311688313,0.7205627705627706,0.7173160173160174,0.7047619047619047,0.7125541125541125,0.6735930735930736,0.6859307359307358,0.7090909090909091,0.7281385281385281,0.6794372294372295,0.7108225108225108,0.7134199134199134,0.7119047619047619,0.7277056277056276,0.7147186147186148,0.7240259740259741,0.7214285714285714,0.6844155844155845,0.680952380952381,0.7158008658008658,0.706060606060606,0.6924242424242425,0.7233766233766235,0.6811688311688312,0.7225108225108225,0.6701298701298702,0.709090909090909,0.6768398268398268,0.6742424242424242,0.7012987012987013,0.7025974025974026,0.674891774891775,0.7240259740259741,0.6777056277056277,0.6824675324675324,0.6850649350649352,0.7428571428571429,0.6748917748917748,0.7129870129870131,0.7088744588744589,0.6632034632034631,0.6612554112554112,0.7491341991341991,0.7080086580086581,0.743073593073593,0.7361471861471861,0.6519480519480519,0.7311688311688311,0.7268398268398268,0.7311688311688311,0.7311688311688311,0.7311688311688311,0.7311688311688311,0.7341991341991342,0.7311688311688311,0.7372294372294371,0.7164502164502164,0.7257575757575758,0.7287878787878788
complete_Logistic,,,,,0.679004329004329,0.6878787878787879,0.6963203463203463,0.7088744588744589,0.6876623376623376,0.7322510822510823,0.6530303030303031,0.6863636363636364,0.7125541125541126,0.7311688311688311,0.7080086580086581,0.725974025974026,0.7147186147186148,0.7162337662337662,0.7132034632034632,0.7348484848484848,0.7054112554112554,0.7422077922077922,0.7125541125541124,0.7142857142857142,0.6989177489177489,0.6941558441558441,0.6857142857142857,0.6913419913419914,0.6854978354978355,0.6948051948051949,0.6989177489177489,0.704978354978355,0.6930735930735931,0.7127705627705628,0.7077922077922079,0.7006493506493506,0.6623376623376623,0.6686147186147187,0.7036796536796537,0.7030303030303031,0.6891774891774892,0.6965367965367965,0.65,0.6688311688311689,0.6941558441558442,0.7110389610389611,0.6493506493506492,0.6945887445887446,0.6982683982683983,0.6961038961038961,0.7155844155844155,0.6961038961038961,0.7086580086580087,0.7049783549783549,0.6673160173160173,0.6818181818181818,0.6978354978354979,0.693939393939394,0.6651515151515152,0.7071428571428571,0.6629870129870129,0.7084415584415584,0.6495670995670995,0.6885281385281385,0.6586580086580087,0.6536796536796536,0.6829004329004329,0.6857142857142857,0.654112554112554,0.7064935064935065,0.6603896103896104,0.6645021645021646,0.6971861471861472,0.7253246753246753,0.6584415584415584,0.696969696969697,0.69004329004329,0.645021645021645,0.645021645021645,0.7322510822510823,0.6863636363636363,0.7266233766233767,0.7164502164502166,0.6339826839826841,0.7136363636363636,0.711038961038961,0.7136363636363636,0.7136363636363636,0.7136363636363636,0.7136363636363636,0.7246753246753247,0.7136363636363636,0.7259740259740259,0.7004329004329004,0.70995670995671,0.7147186147186148
complete_Ridge,,,,,,0.679004329004329,0.7,0.7164502164502164,0.695021645021645,0.7396103896103896,0.6558441558441558,0.6805194805194806,0.7103896103896103,0.7305194805194805,0.7101731601731602,0.727056277056277,0.7129870129870131,0.7173160173160174,0.7116883116883117,0.735064935064935,0.7062770562770563,0.7458874458874458,0.7151515151515151,0.716017316017316,0.7069264069264068,0.7045454545454545,0.6863636363636363,0.6995670995670996,0.6872294372294372,0.7006493506493506,0.7090909090909092,0.708008658008658,0.6945887445887446,0.722943722943723,0.7147186147186148,0.7008658008658009,0.6670995670995671,0.6651515151515153,0.7017316017316017,0.7019480519480521,0.6909090909090908,0.6935064935064934,0.6545454545454545,0.6569264069264069,0.6919913419913419,0.7099567099567099,0.6601731601731601,0.6963203463203462,0.7043290043290044,0.6954545454545455,0.7142857142857142,0.6954545454545455,0.7075757575757576,0.7071428571428572,0.6645021645021646,0.6872294372294372,0.7015151515151515,0.6967532467532467,0.6623376623376623,0.7075757575757576,0.6584415584415584,0.706926406926407,0.6573593073593074,0.6848484848484848,0.6670995670995671,0.6584415584415584,0.6844155844155844,0.6841991341991343,0.6647186147186147,0.7023809523809523,0.6586580086580087,0.667965367965368,0.6954545454545454,0.7238095238095237,0.6621212121212121,0.7021645021645022,0.6971861471861472,0.6547619047619048,0.6917748917748918,0.7316017316017316,0.6891774891774892,0.7259740259740258,0.7164502164502163,0.6543290043290043,0.7192640692640693,0.713852813852814,0.7192640692640693,0.7192640692640693,0.7192640692640693,0.7192640692640693,0.7268398268398268,0.7192640692640693,0.7279220779220779,0.7095238095238096,0.7164502164502163,0.7222943722943722
complete_EN,,,,,,,0.6694805194805195,0.7067099567099566,0.6885281385281385,0.7305194805194806,0.6441558441558441,0.6807359307359307,0.7090909090909092,0.7305194805194806,0.7119047619047619,0.725974025974026,0.7151515151515151,0.7183982683982684,0.7140692640692641,0.7419913419913421,0.7043290043290044,0.7493506493506492,0.7041125541125541,0.7158008658008658,0.6852813852813853,0.6887445887445888,0.6965367965367966,0.6997835497835497,0.6945887445887445,0.7067099567099566,0.7006493506493506,0.6941558441558442,0.6876623376623376,0.7116883116883118,0.7071428571428572,0.7015151515151514,0.6478354978354979,0.6471861471861471,0.688961038961039,0.7021645021645022,0.6757575757575758,0.6807359307359306,0.6564935064935065,0.6512987012987013,0.6818181818181818,0.7051948051948053,0.638095238095238,0.6829004329004329,0.695021645021645,0.6952380952380952,0.7017316017316017,0.6833333333333333,0.6922077922077923,0.6902597402597402,0.658008658008658,0.6536796536796536,0.6954545454545453,0.6915584415584416,0.6322510822510822,0.6987012987012987,0.6489177489177489,0.6967532467532467,0.6437229437229438,0.6761904761904761,0.666883116883117,0.6484848484848486,0.6701298701298701,0.6755411255411256,0.6424242424242423,0.69004329004329,0.6508658008658009,0.6898268398268398,0.6958874458874458,0.7220779220779221,0.6484848484848484,0.6924242424242426,0.6764069264069263,0.6426406926406927,0.6402597402597403,0.7305194805194806,0.6818181818181818,0.7201298701298702,0.712987012987013,0.632034632034632,0.7043290043290044,0.6993506493506494,0.7043290043290044,0.7043290043290044,0.7043290043290044,0.7043290043290044,0.718181818181818,0.7043290043290044,0.7166666666666667,0.6982683982683981,0.7041125541125541,0.7114718614718615
complete_ET,,,,,,,,0.6746753246753248,0.685930735930736,0.7235930735930735,0.6406926406926408,0.7004329004329004,0.7062770562770562,0.7274891774891774,0.7045454545454545,0.7233766233766235,0.712987012987013,0.7114718614718614,0.7114718614718616,0.7307359307359308,0.70995670995671,0.743073593073593,0.7017316017316018,0.7207792207792207,0.6813852813852813,0.6857142857142857,0.7060606060606062,0.7023809523809523,0.7056277056277056,0.7153679653679654,0.7095238095238094,0.6928571428571428,0.6859307359307361,0.7002164502164503,0.7062770562770563,0.7164502164502164,0.6437229437229439,0.6558441558441558,0.7,0.7043290043290042,0.679004329004329,0.691991341991342,0.6647186147186147,0.6640692640692641,0.6489177489177489,0.7058441558441558,0.6491341991341992,0.6867965367965368,0.6893939393939393,0.7028138528138529,0.7075757575757575,0.6582251082251082,0.695021645021645,0.6950216450216451,0.654978354978355,0.6525974025974026,0.7004329004329004,0.6926406926406926,0.653896103896104,0.6997835497835497,0.6863636363636364,0.6569264069264069,0.6880952380952381,0.6883116883116884,0.6826839826839828,0.6891774891774892,0.6863636363636363,0.6861471861471862,0.658008658008658,0.7058441558441558,0.6595238095238095,0.648051948051948,0.7043290043290044,0.7279220779220779,0.6876623376623376,0.6958874458874458,0.6411255411255411,0.6515151515151516,0.6508658008658008,0.7365800865800866,0.6807359307359307,0.7151515151515151,0.714935064935065,0.6435064935064935,0.7166666666666666,0.7047619047619047,0.7166666666666666,0.7166666666666666,0.7166666666666666,0.7166666666666666,0.7125541125541125,0.7166666666666666,0.7270562770562771,0.6937229437229437,0.716017316017316,0.7196969696969697
complete_KNN,,,,,,,,,0.6240259740259739,0.7145021645021645,0.6296536796536796,0.6647186147186147,0.6883116883116883,0.7142857142857142,0.6755411255411256,0.713852813852814,0.6935064935064934,0.6870129870129871,0.6971861471861471,0.7158008658008658,0.6632034632034631,0.7244588744588745,0.6658008658008658,0.6961038961038961,0.6645021645021646,0.6556277056277057,0.6835497835497836,0.6857142857142857,0.6813852813852814,0.6978354978354978,0.6919913419913419,0.680952380952381,0.6329004329004329,0.6844155844155845,0.6738095238095239,0.6997835497835497,0.5880952380952381,0.6261904761904762,0.654978354978355,0.6562770562770563,0.6374458874458874,0.6467532467532469,0.6023809523809524,0.6086580086580087,0.632034632034632,0.6603896103896105,0.6428571428571429,0.6422077922077921,0.6551948051948052,0.6426406926406926,0.6634199134199135,0.6465367965367965,0.6612554112554113,0.661038961038961,0.6393939393939394,0.6367965367965368,0.6482683982683983,0.6525974025974026,0.6367965367965367,0.6623376623376623,0.6359307359307359,0.6132034632034633,0.6038961038961039,0.6374458874458874,0.6272727272727272,0.6238095238095237,0.6346320346320345,0.6437229437229437,0.5883116883116883,0.6534632034632034,0.6062770562770563,0.6015151515151516,0.6370129870129869,0.6699134199134199,0.6341991341991342,0.6430735930735929,0.6448051948051947,0.6402597402597402,0.6385281385281385,0.672943722943723,0.6045454545454545,0.6653679653679653,0.664069264069264,0.6387445887445887,0.6926406926406926,0.6813852813852813,0.6926406926406926,0.6926406926406926,0.6926406926406926,0.6926406926406926,0.7004329004329005,0.6926406926406926,0.7036796536796537,0.6564935064935065,0.6917748917748916,0.6893939393939392
complete_XGB,,,,,,,,,,0.7025974025974027,0.6575757575757576,0.730952380952381,0.7346320346320346,0.7430735930735931,0.7363636363636363,0.7573593073593072,0.7417748917748916,0.7424242424242424,0.7352813852813853,0.750865800865801,0.7318181818181818,0.7521645021645023,0.7354978354978354,0.7474025974025975,0.7147186147186148,0.7207792207792207,0.733982683982684,0.7233766233766233,0.7287878787878788,0.733982683982684,0.7281385281385282,0.7207792207792207,0.7132034632034632,0.7179653679653679,0.7255411255411255,0.7383116883116883,0.6777056277056278,0.706926406926407,0.725974025974026,0.7220779220779221,0.7058441558441559,0.7190476190476189,0.7205627705627705,0.6909090909090909,0.6948051948051948,0.7320346320346321,0.6673160173160173,0.7145021645021645,0.7255411255411255,0.724025974025974,0.7398268398268397,0.7181818181818183,0.7283549783549784,0.7285714285714285,0.6883116883116882,0.7138528138528139,0.685064935064935,0.7281385281385282,0.6893939393939393,0.732034632034632,0.7134199134199135,0.6922077922077922,0.7125541125541126,0.713852813852814,0.7116883116883118,0.711904761904762,0.7136363636363636,0.7121212121212122,0.6831168831168831,0.7294372294372294,0.6829004329004329,0.6829004329004329,0.7201298701298702,0.7443722943722945,0.6924242424242423,0.7229437229437231,0.7114718614718615,0.6839826839826839,0.6766233766233767,0.748917748917749,0.6874458874458875,0.7404761904761905,0.7402597402597403,0.6846320346320346,0.737012987012987,0.7298701298701298,0.737012987012987,0.737012987012987,0.737012987012987,0.737012987012987,0.7467532467532468,0.737012987012987,0.7458874458874458,0.7194805194805195,0.7281385281385281,0.733982683982684
